"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BSA","BSAtitle","LineNumber","LineItem","LineItemTitle","CostType","CostTypeTitle","LineNumber","AddOrNonAdd","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","PBtotal","PBtype","QuantActualTotal","QuantPBtotal","QuantPBtype"
"31",2011,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","27 ","6949AA0480","Utility Helicopter Mods","A","Weapon System Cost","27 ","Add","U",2009,"Total",41011,NA,NA,NA,0,NA,NA
"32",2011,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","28 ","7542AZ2200","Kiowa Warrior","A","Weapon System Cost","28 ","Add","U",2009,"Total",120151,NA,NA,NA,0,NA,NA
"33",2011,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","29 ","8472AA0700","Airborne Avionics","A","Weapon System Cost","29 ","Add","U",2009,"Total",146974,NA,NA,NA,0,NA,NA
"34",2011,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","30 ","8859AA0711","Gatm Rollup","A","Weapon System Cost","30 ","Add","U",2009,"Total",78989,NA,NA,NA,0,NA,NA
"35",2011,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","31 ","9555A00018","RQ-7 UAV MODS","A","Weapon System Cost","31 ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"36",2011,"2031A","Aircraft Procurement, Army","ARMY","03","Spares and Repair Parts","10","Spares And Repair Parts","34 ","0420AA0950","Spare Parts (AIR)","A","Weapon System Cost","34 ","Add","U",2009,"Total",6855,NA,NA,NA,0,NA,NA
"37",2011,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","10","Ground Support Avionics","35 ","3632AZ3504","Aircraft Survivability Equipment","A","Weapon System Cost","35 ","Add","U",2009,"Total",59138,NA,NA,NA,0,NA,NA
"38",2011,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","10","Ground Support Avionics","36 ","5044AZ3507","Ase Infrared CM","A","Weapon System Cost","36 ","Add","U",2009,"Total",565462,NA,NA,NA,0,NA,NA
"39",2011,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","37 ","0832AZ3000","Avionics Support Equipment","A","Weapon System Cost","37 ","Add","U",2009,"Total",5013,NA,NA,NA,0,NA,NA
"40",2011,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","38 ","5212AZ3100","Common Ground Equipment","A","Weapon System Cost","38 ","Add","U",2009,"Total",95726,NA,NA,NA,0,NA,NA
"41",2011,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","39 ","6380AZ3110","Aircrew Integrated Systems","A","Weapon System Cost","39 ","Add","U",2009,"Total",48149,NA,NA,NA,0,NA,NA
"42",2011,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","40 ","6818AA0050","Air Traffic Control","A","Weapon System Cost","40 ","Add","U",2009,"Total",122413,NA,NA,NA,0,NA,NA
"43",2011,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","41 ","8132AZ3300","Industrial Facilities","A","Weapon System Cost","41 ","Add","U",2009,"Total",2529,NA,NA,NA,0,NA,NA
"44",2011,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","42 ","9154A50100","Launcher, 2.75 Rocket","A","Weapon System Cost","42 ","Add","U",2009,"Total",2435,NA,NA,NA,0,NA,NA
"45",2011,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","43 ","9161AA0705","Airborne Communications","A","Weapon System Cost","43 ","Add","U",2009,"Total",24596,NA,NA,NA,0,NA,NA
"46",2011,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","10","Surface-To-Air Missile System","1  ","7152C49100","Patriot System Summary","A","Weapon System Cost","1  ","Add","U",2009,"Total",510576,NA,NA,NA,108,NA,NA
"47",2011,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","10","Surface-To-Air Missile System","2  ","9001C81001","Surface-Launched Amraam System Summary:","A","Weapon System Cost","2  ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"48",2011,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","10","Surface-To-Air Missile System","2  ","9001C81001","Surface-Launched Amraam System Summary:","B","Less: Advance Procurement (PY)","2  ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"49",2011,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","10","Surface-To-Air Missile System","3  ","9001C81001","Surface-Launched Amraam System Summary:","C","Advance Procurement (CY)","3  ","Add","U",2009,"Total",40349,NA,NA,NA,0,NA,NA
"50",2011,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","20","Air-To-Surface Missile System","4  ","1338C70000","Hellfire Sys Summary","A","Weapon System Cost","4  ","Add","U",2009,"Total",253124,NA,NA,NA,2945,NA,NA
"51",2011,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","5  ","0648CC0007","Javelin (Aaws-M) System Summary","A","Weapon System Cost","5  ","Add","U",2009,"Total",367888,NA,NA,NA,1320,NA,NA
"52",2011,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","6  ","2104C59300","Tow 2 System Summary","A","Weapon System Cost","6  ","Add","U",2009,"Total",404345,NA,NA,NA,9022,NA,NA
"53",2011,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","6  ","2104C59300","Tow 2 System Summary","B","Less: Advance Procurement (PY)","6  ","Add","U",2009,"Total",-10000,NA,NA,NA,0,NA,NA
"54",2011,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","7  ","2104C59300","Tow 2 System Summary","C","Advance Procurement (CY)","7  ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"55",2011,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","8  ","4500C64501","BCT Non Line of Sight Launch System - Increme","A","Weapon System Cost","8  ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"56",2011,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","9  ","6005C64400","Guided Mlrs Rocket (GMLRS)","A","Weapon System Cost","9  ","Add","U",2009,"Total",309205,NA,NA,NA,2652,NA,NA
"57",2011,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","10 ","6060C65405","MLRS REDUCED RANGE PRACTICE ROCKETS (RRPR)","A","Weapon System Cost","10 ","Add","U",2009,"Total",25225,NA,NA,NA,4014,NA,NA
"58",2011,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","11 ","6200C02901","High Mobility Artillery Rocket System (HIMARS","A","Weapon System Cost","11 ","Add","U",2009,"Total",227509,NA,NA,NA,57,NA,NA
"59",2011,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","12 ","0962C50700","Patriot Mods","A","Weapon System Cost","12 ","Add","U",2009,"Total",515375,NA,NA,NA,0,NA,NA
"60",2011,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","13 ","3972C61700","Itas/Tow Mods","A","Weapon System Cost","13 ","Add","U",2009,"Total",136705,NA,NA,NA,0,NA,NA
"61",2011,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","14 ","6552C67500","Mlrs Mods","A","Weapon System Cost","14 ","Add","U",2009,"Total",1866,NA,NA,NA,0,NA,NA
"62",2011,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","15 ","6580C67501","Himars Modifications","A","Weapon System Cost","15 ","Add","U",2009,"Total",33144,NA,NA,NA,0,NA,NA
"63",2011,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","16 ","6700C71500","Hellfire Modifications","A","Weapon System Cost","16 ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"64",2011,"2032A","Missile Procurement, Army","ARMY","04","Spares and Repair Parts","10","Spares And Repair Parts","17 ","1242CA0250","Spares And Repair Parts","A","Weapon System Cost","17 ","Add","U",2009,"Total",25850,NA,NA,NA,0,NA,NA
"65",2011,"2032A","Missile Procurement, Army","ARMY","05","Support Equipment and Facilities","10","Support Equipment & Facilities","18 ","1242C93000","Air Defense Targets","A","Weapon System Cost","18 ","Add","U",2009,"Total",6423,NA,NA,NA,0,NA,NA
"66",2011,"2032A","Missile Procurement, Army","ARMY","05","Support Equipment and Facilities","10","Support Equipment & Facilities","19 ","3902CL2000","Items Less Than $5.0m (Missiles)","A","Weapon System Cost","19 ","Add","U",2009,"Total",10,NA,NA,NA,0,NA,NA
"67",2011,"2032A","Missile Procurement, Army","ARMY","05","Support Equipment and Facilities","10","Support Equipment & Facilities","20 ","4662CA0100","Production Base Support","A","Weapon System Cost","20 ","Add","U",2009,"Total",4106,NA,NA,NA,0,NA,NA
"68",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10","Tracked Combat Vehicles","1  ","2897G80718","Bradley Program","A","Weapon System Cost","1  ","Add","U",2009,"Total",394800,NA,NA,NA,94,NA,NA
"69",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10","Tracked Combat Vehicles","2  ","3450GZ2500","Bradley Training Devices (MOD)","A","Weapon System Cost","2  ","Add","U",2009,"Total",10954,NA,NA,NA,0,NA,NA
"70",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10","Tracked Combat Vehicles","3  ","6984GB1300","Abrams Tank Training Devices","A","Weapon System Cost","3  ","Add","U",2009,"Total",2991,NA,NA,NA,0,NA,NA
"71",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10","Tracked Combat Vehicles","4  ","7180G85100","Stryker Vehicle","A","Weapon System Cost","4  ","Add","U",2009,"Total",1498984,NA,NA,NA,352,NA,NA
"72",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10","Tracked Combat Vehicles","5  ","7300G86100","Future Combat Systems: (FCS)","A","Weapon System Cost","5  ","Add","U",2009,"Total",115053,NA,NA,NA,0,NA,NA
"73",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10","Tracked Combat Vehicles","5  ","7300G86100","Future Combat Systems: (FCS)","B","Less: Advance Procurement (PY)","5  ","Add","U",2009,"Total",-28100,NA,NA,NA,0,NA,NA
"74",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10","Tracked Combat Vehicles","6  ","7300G86100","Future Combat Systems: (FCS)","C","Advance Procurement (CY)","6  ","Add","U",2009,"Total",26087,NA,NA,NA,0,NA,NA
"75",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10","Tracked Combat Vehicles","7  ","7310G86200","Fcs Spin Outs","A","Weapon System Cost","7  ","Add","U",2009,"Total",24129,NA,NA,NA,0,NA,NA
"76",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10","Tracked Combat Vehicles","7  ","7310G86200","Fcs Spin Outs","B","Less: Advance Procurement (PY)","7  ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"77",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10","Tracked Combat Vehicles","8  ","7310G86200","Fcs Spin Outs","C","Advance Procurement (CY)","8  ","Add","U",2009,"Total",43139,NA,NA,NA,0,NA,NA
"78",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","9  ","0230GM0100","STRYKER (MOD)","A","Weapon System Cost","9  ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"79",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","10 ","1284GZ2300","Fist Vehicle (MOD)","A","Weapon System Cost","10 ","Add","U",2009,"Total",28927,NA,NA,NA,0,NA,NA
"80",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","11 ","1678GZ2400","Bradley Program (MOD)","A","Weapon System Cost","11 ","Add","U",2009,"Total",1095588,NA,NA,NA,0,NA,NA
"81",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","12 ","2072GA0400","Howitzer, Med Sp Ft 155mm M109a6 (MOD)","A","Weapon System Cost","12 ","Add","U",2009,"Total",48728,NA,NA,NA,0,NA,NA
"82",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","13 ","3700GA0570","Improved Recovery Vehicle (M88a2 Hercules)","A","Weapon System Cost","13 ","Add","U",2009,"Total",254110,NA,NA,NA,82,NA,NA
"83",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","14 ","4872G82925","Armored Breacher Vehicle","A","Weapon System Cost","14 ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"84",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","15 ","5129G80571","M88 FOV MODS","A","Weapon System Cost","15 ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"85",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","16 ","5225GZ3001","Joint Assault Bridge","A","Weapon System Cost","16 ","Add","U",2009,"Total",12714,NA,NA,NA,2,NA,NA
"86",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","17 ","6406GA0700","M1 Abrams Tank (MOD)","A","Weapon System Cost","17 ","Add","U",2009,"Total",737057,NA,NA,NA,0,NA,NA
"87",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","18 ","6500GA0750","Abrams Upgrade Program","A","Weapon System Cost","18 ","Add","U",2009,"Total",580543,NA,NA,NA,111,NA,NA
"88",2011,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","30","Support Equipment & Facilities","19 ","5960GA0050","Production Base Support (TCV-WTCV)","A","Weapon System Cost","19 ","Add","U",2009,"Total",7115,NA,NA,NA,0,NA,NA
"89",2011,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","20 ","1366G01300","Howitzer, Light, Towed, 105mm, M119","A","Weapon System Cost","20 ","Add","U",2009,"Total",112598,NA,NA,NA,90,NA,NA
"90",2011,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","21 ","2472G13000","M240 Medium Machine Gun (7.62MM)","A","Weapon System Cost","21 ","Add","U",2009,"Total",83990,NA,NA,NA,8416,NA,NA
"91",2011,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","22 ","5000GB2000","Machine Gun, Cal .50 M2 Roll","A","Weapon System Cost","22 ","Add","U",2009,"Total",99586,NA,NA,NA,7568,NA,NA
"92",2011,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","23 ","5237G12800","Lightweight .50 Caliber Machine Gun","A","Weapon System Cost","23 ","Add","U",2009,"Total",0,NA,NA,NA,0,NA,NA
"93",2011,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","24 ","5632G12900","M249 Saw Machine Gun (5.56MM)","A","Weapon System Cost","24 ","Add","U",2009,"Total",22069,NA,NA,NA,5150,NA,NA
"94",2011,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","25 ","6106G13400","Mk-19 Grenade Machine Gun (40MM)","A","Weapon System Cost","25 ","Add","U",2009,"Total",17277,NA,NA,NA,976,NA,NA
"95",2011,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","26 ","6580G02200","Mortar Systems","A","Weapon System Cost","26 ","Add","U",2009,"Total",16975,NA,NA,NA,310,NA,NA
"96",2011,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","27 ","8165G01500","M107, Cal. 50, Sniper Rifle","A","Weapon System Cost","27 ","Add","U",2009,"Total",222,NA,NA,NA,0,NA,NA
"97",2011,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","28 ","8181G01501","Xm320 Grenade Launcher Module (GLM)","A","Weapon System Cost","28 ","Add","U",2009,"Total",21036,NA,NA,NA,7857,NA,NA
"98",2011,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","29 ","8182G01505","M110 Semi-Automatic Sniper System (SASS)","A","Weapon System Cost","29 ","Add","U",2009,"Total",7385,NA,NA,NA,439,NA,NA
"99",2011,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","30 ","8198G14904","M4 Carbine","A","Weapon System Cost","30 ","Add","U",2009,"Total",52046,NA,NA,NA,29290,NA,NA
"100",2011,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","31 ","8262G18300","Shotgun, Modular Accessory System (MASS)","A","Weapon System Cost","31 ","Add","U",2009,"Total",9070,NA,NA,NA,4884,NA,NA
"101",2011,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","32 ","8310G04700","Common Remotely Operated Weapons Station (CRO","A","Weapon System Cost","32 ","Add","U",2009,"Total",601500,NA,NA,NA,1102,NA,NA
"102",2011,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","33 ","8635G15325"," Handgun","A","Weapon System Cost","33 ","Add","U",2009,"Total",1570,NA,NA,NA,2895,NA,NA
"103",2011,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","34 ","9582G01700","Howitzer Lt Wt 155mm (T)","A","Weapon System Cost","34 ","Add","U",2009,"Total",120871,NA,NA,NA,38,NA,NA
"104",2011,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","20","Mod Of Weapons And Other Combat Veh","35 ","3000GB3000","Mk-19 Grenade Machine Gun Mods","A","Weapon System Cost","35 ","Add","U",2009,"Total",7631,NA,NA,NA,0,NA,NA
"105",2011,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","20","Mod Of Weapons And Other Combat Veh","36 ","3010GB3007","M4 Carbine Mods","A","Weapon System Cost","36 ","Add","U",2009,"Total",16746,NA,NA,NA,0,NA,NA
