,SourceFiscalYear,AccountDSI,MilDeptDW,AccountTitle,Organization,BudgetActivity,BudgetActivityTitle,AGtitle,LineNumber,SAG,SAG.Title,IncludeInTOA,Classified,FiscalYear,OriginType,ActualTotal,EnactedTotal,EnactedType,PBtotal,PBtype,SpecialTotal,SpecialType,BudgetSubActivityTitle,BudgetLineItem,Var.16
47,2012,2020,A,"Operation & Maintenance, Army",Army,4,Administration and Servicewide Activities,Support Of Other Nations,470,442,Misc. Support Of Other Nations,Y,U,2010,Total,14114,NA,NA,NA,NA,NA,NA,,,NA
48,2012,2020,A,"Operation & Maintenance, Army",Army,20,Undistributed,Undistributed,480,CR11,Adj to Match Continuing Resolution,Y,U,2010,Total,0,NA,NA,NA,NA,NA,NA,,,NA
49,2012,2080,A,"Operation & Maintenance, Army Res",Army,1,Operating Forces,Land Forces,10,111,Maneuver Units,Y,U,2010,Total,1299,NA,NA,NA,NA,NA,NA,,,NA
50,2012,2080,A,"Operation & Maintenance, Army Res",Army,1,Operating Forces,Land Forces,20,112,Modular Support Brigades,Y,U,2010,Total,9771,NA,NA,NA,NA,NA,NA,,,NA
51,2012,2080,A,"Operation & Maintenance, Army Res",Army,1,Operating Forces,Land Forces,30,113,Echelons Above Brigade,Y,U,2010,Total,423447,NA,NA,NA,NA,NA,NA,,,NA
52,2012,2080,A,"Operation & Maintenance, Army Res",Army,1,Operating Forces,Land Forces,40,114,Theater Level Assets,Y,U,2010,Total,148435,NA,NA,NA,NA,NA,NA,,,NA
53,2012,2080,A,"Operation & Maintenance, Army Res",Army,1,Operating Forces,Land Forces,50,115,Land Forces Operations Support,Y,U,2010,Total,531960,NA,NA,NA,NA,NA,NA,,,NA
54,2012,2080,A,"Operation & Maintenance, Army Res",Army,1,Operating Forces,Land Forces,60,116,Aviation Assets,Y,U,2010,Total,60332,NA,NA,NA,NA,NA,NA,,,NA
55,2012,2080,A,"Operation & Maintenance, Army Res",Army,1,Operating Forces,Land Forces Readiness,70,121,Force Readiness Operations Support,Y,U,2010,Total,322755,NA,NA,NA,NA,NA,NA,,,NA
56,2012,2080,A,"Operation & Maintenance, Army Res",Army,1,Operating Forces,Land Forces Readiness,80,122,Land Forces Systems Readiness,Y,U,2010,Total,108480,NA,NA,NA,NA,NA,NA,,,NA
57,2012,2080,A,"Operation & Maintenance, Army Res",Army,1,Operating Forces,Land Forces Readiness,90,123,Land Forces Depot Maintenance,Y,U,2010,Total,122244,NA,NA,NA,NA,NA,NA,,,NA
58,2012,2080,A,"Operation & Maintenance, Army Res",Army,1,Operating Forces,Land Forces Readiness Support,100,131,Base Operations Support,Y,U,2010,Total,518822,NA,NA,NA,NA,NA,NA,,,NA
59,2012,2080,A,"Operation & Maintenance, Army Res",Army,1,Operating Forces,Land Forces Readiness Support,110,132,"Facilities Sustainment, Restoration, & Modernization",Y,U,2010,Total,208285,NA,NA,NA,NA,NA,NA,,,NA
60,2012,2080,A,"Operation & Maintenance, Army Res",Army,1,Operating Forces,Land Forces Readiness Support,120,135,Additional Activities,Y,U,2010,Total,234316,NA,NA,NA,NA,NA,NA,,,NA
61,2012,2080,A,"Operation & Maintenance, Army Res",Army,4,Administration and Servicewide Activities,Logistics Operations,130,421,Servicewide Transportation,Y,U,2010,Total,9263,NA,NA,NA,NA,NA,NA,,,NA
62,2012,2080,A,"Operation & Maintenance, Army Res",Army,4,Administration and Servicewide Activities,Servicewide Support,140,431,Administration,Y,U,2010,Total,74943,NA,NA,NA,NA,NA,NA,,,NA
63,2012,2080,A,"Operation & Maintenance, Army Res",Army,4,Administration and Servicewide Activities,Servicewide Support,150,432,Servicewide Communications,Y,U,2010,Total,4435,NA,NA,NA,NA,NA,NA,,,NA
64,2012,2080,A,"Operation & Maintenance, Army Res",Army,4,Administration and Servicewide Activities,Servicewide Support,160,433,Manpower Management,Y,U,2010,Total,16821,NA,NA,NA,NA,NA,NA,,,NA
65,2012,2080,A,"Operation & Maintenance, Army Res",Army,4,Administration and Servicewide Activities,Servicewide Support,170,434,Recruiting And Advertising,Y,U,2010,Total,56177,NA,NA,NA,NA,NA,NA,,,NA
66,2012,2080,A,"Operation & Maintenance, Army Res",Army,20,Undistributed,Undistributed,180,CR11,Adj to Match Continuing Resolution,Y,U,2010,Total,0,NA,NA,NA,NA,NA,NA,,,NA
67,2012,2065,A,"Operation & Maintenance, ARNG",Army,1,Operating Forces,Land Forces,10,111,Maneuver Units,Y,U,2010,Total,619811,NA,NA,NA,NA,NA,NA,,,NA
68,2012,2065,A,"Operation & Maintenance, ARNG",Army,1,Operating Forces,Land Forces,20,112,Modular Support Brigades,Y,U,2010,Total,213472,NA,NA,NA,NA,NA,NA,,,NA
69,2012,2065,A,"Operation & Maintenance, ARNG",Army,1,Operating Forces,Land Forces,30,113,Echelons Above Brigade,Y,U,2010,Total,544309,NA,NA,NA,NA,NA,NA,,,NA
70,2012,2065,A,"Operation & Maintenance, ARNG",Army,1,Operating Forces,Land Forces,40,114,Theater Level Assets,Y,U,2010,Total,314174,NA,NA,NA,NA,NA,NA,,,NA
71,2012,2065,A,"Operation & Maintenance, ARNG",Army,1,Operating Forces,Land Forces,50,115,Land Forces Operations Support,Y,U,2010,Total,78161,NA,NA,NA,NA,NA,NA,,,NA
72,2012,2065,A,"Operation & Maintenance, ARNG",Army,1,Operating Forces,Land Forces,60,116,Aviation Assets,Y,U,2010,Total,686871,NA,NA,NA,NA,NA,NA,,,NA
73,2012,2065,A,"Operation & Maintenance, ARNG",Army,1,Operating Forces,Land Forces Readiness,70,121,Force Readiness Operations Support,Y,U,2010,Total,500703,NA,NA,NA,NA,NA,NA,,,NA
74,2012,2065,A,"Operation & Maintenance, ARNG",Army,1,Operating Forces,Land Forces Readiness,80,122,Land Forces Systems Readiness,Y,U,2010,Total,131184,NA,NA,NA,NA,NA,NA,,,NA
75,2012,2065,A,"Operation & Maintenance, ARNG",Army,1,Operating Forces,Land Forces Readiness,90,123,Land Forces Depot Maintenance,Y,U,2010,Total,336085,NA,NA,NA,NA,NA,NA,,,NA
76,2012,2065,A,"Operation & Maintenance, ARNG",Army,1,Operating Forces,Land Forces Readiness Support,100,131,Base Operations Support,Y,U,2010,Total,940043,NA,NA,NA,NA,NA,NA,,,NA
77,2012,2065,A,"Operation & Maintenance, ARNG",Army,1,Operating Forces,Land Forces Readiness Support,110,132,"Facilities Sustainment, Restoration, & Modernization",Y,U,2010,Total,532388,NA,NA,NA,NA,NA,NA,,,NA
78,2012,2065,A,"Operation & Maintenance, ARNG",Army,1,Operating Forces,Land Forces Readiness Support,120,133,Management And Operational Hq,Y,U,2010,Total,790320,NA,NA,NA,NA,NA,NA,,,NA
79,2012,2065,A,"Operation & Maintenance, ARNG",Army,1,Operating Forces,Land Forces Readiness Support,130,135,Additional Activities,Y,U,2010,Total,453151,NA,NA,NA,NA,NA,NA,,,NA
80,2012,2065,A,"Operation & Maintenance, ARNG",Army,4,Administration and Servicewide Activities,Logistics Operations,140,421,Servicewide Transportation,Y,U,2010,Total,0,NA,NA,NA,NA,NA,NA,,,NA
81,2012,2065,A,"Operation & Maintenance, ARNG",Army,4,Administration and Servicewide Activities,Servicewide Support,150,431,Administration,Y,U,2010,Total,110489,NA,NA,NA,NA,NA,NA,,,NA
82,2012,2065,A,"Operation & Maintenance, ARNG",Army,4,Administration and Servicewide Activities,Servicewide Support,160,432,Servicewide Communications,Y,U,2010,Total,44396,NA,NA,NA,NA,NA,NA,,,NA
83,2012,2065,A,"Operation & Maintenance, ARNG",Army,4,Administration and Servicewide Activities,Servicewide Support,170,433,Manpower Management,Y,U,2010,Total,7255,NA,NA,NA,NA,NA,NA,,,NA
84,2012,2065,A,"Operation & Maintenance, ARNG",Army,4,Administration and Servicewide Activities,Servicewide Support,180,434,Recruiting And Advertising,Y,U,2010,Total,416225,NA,NA,NA,NA,NA,NA,,,NA
85,2012,2065,A,"Operation & Maintenance, ARNG",Army,20,Undistributed,Undistributed,190,CR11,Adj to Match Continuing Resolution,Y,U,2010,Total,0,NA,NA,NA,NA,NA,NA,,,NA
86,2012,2091,A,Afghanistan Security Forces Fund,Army,1,Ministry of Defense,Defense Forces,10,ES01,Infrastructure,Y,U,2010,Total,1153650,NA,NA,NA,NA,NA,NA,,,NA
87,2012,2091,A,Afghanistan Security Forces Fund,Army,1,Ministry of Defense,Defense Forces,20,ES02,Equipment And Transportation,Y,U,2010,Total,1633908,NA,NA,NA,NA,NA,NA,,,NA
88,2012,2091,A,Afghanistan Security Forces Fund,Army,1,Ministry of Defense,Defense Forces,30,ES03,Training And Operations,Y,U,2010,Total,338627,NA,NA,NA,NA,NA,NA,,,NA
89,2012,2091,A,Afghanistan Security Forces Fund,Army,1,Ministry of Defense,Defense Forces,40,ES04,Sustainment,Y,U,2010,Total,2214631,NA,NA,NA,NA,NA,NA,,,NA
90,2012,2091,A,Afghanistan Security Forces Fund,Army,2,Ministry of Interior,Interior Forces,60,ES05,Infrastructure,Y,U,2010,Total,810102,NA,NA,NA,NA,NA,NA,,,NA
91,2012,2091,A,Afghanistan Security Forces Fund,Army,2,Ministry of Interior,Interior Forces,70,ES06,Equipment And Transportation,Y,U,2010,Total,1282082,NA,NA,NA,NA,NA,NA,,,NA
92,2012,2091,A,Afghanistan Security Forces Fund,Army,2,Ministry of Interior,Interior Forces,80,ES07,Training And Operations,Y,U,2010,Total,417871,NA,NA,NA,NA,NA,NA,,,NA
93,2012,2091,A,Afghanistan Security Forces Fund,Army,2,Ministry of Interior,Interior Forces,90,ES08,Sustainment,Y,U,2010,Total,1217159,NA,NA,NA,NA,NA,NA,,,NA
94,2012,2091,A,Afghanistan Security Forces Fund,Army,3,Associated Activities,Related Activities,110,ES10,Sustainment,Y,U,2010,Total,19119,NA,NA,NA,NA,NA,NA,,,NA
95,2012,2091,A,Afghanistan Security Forces Fund,Army,3,Associated Activities,Related Activities,120,ES11,Training And Operations,Y,U,2010,Total,17600,NA,NA,NA,NA,NA,NA,,,NA
96,2012,2091,A,Afghanistan Security Forces Fund,Army,3,Associated Activities,Related Activities,130,ES12,Infrastructure,Y,U,2010,Total,61920,NA,NA,NA,NA,NA,NA,,,NA
97,2012,2091,A,Afghanistan Security Forces Fund,Army,3,Associated Activities,Related Activities,140,ES14,Coin Activities,Y,U,2010,Total,0,NA,NA,NA,NA,NA,NA,,,NA
98,2012,2091,A,Afghanistan Security Forces Fund,Army,3,Associated Activities,Related Activities,150,ES16,Equipment And Transportation,Y,U,2010,Total,100,NA,NA,NA,NA,NA,NA,,,NA
99,2012,2091,A,Afghanistan Security Forces Fund,Army,5,Contributions,Related Activities,170,500,Contributions,Y,U,2010,Total,115992,NA,NA,NA,NA,NA,NA,,,NA
100,2012,2091,A,Afghanistan Security Forces Fund,Army,20,Undistributed,Undistributed,180,CR11,Adj to Match Continuing Resolution,Y,U,2010,Total,0,NA,NA,NA,NA,NA,NA,,,NA
101,2012,2092,A,Iraq Security Forces Fund,Army,1,Ministry of Defense,Administration,40,100,Iraq Security Forces Fund,Y,U,2010,Total,740730,NA,NA,NA,NA,NA,NA,,,NA
102,2012,2092,A,Iraq Security Forces Fund,Army,1,Ministry of Defense,Defense Forces,10,ES02,Equipment And Transportation,Y,U,2010,Total,0,NA,NA,NA,NA,NA,NA,,,NA
103,2012,2092,A,Iraq Security Forces Fund,Army,1,Ministry of Defense,Defense Forces,20,ES03,Training,Y,U,2010,Total,0,NA,NA,NA,NA,NA,NA,,,NA
104,2012,2092,A,Iraq Security Forces Fund,Army,1,Ministry of Defense,Defense Forces,30,ES04,Sustainment,Y,U,2010,Total,0,NA,NA,NA,NA,NA,NA,,,NA
105,2012,2092,A,Iraq Security Forces Fund,Army,2,Ministry of Interior,Administration,70,200,Iraq Interior Forces,Y,U,2010,Total,259270,NA,NA,NA,NA,NA,NA,,,NA
106,2012,2092,A,Iraq Security Forces Fund,Army,2,Ministry of Interior,Interior Forces,50,ES06,Equipment And Transportation,Y,U,2010,Total,0,NA,NA,NA,NA,NA,NA,,,NA
107,2012,2092,A,Iraq Security Forces Fund,Army,2,Ministry of Interior,Interior Forces,60,ES08,Sustainment,Y,U,2010,Total,0,NA,NA,NA,NA,NA,NA,,,NA
108,2012,2092,A,Iraq Security Forces Fund,Army,3,Associated Activities,Related Activities,80,ES10,Quick Response Force,Y,U,2010,Total,0,NA,NA,NA,NA,NA,NA,,,NA
109,2012,2092,A,Iraq Security Forces Fund,Army,20,Undistributed,Undistributed,90,CR11,Adj to Match Continuing Resolution,Y,U,2010,Total,0,NA,NA,NA,NA,NA,NA,,,NA
110,2012,2096,A,Afghanistan Infrastructure Fund,Army,1,Power,Administration,10,110,Power,Y,U,2010,Total,0,NA,NA,NA,NA,NA,NA,,,NA
111,2012,2096,A,Afghanistan Infrastructure Fund,Army,1,Power,Administration,20,120,Transportation,Y,U,2010,Total,0,NA,NA,NA,NA,NA,NA,,,NA
112,2012,2096,A,Afghanistan Infrastructure Fund,Army,1,Power,Administration,30,130,Water,Y,U,2010,Total,0,NA,NA,NA,NA,NA,NA,,,NA
113,2012,2096,A,Afghanistan Infrastructure Fund,Army,1,Power,Administration,40,140,Other Related Activities,Y,U,2010,Total,0,NA,NA,NA,NA,NA,NA,,,NA
114,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Air Operations,10,1A1A,Mission And Other Flight Operations,Y,U,2010,Total,4982715,NA,NA,NA,NA,NA,NA,,,NA
115,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Air Operations,20,1A2A,Fleet Air Training,Y,U,2010,Total,125395,NA,NA,NA,NA,NA,NA,,,NA
116,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Air Operations,30,1A3A,Aviation Technical Data & Engineering Services,Y,U,2010,Total,55230,NA,NA,NA,NA,NA,NA,,,NA
117,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Air Operations,40,1A4A,Air Operations And Safety Support,Y,U,2010,Total,136777,NA,NA,NA,NA,NA,NA,,,NA
118,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Air Operations,50,1A4N,Air Systems Support,Y,U,2010,Total,513112,NA,NA,NA,NA,NA,NA,,,NA
119,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Air Operations,60,1A5A,Aircraft Depot Maintenance,Y,U,2010,Total,1293148,NA,NA,NA,NA,NA,NA,,,NA
120,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Air Operations,70,1A6A,Aircraft Depot Operations Support,Y,U,2010,Total,35036,NA,NA,NA,NA,NA,NA,,,NA
121,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Air Operations,80,1A9A,Aviation Logistics,Y,U,2010,Total,0,NA,NA,NA,NA,NA,NA,,,NA
122,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Ship Operations,90,1B1B,Mission And Other Ship Operations,Y,U,2010,Total,4550975,NA,NA,NA,NA,NA,NA,,,NA
123,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Ship Operations,100,1B2B,Ship Operations Support & Training,Y,U,2010,Total,717586,NA,NA,NA,NA,NA,NA,,,NA
124,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Ship Operations,110,1B4B,Ship Depot Maintenance,Y,U,2010,Total,6265286,NA,NA,NA,NA,NA,NA,,,NA
125,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Ship Operations,120,1B5B,Ship Depot Operations Support,Y,U,2010,Total,1180711,NA,NA,NA,NA,NA,NA,,,NA
126,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Combat Operations/Support,130,1C1C,Combat Communications,Y,U,2010,Total,695359,NA,NA,NA,NA,NA,NA,,,NA
127,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Combat Operations/Support,140,1C2C,Electronic Warfare,Y,U,2010,Total,79898,NA,NA,NA,NA,NA,NA,,,NA
128,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Combat Operations/Support,150,1C3C,Space Systems And Surveillance,Y,U,2010,Total,201871,NA,NA,NA,NA,NA,NA,,,NA
129,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Combat Operations/Support,160,1C4C,Warfare Tactics,Y,U,2010,Total,474110,NA,NA,NA,NA,NA,NA,,,NA
130,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Combat Operations/Support,170,1C5C,Operational Meteorology And Oceanography,Y,U,2010,Total,343674,NA,NA,NA,NA,NA,NA,,,NA
131,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Combat Operations/Support,180,1C6C,Combat Support Forces,Y,U,2010,Total,2474781,NA,NA,NA,NA,NA,NA,,,NA
132,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Combat Operations/Support,190,1C7C,Equipment Maintenance,Y,U,2010,Total,182326,NA,NA,NA,NA,NA,NA,,,NA
133,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Combat Operations/Support,200,1C8C,Depot Operations Support,Y,U,2010,Total,4575,NA,NA,NA,NA,NA,NA,,,NA
134,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Combat Operations/Support,210,1CCH,Combatant Commanders Core Operations,Y,U,2010,Total,190112,NA,NA,NA,NA,NA,NA,,,NA
135,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Combat Operations/Support,220,1CCM,Combatant Commanders Direct Mission Support,Y,U,2010,Total,283736,NA,NA,NA,NA,NA,NA,,,NA
136,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Weapons Support,230,1D1D,Cruise Missile,Y,U,2010,Total,126775,NA,NA,NA,NA,NA,NA,,,NA
137,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Weapons Support,240,1D2D,Fleet Ballistic Missile,Y,U,2010,Total,1108483,NA,NA,NA,NA,NA,NA,,,NA
138,2012,1804,N,"Operation & Maintenance, Navy",Navy,1,Operating Forces,Weapons Support,250,1D3D,In-Service Weapons Systems Support,Y,U,2010,Total,136573,NA,NA,NA,NA,NA,NA,,,NA
