fiscal_year,ContractCount,obligatedAmount,numberOfActions,ContractCrisisFunding,NIAcrisisFunding,RFisARRA,CrisisFunding
2006,41,1263071.2763,41,NULL,NULL,1,NULL
2011,12349,1452057091.8920,12385,ARRA,NULL,1,ARRA
2009,3,149437.0000,3,ARRA,Disaster,NULL,ARRA
2002,3714,2822534600.0000,3708,NULL,Disaster,NULL,Disaster
2005,8094,8015295697.7369,8368,NULL,Disaster,NULL,Disaster
2008,11897,2347097392.7774,15037,NULL,Disaster,NULL,Disaster
2011,4928,958373091.9926,6780,NULL,Disaster,NULL,Disaster
2018,63,7180699.5371,60,NULL,Disaster,NULL,Disaster
2010,67,12340799.0356,67,ARRA,Disaster,1,ARRA
2013,20,338329.2300,19,ARRA,Disaster,1,ARRA
2009,20,712120.9160,20,NULL,Disaster,1,Disaster
2012,19151,9489866387.4526,1227460,NULL,OCO,NULL,OCO
2015,6758,2448231124.8803,223158,NULL,OCO,NULL,OCO
2018,110,134260978.2617,105,NULL,OCO,NULL,OCO
2014,5,18741.4600,5,ARRA,OCO,1,ARRA
1988,57,7652670.0000,NULL,NULL,NULL,NULL,NULL
1995,239997,118040376008.0000,258357,NULL,NULL,NULL,NULL
1998,259810,118132963568.0000,277265,NULL,NULL,NULL,NULL
2001,640359,222185558389.8453,633385,NULL,NULL,NULL,NULL
2004,1992155,334922658820.7875,1989959,NULL,NULL,NULL,NULL
2011,3381714,535266270928.3079,16660430,NULL,NULL,NULL,NULL
2014,2510381,441402812708.7886,15470175,NULL,NULL,NULL,NULL
2017,4880992,507019167725.4958,22574438,NULL,NULL,NULL,NULL
2009,474,1141927599.1272,474,ARRA,NULL,NULL,ARRA
2009,450,138981312.6292,310,NULL,NULL,1,NULL
2012,331,-2445549.4269,152,NULL,NULL,1,NULL
2015,2,-810.0000,2,NULL,NULL,1,NULL
2014,1737,134677571.9832,1674,ARRA,NULL,1,ARRA
2001,1730,2258995844.0000,1726,NULL,Disaster,NULL,Disaster
2004,5354,3831920952.6008,5341,NULL,Disaster,NULL,Disaster
2007,12159,3785377923.3861,15703,NULL,Disaster,NULL,Disaster
2014,2683,871650530.0234,2631,NULL,Disaster,NULL,Disaster
2017,1308,218506587.0878,1273,NULL,Disaster,NULL,Disaster
2009,66,126626279.8011,66,ARRA,Disaster,1,ARRA
2011,4,16999500.0000,4,NULL,OCO,NULL,OCO
2014,10159,3142310146.8174,165258,NULL,OCO,NULL,OCO
2017,4319,2602863717.6461,85295,NULL,OCO,NULL,OCO
2012,1,26040.0000,1,ARRA,OCO,1,ARRA
1991,249091,136154193844.0000,6,NULL,NULL,NULL,NULL
1994,230094,117964116539.0000,237482,NULL,NULL,NULL,NULL
1997,256866,117203970180.0000,275702,NULL,NULL,NULL,NULL
2000,594107,205572897398.7592,587197,NULL,NULL,NULL,NULL
2007,4095866,465048518793.6987,9052847,NULL,NULL,NULL,NULL
2010,3491825,542399437565.6224,5779655,NULL,NULL,NULL,NULL
2013,2465654,453173254248.3335,13158345,NULL,NULL,NULL,NULL
2016,4808983,473916002962.6208,19772244,NULL,NULL,NULL,NULL
2012,329,45602407.2153,329,ARRA,NULL,NULL,ARRA
2015,1302,118519667.0904,1344,ARRA,NULL,NULL,ARRA
2005,31,0.0000,31,NULL,NULL,1,NULL
2008,57,21778995.0410,48,NULL,NULL,1,NULL
2011,875,69054920.0757,695,NULL,NULL,1,NULL
2014,4,205327.6799,4,NULL,NULL,1,NULL
2010,28851,14727461946.5766,29099,ARRA,NULL,1,ARRA
2013,4155,391265442.8847,4054,ARRA,NULL,1,ARRA
2011,1,18952744.0000,1,ARRA,Disaster,NULL,ARRA
2000,636,1405012435.0000,634,NULL,Disaster,NULL,Disaster
2003,4944,3045684107.0000,4937,NULL,Disaster,NULL,Disaster
2010,6133,302887312.3083,5934,NULL,Disaster,NULL,Disaster
2013,5706,2248405792.1763,6025,NULL,Disaster,NULL,Disaster
2016,2097,323991538.9123,2060,NULL,Disaster,NULL,Disaster
2012,23,-1630569.1948,25,ARRA,Disaster,1,ARRA
2013,16794,5371130983.5460,322906,NULL,OCO,NULL,OCO
