"","PlaceCountryText","GULF OIL SPILL 0410","HAITI EARTHQUAKE 2010","HURRICANE ERNESTO 2006","HURRICANE GUSTAV 2008","HURRICANE IKE 2008","HURRICANE IRENE 2011","HURRICANE ISAAC 2012 ","HURRICANE KATRINA 2005","HURRICANE OPHELIA 2005","HURRICANE RITA 2005","HURRICANE SANDY 2013","HURRICANE WILMA 2005","NONE","OKLAHOMA TORNADO AND STORM 2013","OPERATION ENDURING FREEDOM (OEF)","OPERATION FREEDOM'S SENTINEL (OFS)","OPERATION UNITED ASSISTANCE (OUA) - EBOLA OUTBREAK WEST AFRICA","OPERATIONS IN IRAQ AND SYRIA"
"176","SWAZILAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017544131048184,NA,NA,NA,NA,NA
"177","SWEDEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.330065073880217,NA,NA,0.00019691204,NA,NA
"178","SWITZERLAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.71088168739364,NA,0,NA,NA,NA
"179","TAIWAN,PROVINCE OF CHINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029030066087044,NA,NA,NA,NA,NA
"180","TAJIKISTAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0316675672447795,NA,NA,NA,NA,NA
"181","TANZANIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0115672696358252,NA,0.000329175685610222,NA,NA,NA
"182","THAILAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.217018680604896,NA,0,NA,NA,NA
"183","TOGO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0071225654775671,NA,NA,NA,NA,NA
"184","TONGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00287246558122522,NA,NA,NA,NA,NA
"185","TRINIDAD AND TOBAGO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00332463001345186,NA,NA,NA,NA,NA
"186","TUNISIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0298956042011867,NA,NA,NA,NA,NA
"187","TURKEY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.965185497911724,NA,0.0861621348194771,0.00532729256459828,0.000187561488022958,0.0154035998863862
"188","TURKMENISTAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0194555643933619,NA,NA,NA,NA,NA
"189","TURKS AND CAICOS ISLANDS [UNITED KINGDOM]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000398712603939841,NA,NA,NA,NA,NA
"190","UGANDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0781358804580113,NA,0.00292147821477579,8.17808961885656e-05,NA,NA
"191","UKRAINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.194113484378703,NA,NA,NA,NA,0.0170255335386139
"192","UNITED ARAB EMIRATES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8729314891342,NA,0.0581539335505907,0.0164876826099555,2.223996e-05,0.00012668576
"193","UNITED KINGDOM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76346863780748,-1.66376472526958e-06,0.0238556287529198,NA,1.218e-05,0.000238256
"194","UNITED STATES",0.0116590603267757,NA,0.00690031113957604,0.0022364246725691,-0.00153684734697722,0.0258969541560346,0.0284922794832806,0.00648112992135834,0.00274553504280313,0.00528252642917668,1.2955553118845,0.00760580942117495,1378.85238503261,0.233591466285269,3.37854371657721,0.514251153871432,0.0843151829323325,0.0612643780448101
"195","UNITED STATES MINOR OUTLYING ISLANDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000971017600738764,NA,NA,NA,NA,NA
"196","URUGUAY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00743013976297161,NA,NA,NA,NA,NA
"197","UZBEKISTAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0883752782660632,NA,0.0164991662453428,NA,NA,NA
"198","VANUATU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000238819484078579,NA,NA,NA,NA,NA
"199","VENEZUELA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00034116898581389,NA,NA,NA,NA,NA
"200","VIETNAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.080738472304257,NA,NA,NA,NA,NA
"201","VIRGIN ISLANDS [UNITED STATES]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000916456835315053,NA,NA,NA,NA,NA
"202","YEMEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0198500447900197,NA,NA,NA,NA,NA
"203","ZAMBIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0166734404170995,NA,NA,NA,NA,NA
"204","ZIMBABWE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08769227266045e-05,NA,NA,NA,NA,NA
"205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0825935285875668,NA,NA,NA,NA,NA
