"","CrisisDisplay","nationalinterestactioncodeText","Fiscal.Year","obligations","annual_share","disaster_share"
"137","Disaster","California Wildfires 2008",2016,97870.1545459086,0,0
"138","Disaster","Hurricane Ernesto 2006",2016,1309482.48631517,0.004,0.019
"139","Disaster","Hurricane Gustav 2008",2016,1877184.70874977,0.006,0.005
"140","Disaster","Hurricane Ike 2008",2016,4832098.31206883,0.015,0.004
"141","Disaster","Hurricane Katrina 2005",2016,122130850.973648,0.371,0.005
"142","Disaster","Hurricane Ophelia 2005",2016,365935.87430875,0.001,0.003
"143","Disaster","Hurricane Rita 2005",2016,1222046.51237695,0.004,0.001
"144","Disaster","Hurricane Sandy 2013",2016,192267312.455785,0.583,0.063
"145","Disaster","Hurricane Wilma 2005",2016,5415683.06606974,0.016,0.003
"146","Disaster","California Wildfires 2008",2017,-4.17,0,0
"147","Disaster","Hurricane Ernesto 2006",2017,102044.2305,0,0.002
"148","Disaster","Hurricane Gustav 2008",2017,1361507.59,0.001,0.004
"149","Disaster","Hurricane Harvey 2017",2017,932461725.955,0.445,1
"150","Disaster","Hurricane Ike 2008",2017,2928365.6164,0.001,0.002
"151","Disaster","Hurricane Irma 2017",2017,541208333.6607,0.259,1
"152","Disaster","Hurricane Katrina 2005",2017,45716687.2563,0.022,0.002
"153","Disaster","Hurricane Maria 2017",2017,400967131.8187,0.192,1
"154","Disaster","Hurricane Ophelia 2005",2017,1841078.5341,0.001,0.017
"155","Disaster","Hurricane Rita 2005",2017,9278087.7297,0.004,0.005
"156","Disaster","Hurricane Sandy 2013",2017,154890811.9555,0.074,0.051
"157","Disaster","Hurricane Wilma 2005",2017,2382816.5255,0.001,0.001
