"AccountDSI","AccountTitle","Organization","SourceFiscalYear","FiscalYear","Base","OCO","OMBbureau","pOCO"
"0100D","Operation and Maintenance, Defense-Wide","NDU",2016,"2015",79955,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","NDU",2017,"2016",78387,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","OEA",2014,"2013",253437,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","OEA",2015,"2014",216588,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","OEA",2016,"2015",281356,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","OEA",2017,"2016",90578,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","OSD",2014,"2013",2095362,87805,"Operations & Maintenance",0.040219094553921
"0100D","Operation and Maintenance, Defense-Wide","OSD",2015,"2014",1948474,68227,"Operations & Maintenance",0.0338309942822461
"0100D","Operation and Maintenance, Defense-Wide","OSD",2016,"2015",1928999,135664,"Operations & Maintenance",0.0657075755220101
"0100D","Operation and Maintenance, Defense-Wide","OSD",2017,"2016",1944985,106709,"Operations & Maintenance",0.0520101925530805
"0100D","Operation and Maintenance, Defense-Wide","SOCOM",2014,"2013",5091001,2503060,"Operations & Maintenance",0.329607570968945
"0100D","Operation and Maintenance, Defense-Wide","SOCOM",2015,"2014",4781943,2219868,"Operations & Maintenance",0.317041976711454
"0100D","Operation and Maintenance, Defense-Wide","SOCOM",2016,"2015",4990197,2495148,"Operations & Maintenance",0.333337741947766
"0100D","Operation and Maintenance, Defense-Wide","SOCOM",2017,"2016",5169432,2390757,"Operations & Maintenance",0.316229792667882
"0100D","Operation and Maintenance, Defense-Wide","TJS",2014,"2013",485708,2000,"Operations & Maintenance",0.00410081442174416
"0100D","Operation and Maintenance, Defense-Wide","TJS",2015,"2014",437455,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","TJS",2016,"2015",437716,100,"Operations & Maintenance",0.00022840645385276
"0100D","Operation and Maintenance, Defense-Wide","TJS",2017,"2016",462813,9900,"Operations & Maintenance",0.0209429400079964
"0100D","Operation and Maintenance, Defense-Wide","WHS",2014,"2013",521297,0,"Operations & Maintenance",0
"0100D","Operation and Maintenance, Defense-Wide","WHS",2015,"2014",588502,2784,"Operations & Maintenance",0.00470838139242262
"0100D","Operation and Maintenance, Defense-Wide","WHS",2016,"2015",589337,2424,"Operations & Maintenance",0.0040962483164656
"0100D","Operation and Maintenance, Defense-Wide","WHS",2017,"2016",618582,2102,"Operations & Maintenance",0.00338658641112063
"0104","US Court of Appeals for Armed Forces, Def","DASD",2012,"2011",13914,0,"Operations & Maintenance",0
"0104D","US Court of Appeals for Armed Forces, Def","CAAF",2013,"2012",13861,0,"Operations & Maintenance",0
"0104D","US Court of Appeals for Armed Forces, Def","CAAF",2014,"2013",13946,0,"Operations & Maintenance",0
"0104D","US Court of Appeals for Armed Forces, Def","CAAF",2015,"2014",13606,0,"Operations & Maintenance",0
"0104D","US Court of Appeals for Armed Forces, Def","CAAF",2016,"2015",13723,0,"Operations & Maintenance",0
"0104D","US Court of Appeals for Armed Forces, Def","CAAF",2017,"2016",14078,0,"Operations & Maintenance",0
"0105","Drug Interdiction & Ctr-Drug Activities, Def","DEPS",2012,"2011",1158226,432514,"Operations & Maintenance",0.271894841394571
"0105D","Drug Interdiction & Ctr-Drug Activities, Def","DEPS",2013,"2012",1209620,456458,"Operations & Maintenance",0.273971566757379
"0105D","Drug Interdiction & Ctr-Drug Activities, Def","DEPS",2014,"2013",1217023,469025,"Operations & Maintenance",0.278180099261706
"0105D","Drug Interdiction & Ctr-Drug Activities, Def","DEPS",2015,"2014",895305,376305,"Operations & Maintenance",0.295927996791469
"0105D","Drug Interdiction & Ctr-Drug Activities, Def","DEPS",2016,"2015",845096,205000,"Operations & Maintenance",0.195220246529841
"0105D","Drug Interdiction & Ctr-Drug Activities, Def","DEPS",2017,"2016",929009,186000,"Operations & Maintenance",0.166814797010607
"0105D","Drug Interdiction & Ctr-Drug Activities, Def","DEPSDDR",2014,"2013",0,0,"Operations & Maintenance",
"0105D","Drug Interdiction & Ctr-Drug Activities, Def","DEPSDDR",2015,"2014",120580,0,"Operations & Maintenance",0
"0105D","Drug Interdiction & Ctr-Drug Activities, Def","DEPSDDR",2016,"2015",105591,0,"Operations & Maintenance",0
"0105D","Drug Interdiction & Ctr-Drug Activities, Def","DEPSDDR",2017,"2016",121589,0,"Operations & Maintenance",0
"0107","Office of the Inspector General","IG",2012,"2011",288100,8876,"Operations & Maintenance",0.029887937072356
"0107D","Office of the Inspector General","IG",2013,"2012",346919,11055,"Operations & Maintenance",0.0308821311044936
"0107D","Office of the Inspector General","IG",2014,"2013",349042,10766,"Operations & Maintenance",0.0299215136961935
"0107D","Office of the Inspector General","IG",2015,"2014",316000,10766,"Operations & Maintenance",0.0329471242418122
"0107D","Office of the Inspector General","IG",2016,"2015",311830,10623,"Operations & Maintenance",0.0329443360737844
"0107D","Office of the Inspector General","IG",2017,"2016",312559,10262,"Operations & Maintenance",0.031788514377937
"0111","DoD Acquisition Workforce Development Fund","AT&L",2012,"2011",411874,0,"Operations & Maintenance",0
"0111D","DoD Acquisition Workforce Development Fund","DAU",2013,"2012",602000,0,"Operations & Maintenance",0
"0111D","DoD Acquisition Workforce Development Fund","DAU",2014,"2013",675694,0,"Operations & Maintenance",0
"0111D","DoD Acquisition Workforce Development Fund","DAU",2015,"2014",51031,0,"Operations & Maintenance",0
"0111D","DoD Acquisition Workforce Development Fund","DAU",2016,"2015",83034,0,"Operations & Maintenance",0
"0111D","DoD Acquisition Workforce Development Fund","DAU",2017,"2016",0,0,"Operations & Maintenance",
"0114D","European Reassurance Initiative","DEFW",2015,"2014",0,0,"Operations & Maintenance",
"0114D","European Reassurance Initiative","DEFW",2016,"2015",0,175000,"Operations & Maintenance",1
"0118","Overseas Contingency Operations Transfer Fund","UNDD",2012,"2011",0,5e+06,"Operations & Maintenance",1
"0118D","Overseas Contingency Operations Transfer Fund","",2014,"2013",0,0,"Operations & Maintenance",
"0118D","Overseas Contingency Operations Transfer Fund","DEFR",2014,"2013",0,0,"Operations & Maintenance",
"0118D","Overseas Contingency Operations Transfer Fund","DEFR",2015,"2014",0,0,"Operations & Maintenance",
"0130","Defense Health Program","DHP",2012,"2011",29247178,1287170,"Operations & Maintenance",0.0421548218419466
"0130D","Defense Health Program","DHA",2015,"2014",32690271,898701,"Operations & Maintenance",0.0267558352187736
"0130D","Defense Health Program","DHA",2016,"2015",32050997,300531,"Operations & Maintenance",0.00928954576735912
"0130D","Defense Health Program","DHA",2017,"2016",32273869,272704,"Operations & Maintenance",0.00837888523624285
"0130D","Defense Health Program","DHP",2013,"2012",32485540,1215266,"Operations & Maintenance",0.0360604431834657
"0130D","Defense Health Program","DHP",2014,"2013",32669259,993898,"Operations & Maintenance",0.0295248006596648
"0130D","Defense Health Program","DHP",2015,"2014",0,0,"Operations & Maintenance",
"0134","Former Soviet Union (FSU) Threat Reduction","DTRA",2012,"2011",423560,0,"Operations & Maintenance",0
"0134D","Cooperative Threat Reduction Account","DTRA",2014,"2013",511329,0,"Operations & Maintenance",0
"0134D","Cooperative Threat Reduction Account","DTRA",2015,"2014",500455,0,"Operations & Maintenance",0
"0134D","Cooperative Threat Reduction Account","DTRA",2016,"2015",365108,0,"Operations & Maintenance",0
"0134D","Cooperative Threat Reduction Account","DTRA",2017,"2016",358496,0,"Operations & Maintenance",0
"0134D","Former Soviet Union (FSU) Threat Reduction","DTRA",2013,"2012",508219,0,"Operations & Maintenance",0
"0145D","Counterterrorism Partnerships Fund","DEFW",2015,"2014",0,0,"Operations & Maintenance",
"0145D","Counterterrorism Partnerships Fund","DEFW",2016,"2015",0,1300000,"Operations & Maintenance",1
"0145D","Counterterrorism Partnerships Fund","DEFW",2017,"2016",0,1100000,"Operations & Maintenance",1
"0462D","Military Intelligence Program Transfer Fund","NGA",2013,"2012",310758,0,"Operations & Maintenance",0
"0462D","Military Intelligence Program Transfer Fund","NGA",2014,"2013",312660,0,"Operations & Maintenance",0
"0513N","Ship Modernization, Operations & Sustainment Fund","NAVY",2015,"2014",2244400,0,"Operations & Maintenance",0
"0513N","Ship Modernization, Operations & Sustainment Fund","NAVY",2016,"2015",540000,0,"Operations & Maintenance",0
"0513N","Ship Modernization, Operations & Sustainment Fund","NAVY",2017,"2016",0,0,"Operations & Maintenance",
"0810","Environmental Restoration, Air Force","AF",2012,"2011",493654,0,"Operations & Maintenance",0
"0810","Environmental Restoration, Army","ARMY",2012,"2011",422832,0,"Operations & Maintenance",0
"0810","Environmental Restoration, Defense","UNDD",2012,"2011",11086,0,"Operations & Maintenance",0
"0810","Environmental Restoration, Navy","NAVY",2012,"2011",285509,0,"Operations & Maintenance",0
"0810A","Environmental Restoration, Army","ARMY",2013,"2012",346031,0,"Operations & Maintenance",0
"0810A","Environmental Restoration, Army","ARMY",2014,"2013",348149,0,"Operations & Maintenance",0
"0810A","Environmental Restoration, Army","ARMY",2015,"2014",298815,0,"Operations & Maintenance",0
"0810A","Environmental Restoration, Army","ARMY",2016,"2015",201560,0,"Operations & Maintenance",0
"0810A","Environmental Restoration, Army","ARMY",2017,"2016",234829,0,"Operations & Maintenance",0
"0810D","Environmental Restoration, Defense","DEFW",2013,"2012",10716,0,"Operations & Maintenance",0
"0810D","Environmental Restoration, Defense","DEFW",2014,"2013",10782,0,"Operations & Maintenance",0
"0810D","Environmental Restoration, Defense","DEFW",2015,"2014",10757,0,"Operations & Maintenance",0
"0810D","Environmental Restoration, Defense","DEFW",2016,"2015",8547,0,"Operations & Maintenance",0
"0810D","Environmental Restoration, Defense","DEFW",2017,"2016",8232,0,"Operations & Maintenance",0
"0810F","Environmental Restoration, Air Force","AF",2013,"2012",525453,0,"Operations & Maintenance",0
"0810F","Environmental Restoration, Air Force","AF",2014,"2013",528669,0,"Operations & Maintenance",0
"0810F","Environmental Restoration, Air Force","AF",2015,"2014",439820,0,"Operations & Maintenance",0
"0810F","Environmental Restoration, Air Force","AF",2016,"2015",408716,0,"Operations & Maintenance",0
"0810F","Environmental Restoration, Air Force","AF",2017,"2016",368131,0,"Operations & Maintenance",0
"0810N","Environmental Restoration, Navy","NAVY",2013,"2012",308668,0,"Operations & Maintenance",0
"0810N","Environmental Restoration, Navy","NAVY",2014,"2013",310557,0,"Operations & Maintenance",0
"0810N","Environmental Restoration, Navy","NAVY",2015,"2014",316103,0,"Operations & Maintenance",0
"0810N","Environmental Restoration, Navy","NAVY",2016,"2015",277294,0,"Operations & Maintenance",0
"0810N","Environmental Restoration, Navy","NAVY",2017,"2016",3e+05,0,"Operations & Maintenance",0
"0811","Environmental Restoration Formerly Used Sites","UNDD",2012,"2011",292332,0,"Operations & Maintenance",0
"0811D","Environmental Restoration Formerly Used Sites","DEFW",2013,"2012",326495,0,"Operations & Maintenance",0
"0811D","Environmental Restoration Formerly Used Sites","DEFW",2014,"2013",328493,0,"Operations & Maintenance",0
"0811D","Environmental Restoration Formerly Used Sites","DEFW",2015,"2014",287443,0,"Operations & Maintenance",0
"0811D","Environmental Restoration Formerly Used Sites","DEFW",2016,"2015",250853,0,"Operations & Maintenance",0
"0811D","Environmental Restoration Formerly Used Sites","DEFW",2017,"2016",231217,0,"Operations & Maintenance",0
"0819","Overseas Humanitarian, Disaster and Civic Aid","DSCA",2012,"2011",109731,0,"Operations & Maintenance",0
"0819D","Overseas Humanitarian, Disaster and Civic Aid","DSCA",2013,"2012",107662,0,"Operations & Maintenance",0
"0819D","Overseas Humanitarian, Disaster, and Civic Aid","DSCA",2014,"2013",108321,0,"Operations & Maintenance",0
"0819D","Overseas Humanitarian, Disaster, and Civic Aid","DSCA",2015,"2014",109500,0,"Operations & Maintenance",0
"0819D","Overseas Humanitarian, Disaster, and Civic Aid","DSCA",2016,"2015",103000,0,"Operations & Maintenance",0
"0819D","Overseas Humanitarian, Disaster, and Civic Aid","DSCA",2017,"2016",103266,0,"Operations & Maintenance",0
"0833","Emergency Response Fund, Defense","UNDD",2012,"2011",0,0,"Operations & Maintenance",
"0833D","Emergency Response Fund, Defense","DEFW",2014,"2013",0,0,"Operations & Maintenance",
"0833D","Emergency Response Fund, Defense","DEFW",2015,"2014",0,0,"Operations & Maintenance",
"0838","Support Of International Sporting Comptns, Def","ARMY",2012,"2011",0,0,"Operations & Maintenance",
"0838D","Support for International Sporting Competitions , Defense","ARMY",2013,"2012",0,0,"Operations & Maintenance",
"0838D","Support for International Sporting Competitions , Defense","DEFW",2014,"2013",0,0,"Operations & Maintenance",
"0838D","Support for International Sporting Competitions , Defense","DEFW",2015,"2014",0,0,"Operations & Maintenance",
"0838D","Support for International Sporting Competitions , Defense","DEFW",2016,"2015",10000,0,"Operations & Maintenance",0
"0838D","Support for International Sporting Competitions , Defense","DEFW",2017,"2016",0,0,"Operations & Maintenance",
"1106","Operation & Maintenance, Marine Corps","NAVY",2012,"2011",5532151,4160156,"Operations & Maintenance",0.429222475103193
"1106N","Operation & Maintenance, Marine Corps","",2013,"2012",405431,5989,"Operations & Maintenance",0.0145569004909825
"1106N","Operation & Maintenance, Marine Corps","",2014,"2013",346071,11701,"Operations & Maintenance",0.0327051865433852
"1106N","Operation & Maintenance, Marine Corps","",2015,"2014",46165,825,"Operations & Maintenance",0.0175569270057459
"1106N","Operation & Maintenance, Marine Corps","",2016,"2015",44706,1870,"Operations & Maintenance",0.0401494331844727
"1106N","Operation & Maintenance, Marine Corps","",2017,"2016",45429,2070,"Operations & Maintenance",0.0435798648392598
"1106N","Operation & Maintenance, Marine Corps","NAVY",2013,"2012",5137506,3532033,"Operations & Maintenance",0.407407245068048
"1106N","Operation & Maintenance, Marine Corps","NAVY",2014,"2013",5230789,4054639,"Operations & Maintenance",0.436666893545456
"1106N","Operation & Maintenance, Marine Corps","NAVY",2015,"2014",5343403,3368990,"Operations & Maintenance",0.38668939750537
"1106N","Operation & Maintenance, Marine Corps","NAVY",2016,"2015",5556248,1849114,"Operations & Maintenance",0.24969933947861
"1106N","Operation & Maintenance, Marine Corps","NAVY",2017,"2016",5631936,1358986,"Operations & Maintenance",0.194392957037713
"1107","Operation & Maintenance, MC Reserve","NAVY",2012,"2011",222894,87450,"Operations & Maintenance",0.281784084757559
"1107N","Operation & Maintenance, MC Reserve","NAVY",2013,"2012",271443,36084,"Operations & Maintenance",0.117336038786838
"1107N","Operation & Maintenance, MC Reserve","NAVY",2014,"2013",273104,25477,"Operations & Maintenance",0.0853269297108657
"1107N","Operation & Maintenance, MC Reserve","NAVY",2015,"2014",255317,12534,"Operations & Maintenance",0.0467946731578378
"1107N","Operation & Maintenance, MC Reserve","NAVY",2016,"2015",270846,10540,"Operations & Maintenance",0.0374574428009922
"1107N","Operation & Maintenance, MC Reserve","NAVY",2017,"2016",273497,3455,"Operations & Maintenance",0.012475085935469
"1236","Payment to Kaho'olawe Island Fund","NAVY",2012,"2011",0,0,"Operations & Maintenance",
"1236N","Payment to Kaho'olawe Island Fund","NAVY",2013,"2012",0,0,"Operations & Maintenance",
"1236N","Payment to Kaho'olawe Island Fund","NAVY",2016,"2015",0,0,"Operations & Maintenance",
"1804","Operation & Maintenance, Navy","",2012,"2011",614275,22581,"Operations & Maintenance",0.035456994987878
"1804","Operation & Maintenance, Navy","NAVY",2012,"2011",34056462,7781697,"Operations & Maintenance",0.185995205955405
"1804N","Operation & Maintenance, Navy","",2013,"2012",550334,16658,"Operations & Maintenance",0.0293796032395519
"1804N","Operation & Maintenance, Navy","",2014,"2013",537079,14556,"Operations & Maintenance",0.0263870131518123
"1804N","Operation & Maintenance, Navy","",2015,"2014",543611,5608,"Operations & Maintenance",0.0102108630619116
"1804N","Operation & Maintenance, Navy","",2016,"2015",521259,6380,"Operations & Maintenance",0.0120916005071649
"1804N","Operation & Maintenance, Navy","",2017,"2016",526289,6320,"Operations & Maintenance",0.0118661156683421
"1804N","Operation & Maintenance, Navy","NAVY",2013,"2012",37570487,7501790,"Operations & Maintenance",0.166439117331481
"1804N","Operation & Maintenance, Navy","NAVY",2014,"2013",37857056,5865839,"Operations & Maintenance",0.134159437521235
"1804N","Operation & Maintenance, Navy","NAVY",2015,"2014",35300117,8465200,"Operations & Maintenance",0.193422567920621
"1804N","Operation & Maintenance, Navy","NAVY",2016,"2015",37030787,6247439,"Operations & Maintenance",0.144355246908688
"1804N","Operation & Maintenance, Navy","NAVY",2017,"2016",38420001,6999089,"Operations & Maintenance",0.154100159206184
"1806","Operation & Maintenance, Navy Res","NAVY",2012,"2011",1272099,137407,"Operations & Maintenance",0.0974859276938161
"1806N","Operation & Maintenance, Navy Res","NAVY",2013,"2012",1305134,74148,"Operations & Maintenance",0.0537584047352173
"1806N","Operation & Maintenance, Navy Res","NAVY",2014,"2013",1313121,55924,"Operations & Maintenance",0.0408489129283552
"1806N","Operation & Maintenance, Navy Res","NAVY",2015,"2014",1158382,55700,"Operations & Maintenance",0.0458782849922822
"1806N","Operation & Maintenance, Navy Res","NAVY",2016,"2015",1021200,45876,"Operations & Maintenance",0.0429922517234011
"1806N","Operation & Maintenance, Navy Res","NAVY",2017,"2016",956761,31462,"Operations & Maintenance",0.0318369436857875
"2020","Operation & Maintenance, Army","ARMY",2012,"2011",30745645,58332973,"Operations & Maintenance",0.654848203864142
"2020A","Operation & Maintenance, Army","",2013,"2012",950699,2436765,"Operations & Maintenance",0.719347866132304
"2020A","Operation & Maintenance, Army","",2014,"2013",1052595,1828717,"Operations & Maintenance",0.63468204762275
"2020A","Operation & Maintenance, Army","",2015,"2014",980646,1402994,"Operations & Maintenance",0.588593076135658
"2020A","Operation & Maintenance, Army","",2016,"2015",1029274,1122092,"Operations & Maintenance",0.521571875729188
"2020A","Operation & Maintenance, Army","",2017,"2016",1132678,1159632,"Operations & Maintenance",0.505879222269239
"2020A","Operation & Maintenance, Army","ARMY",2013,"2012",29602186,39804359,"Operations & Maintenance",0.573495756055859
"2020A","Operation & Maintenance, Army","ARMY",2014,"2013",29692644,26762724,"Operations & Maintenance",0.474051006097418
"2020A","Operation & Maintenance, Army","ARMY",2015,"2014",29663248,30966255,"Operations & Maintenance",0.510745651337436
"2020A","Operation & Maintenance, Army","ARMY",2016,"2015",30723475,17236564,"Operations & Maintenance",0.359394286564279
"2020A","Operation & Maintenance, Army","ARMY",2017,"2016",30548462,13563852,"Operations & Maintenance",0.307484481544088
"2065","Operation & Maintenance, ARNG","ARMY",2012,"2011",6184928,487033,"Operations & Maintenance",0.0729969794487708
"2065A","Operation & Maintenance, ARNG","ARMY",2013,"2012",6924932,377544,"Operations & Maintenance",0.0517008203792796
"2065A","Operation & Maintenance, ARNG","ARMY",2014,"2013",6970478,382448,"Operations & Maintenance",0.052013035354905
"2065A","Operation & Maintenance, ARNG","ARMY",2015,"2014",6857530,130471,"Operations & Maintenance",0.0186707185645795
"2065A","Operation & Maintenance, ARNG","ARMY",2016,"2015",6175951,77661,"Operations & Maintenance",0.0124185830524823
"2065A","Operation & Maintenance, ARNG","ARMY",2017,"2016",6555945,135845,"Operations & Maintenance",0.020300248513477
"2080","Operation & Maintenance, Army Res","ARMY",2012,"2011",2614204,241803,"Operations & Maintenance",0.0846647084548462
"2080A","Operation & Maintenance, Army Res","ARMY",2013,"2012",3071733,217500,"Operations & Maintenance",0.066124838222163
"2080A","Operation & Maintenance, Army Res","ARMY",2014,"2013",3090532,154537,"Operations & Maintenance",0.0476220998690629
"2080A","Operation & Maintenance, Army Res","ARMY",2015,"2014",2940936,34674,"Operations & Maintenance",0.0116527367497757
"2080A","Operation & Maintenance, Army Res","ARMY",2016,"2015",2513393,41532,"Operations & Maintenance",0.0162556630820866
"2080A","Operation & Maintenance, Army Res","ARMY",2017,"2016",2628891,99554,"Operations & Maintenance",0.0364874498111562
"2091","Afghanistan Security Forces Fund","ARMY",2012,"2011",0,8942674,"Operations & Maintenance",1
"2091A","Afghanistan Security Forces Fund","ARMY",2013,"2012",0,11200000,"Operations & Maintenance",1
"2091A","Afghanistan Security Forces Fund","ARMY",2014,"2013",0,5749167,"Operations & Maintenance",1
"2091A","Afghanistan Security Forces Fund","ARMY",2015,"2014",0,4726720,"Operations & Maintenance",1
"2091A","Afghanistan Security Forces Fund","ARMY",2016,"2015",0,4109333,"Operations & Maintenance",1
"2091A","Afghanistan Security Forces Fund","ARMY",2017,"2016",0,3652257,"Operations & Maintenance",1
"2092","Iraq Security Forces Fund","ARMY",2012,"2011",0,913942,"Operations & Maintenance",1
"2092A","Iraq Security Forces Fund","ARMY",2013,"2012",0,0,"Operations & Maintenance",
"2095A","Pakistan Counterinsurgency Fund","ARMY",2013,"2012",0,0,"Operations & Maintenance",
"2096","Afghanistan Infrastructure Fund","ARMY",2012,"2011",0,0,"Operations & Maintenance",
"2096A","Afghanistan Infrastructure Fund","ARMY",2013,"2012",0,4e+05,"Operations & Maintenance",1
"2096A","Afghanistan Infrastructure Fund","ARMY",2014,"2013",0,4e+05,"Operations & Maintenance",1
"2096A","Afghanistan Infrastructure Fund","ARMY",2015,"2014",0,199000,"Operations & Maintenance",1
"2096A","Afghanistan Infrastructure Fund","ARMY",2016,"2015",0,0,"Operations & Maintenance",
"2097A","Iraq Train and Equip Fund","ARMY",2016,"2015",0,1618000,"Operations & Maintenance",1
"2097A","Iraq Train and Equip Fund","ARMY",2017,"2016",0,715000,"Operations & Maintenance",1
"2098A","Syria Train and Equip Fund","ARMY",2016,"2015",0,0,"Operations & Maintenance",
"2098A","Syria Train and Equip Fund","ARMY",2017,"2016",0,0,"Operations & Maintenance",
"3400","Operation & Maintenance, Air Force","",2012,"2011",1159342,305689,"Operations & Maintenance",0.208657018179138
"3400","Operation & Maintenance, Air Force","AF",2012,"2011",32020703,12216079,"Operations & Maintenance",0.276152071821137
"3400F","Operation & Maintenance, Air Force","",2013,"2012",1254325,54000,"Operations & Maintenance",0.0412741482429824
"3400F","Operation & Maintenance, Air Force","",2014,"2013",1209877,20270,"Operations & Maintenance",0.0164777055099919
"3400F","Operation & Maintenance, Air Force","",2015,"2014",1199562,16558,"Operations & Maintenance",0.0136154326875637
"3400F","Operation & Maintenance, Air Force","",2016,"2015",1163082,17408,"Operations & Maintenance",0.0147464188599649
"3400F","Operation & Maintenance, Air Force","",2017,"2016",2032528,38356,"Operations & Maintenance",0.0185215589091422
"3400F","Operation & Maintenance, Air Force","AF",2013,"2012",33723987,10364692,"Operations & Maintenance",0.235087379234021
"3400F","Operation & Maintenance, Air Force","AF",2014,"2013",33991002,9221343,"Operations & Maintenance",0.213396033008623
"3400F","Operation & Maintenance, Air Force","AF",2015,"2014",31918080,12729866,"Operations & Maintenance",0.285116497856363
"3400F","Operation & Maintenance, Air Force","AF",2016,"2015",33295588,10058975,"Operations & Maintenance",0.232016523843177
"3400F","Operation & Maintenance, Air Force","AF",2017,"2016",32617236,10659231,"Operations & Maintenance",0.246305480528251
"3740","Operation & Maintenance, AF Reserve","AF",2012,"2011",3127262,239289,"Operations & Maintenance",0.0710783825939366
"3740F","Operation & Maintenance, AF Reserve","AF",2013,"2012",3274359,142050,"Operations & Maintenance",0.0415787454019703
"3740F","Operation & Maintenance, AF Reserve","AF",2014,"2013",3294398,120618,"Operations & Maintenance",0.0353198930839563
"3740F","Operation & Maintenance, AF Reserve","AF",2015,"2014",3062207,32849,"Operations & Maintenance",0.0106133782393598
"3740F","Operation & Maintenance, AF Reserve","AF",2016,"2015",3026342,77794,"Operations & Maintenance",0.0250614019488837
"3740F","Operation & Maintenance, AF Reserve","AF",2017,"2016",2874813,58106,"Operations & Maintenance",0.0198116620336259
"3840","Operation & Maintenance, ANG","AF",2012,"2011",5874853,475655,"Operations & Maintenance",0.0749003071880234
"3840F","Operation & Maintenance, ANG","AF",2013,"2012",6098780,34050,"Operations & Maintenance",0.00555208606793275
"3840F","Operation & Maintenance, ANG","AF",2014,"2013",6141880,19975,"Operations & Maintenance",0.00324171860584191
"3840F","Operation & Maintenance, ANG","AF",2015,"2014",6392304,22200,"Operations & Maintenance",0.00346090672014547
"3840F","Operation & Maintenance, ANG","AF",2016,"2015",6408558,22600,"Operations & Maintenance",0.00351414162115128
"3840F","Operation & Maintenance, ANG","AF",2017,"2016",6649972,19900,"Operations & Maintenance",0.00298356550170678
"4965","Emergency Response Fund","UNDD",2012,"2011",0,0,"Operations & Maintenance",
"5098A","Restoration of the Rocky Mountain Arsenal","ARMY",2015,"2014",0,0,"Operations & Maintenance",
"5185N","Kaho'olawe Is Convync, Remediatn Env Rest","NAVY",2016,"2015",0,0,"Operations & Maintenance",
"5188","Disposal of DoD Real Property","AF",2012,"2011",6687,0,"Operations & Maintenance",0
"5188","Disposal of DoD Real Property","ARMY",2012,"2011",3091,0,"Operations & Maintenance",0
"5188","Disposal of DoD Real Property","NAVY",2012,"2011",539,0,"Operations & Maintenance",0
"5188","Disposal of DoD Real Property","UNDD",2012,"2011",81000,0,"Operations & Maintenance",0
"5188D","Disposal of DoD Real Property","AF",2013,"2012",23876,0,"Operations & Maintenance",0
"5188D","Disposal of DoD Real Property","AF",2014,"2013",9800,0,"Operations & Maintenance",0
"5188D","Disposal of DoD Real Property","AF",2015,"2014",9052,0,"Operations & Maintenance",0
"5188D","Disposal of DoD Real Property","AF",2016,"2015",476,0,"Operations & Maintenance",0
"5188D","Disposal of DoD Real Property","AF",2017,"2016",1247,0,"Operations & Maintenance",0
"5188D","Disposal of DoD Real Property","ARMY",2013,"2012",21000,0,"Operations & Maintenance",0
"5188D","Disposal of DoD Real Property","ARMY",2014,"2013",7250,0,"Operations & Maintenance",0
"5188D","Disposal of DoD Real Property","ARMY",2015,"2014",2930,0,"Operations & Maintenance",0
"5188D","Disposal of DoD Real Property","ARMY",2016,"2015",1600,0,"Operations & Maintenance",0
"5188D","Disposal of DoD Real Property","ARMY",2017,"2016",9501,0,"Operations & Maintenance",0
"5188D","Disposal of DoD Real Property","NAVY",2013,"2012",46326,0,"Operations & Maintenance",0
"5188D","Disposal of DoD Real Property","NAVY",2014,"2013",43697,0,"Operations & Maintenance",0
"5188D","Disposal of DoD Real Property","NAVY",2015,"2014",18896,0,"Operations & Maintenance",0
"5188D","Disposal of DoD Real Property","NAVY",2016,"2015",3470,0,"Operations & Maintenance",0
"5188D","Disposal of DoD Real Property","NAVY",2017,"2016",7252,0,"Operations & Maintenance",0
"5189","Lease of DoD Real Property","AF",2012,"2011",1578,0,"Operations & Maintenance",0
"5189","Lease of DoD Real Property","ARMY",2012,"2011",6306,0,"Operations & Maintenance",0
"5189","Lease of DoD Real Property","NAVY",2012,"2011",1000,0,"Operations & Maintenance",0
"5189","Lease of DoD Real Property","UNDD",2012,"2011",81116,0,"Operations & Maintenance",0
"5189D","Lease of DoD Real Property","AF",2013,"2012",20553,0,"Operations & Maintenance",0
"5189D","Lease of DoD Real Property","AF",2014,"2013",25500,0,"Operations & Maintenance",0
"5189D","Lease of DoD Real Property","AF",2015,"2014",43930,0,"Operations & Maintenance",0
"5189D","Lease of DoD Real Property","AF",2016,"2015",5543,0,"Operations & Maintenance",0
"5189D","Lease of DoD Real Property","AF",2017,"2016",10443,0,"Operations & Maintenance",0
"5189D","Lease of DoD Real Property","ARMY",2013,"2012",31500,0,"Operations & Maintenance",0
"5189D","Lease of DoD Real Property","ARMY",2014,"2013",25400,0,"Operations & Maintenance",0
"5189D","Lease of DoD Real Property","ARMY",2015,"2014",28300,0,"Operations & Maintenance",0
"5189D","Lease of DoD Real Property","ARMY",2016,"2015",10600,0,"Operations & Maintenance",0
"5189D","Lease of DoD Real Property","ARMY",2017,"2016",22148,0,"Operations & Maintenance",0
"5189D","Lease of DoD Real Property","NAVY",2013,"2012",39762,0,"Operations & Maintenance",0
