"SourceFiscalYear","AccountDSI","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","SAG","SAG.Title","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype","SpecialTotal","SpecialType","BudgetSubActivityTitle","BudgetLineItem","Var.16"
2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","150","136","CommanderS Emergency Response Program","Y","U",2010,"Total",699502,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","160","137","RESET","Y","U",2010,"Total",6762611,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","170","138","Combatant Commanders Ancillary Missions","Y","U",2010,"Total",463976,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","180","211","Strategic Mobility","Y","U",2010,"Total",237087,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","190","212","Army Prepositioning Stocks","Y","U",2010,"Total",84218,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","200","213","Industrial Preparedness","Y","U",2010,"Total",5694,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","210","311","Officer Acquisition","Y","U",2010,"Total",136348,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","220","312","Recruit Training","Y","U",2010,"Total",57986,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","230","313","One Station Unit Training","Y","U",2010,"Total",31407,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","240","314","Senior Reserve Officers Training Corps","Y","U",2010,"Total",489508,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skills And Advanced Training","250","321","Specialized Skill Training","Y","U",2010,"Total",930491,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skills And Advanced Training","260","322","Flight Training","Y","U",2010,"Total",972259,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skills And Advanced Training","270","323","Professional Development Education","Y","U",2010,"Total",159623,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skills And Advanced Training","280","324","Training Support","Y","U",2010,"Total",688529,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting And Other Training & Education","290","331","Recruiting And Advertising","Y","U",2010,"Total",543335,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting And Other Training & Education","300","332","Examining","Y","U",2010,"Total",159283,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting And Other Training & Education","310","333","Off-Duty And Voluntary Education","Y","U",2010,"Total",240941,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting And Other Training & Education","320","334","Civilian Education And Training","Y","U",2010,"Total",213701,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting And Other Training & Education","330","335","Junior ROTC","Y","U",2010,"Total",148950,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Security Programs","340","411","Security Programs","Y","U",2010,"Total",2587944,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","350","421","Servicewide Transportation","Y","U",2010,"Total",5244414,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","360","422","Central Supply Activities","Y","U",2010,"Total",607942,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","370","423","Logistic Support Activities","Y","U",2010,"Total",491071,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","380","424","Ammunition Management","Y","U",2010,"Total",357840,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","390","431","Administration","Y","U",2010,"Total",1160817,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","400","432","Servicewide Communications","Y","U",2010,"Total",1410823,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","410","433","Manpower Management","Y","U",2010,"Total",378584,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","420","434","Other Personnel Support","Y","U",2010,"Total",291817,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","430","435","Other Service Support","Y","U",2010,"Total",1832247,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","440","436","Army Claims Activities","Y","U",2010,"Total",214062,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","450","437","Real Estate Management","Y","U",2010,"Total",128393,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Support Of Other Nations","460","441","Support Of NATO Operations","Y","U",2010,"Total",425313,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Support Of Other Nations","470","442","Misc. Support Of Other Nations","Y","U",2010,"Total",14114,,,,,,,,,
2012,"2020","A","Operation & Maintenance, Army","ARMY","20","Undistributed","Undistributed","480","CR11","Adj to Match Continuing Resolution","Y","U",2010,"Total",0,,,,,,,,,
2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","010","111","Maneuver Units","Y","U",2010,"Total",1299,,,,,,,,,
2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","020","112","Modular Support Brigades","Y","U",2010,"Total",9771,,,,,,,,,
2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","030","113","Echelons Above Brigade","Y","U",2010,"Total",423447,,,,,,,,,
2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","040","114","Theater Level Assets","Y","U",2010,"Total",148435,,,,,,,,,
2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","050","115","Land Forces Operations Support","Y","U",2010,"Total",531960,,,,,,,,,
2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","060","116","Aviation Assets","Y","U",2010,"Total",60332,,,,,,,,,
2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","070","121","Force Readiness Operations Support","Y","U",2010,"Total",322755,,,,,,,,,
2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","080","122","Land Forces Systems Readiness","Y","U",2010,"Total",108480,,,,,,,,,
2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","090","123","Land Forces Depot Maintenance","Y","U",2010,"Total",122244,,,,,,,,,
2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","100","131","Base Operations Support","Y","U",2010,"Total",518822,,,,,,,,,
2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","110","132","Facilities Sustainment, Restoration, & Modernization","Y","U",2010,"Total",208285,,,,,,,,,
2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","120","135","Additional Activities","Y","U",2010,"Total",234316,,,,,,,,,
2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Logistics Operations","130","421","Servicewide Transportation","Y","U",2010,"Total",9263,,,,,,,,,
2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","140","431","Administration","Y","U",2010,"Total",74943,,,,,,,,,
2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","150","432","Servicewide Communications","Y","U",2010,"Total",4435,,,,,,,,,
2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","160","433","Manpower Management","Y","U",2010,"Total",16821,,,,,,,,,
2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","170","434","Recruiting And Advertising","Y","U",2010,"Total",56177,,,,,,,,,
2012,"2080","A","Operation & Maintenance, Army Res","ARMY","20","Undistributed","Undistributed","180","CR11","Adj to Match Continuing Resolution","Y","U",2010,"Total",0,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","010","111","Maneuver Units","Y","U",2010,"Total",619811,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","020","112","Modular Support Brigades","Y","U",2010,"Total",213472,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","030","113","Echelons Above Brigade","Y","U",2010,"Total",544309,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","040","114","Theater Level Assets","Y","U",2010,"Total",314174,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","050","115","Land Forces Operations Support","Y","U",2010,"Total",78161,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","060","116","Aviation Assets","Y","U",2010,"Total",686871,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","070","121","Force Readiness Operations Support","Y","U",2010,"Total",500703,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","080","122","Land Forces Systems Readiness","Y","U",2010,"Total",131184,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","090","123","Land Forces Depot Maintenance","Y","U",2010,"Total",336085,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","100","131","Base Operations Support","Y","U",2010,"Total",940043,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","110","132","Facilities Sustainment, Restoration, & Modernization","Y","U",2010,"Total",532388,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","120","133","Management And Operational Hq","Y","U",2010,"Total",790320,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","130","135","Additional Activities","Y","U",2010,"Total",453151,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Logistics Operations","140","421","Servicewide Transportation","Y","U",2010,"Total",0,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","150","431","Administration","Y","U",2010,"Total",110489,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","160","432","Servicewide Communications","Y","U",2010,"Total",44396,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","170","433","Manpower Management","Y","U",2010,"Total",7255,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","180","434","Recruiting And Advertising","Y","U",2010,"Total",416225,,,,,,,,,
2012,"2065","A","Operation & Maintenance, ARNG","ARMY","20","Undistributed","Undistributed","190","CR11","Adj to Match Continuing Resolution","Y","U",2010,"Total",0,,,,,,,,,
2012,"2091","A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","010","ES01","Infrastructure","Y","U",2010,"Total",1153650,,,,,,,,,
2012,"2091","A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","020","ES02","Equipment And Transportation","Y","U",2010,"Total",1633908,,,,,,,,,
2012,"2091","A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","030","ES03","Training And Operations","Y","U",2010,"Total",338627,,,,,,,,,
2012,"2091","A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","040","ES04","Sustainment","Y","U",2010,"Total",2214631,,,,,,,,,
2012,"2091","A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","060","ES05","Infrastructure","Y","U",2010,"Total",810102,,,,,,,,,
2012,"2091","A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","070","ES06","Equipment And Transportation","Y","U",2010,"Total",1282082,,,,,,,,,
2012,"2091","A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","080","ES07","Training And Operations","Y","U",2010,"Total",417871,,,,,,,,,
2012,"2091","A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","090","ES08","Sustainment","Y","U",2010,"Total",1217159,,,,,,,,,
2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","110","ES10","Sustainment","Y","U",2010,"Total",19119,,,,,,,,,
2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","120","ES11","Training And Operations","Y","U",2010,"Total",17600,,,,,,,,,
2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","130","ES12","Infrastructure","Y","U",2010,"Total",61920,,,,,,,,,
2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","140","ES14","Coin Activities","Y","U",2010,"Total",0,,,,,,,,,
2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","150","ES16","Equipment And Transportation","Y","U",2010,"Total",100,,,,,,,,,
2012,"2091","A","Afghanistan Security Forces Fund","ARMY","05","Contributions","Related Activities","170","500","Contributions","Y","U",2010,"Total",115992,,,,,,,,,
2012,"2091","A","Afghanistan Security Forces Fund","ARMY","20","Undistributed","Undistributed","180","CR11","Adj to Match Continuing Resolution","Y","U",2010,"Total",0,,,,,,,,,
2012,"2092","A","Iraq Security Forces Fund","ARMY","01","Ministry of Defense","Administration","040","100","Iraq Security Forces Fund","Y","U",2010,"Total",740730,,,,,,,,,
2012,"2092","A","Iraq Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","010","ES02","Equipment And Transportation","Y","U",2010,"Total",0,,,,,,,,,
2012,"2092","A","Iraq Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","020","ES03","Training","Y","U",2010,"Total",0,,,,,,,,,
2012,"2092","A","Iraq Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","030","ES04","Sustainment","Y","U",2010,"Total",0,,,,,,,,,
2012,"2092","A","Iraq Security Forces Fund","ARMY","02","Ministry of Interior","Administration","070","200","Iraq Interior Forces","Y","U",2010,"Total",259270,,,,,,,,,
2012,"2092","A","Iraq Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","050","ES06","Equipment And Transportation","Y","U",2010,"Total",0,,,,,,,,,
2012,"2092","A","Iraq Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","060","ES08","Sustainment","Y","U",2010,"Total",0,,,,,,,,,
2012,"2092","A","Iraq Security Forces Fund","ARMY","03","Associated Activities","Related Activities","080","ES10","Quick Response Force","Y","U",2010,"Total",0,,,,,,,,,
2012,"2092","A","Iraq Security Forces Fund","ARMY","20","Undistributed","Undistributed","090","CR11","Adj to Match Continuing Resolution","Y","U",2010,"Total",0,,,,,,,,,
2012,"2096","A","Afghanistan Infrastructure Fund","ARMY","01","Power","Administration","010","110","Power","Y","U",2010,"Total",0,,,,,,,,,
2012,"2096","A","Afghanistan Infrastructure Fund","ARMY","01","Power","Administration","020","120","Transportation","Y","U",2010,"Total",0,,,,,,,,,
2012,"2096","A","Afghanistan Infrastructure Fund","ARMY","01","Power","Administration","030","130","Water","Y","U",2010,"Total",0,,,,,,,,,
2012,"2096","A","Afghanistan Infrastructure Fund","ARMY","01","Power","Administration","040","140","Other Related Activities","Y","U",2010,"Total",0,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","010","1A1A","Mission And Other Flight Operations","Y","U",2010,"Total",4982715,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","020","1A2A","Fleet Air Training","Y","U",2010,"Total",125395,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","030","1A3A","Aviation Technical Data & Engineering Services","Y","U",2010,"Total",55230,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","040","1A4A","Air Operations And Safety Support","Y","U",2010,"Total",136777,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","050","1A4N","Air Systems Support","Y","U",2010,"Total",513112,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","060","1A5A","Aircraft Depot Maintenance","Y","U",2010,"Total",1293148,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","070","1A6A","Aircraft Depot Operations Support","Y","U",2010,"Total",35036,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","080","1A9A","Aviation Logistics","Y","U",2010,"Total",0,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","090","1B1B","Mission And Other Ship Operations","Y","U",2010,"Total",4550975,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","100","1B2B","Ship Operations Support & Training","Y","U",2010,"Total",717586,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","110","1B4B","Ship Depot Maintenance","Y","U",2010,"Total",6265286,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","120","1B5B","Ship Depot Operations Support","Y","U",2010,"Total",1180711,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","130","1C1C","Combat Communications","Y","U",2010,"Total",695359,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","140","1C2C","Electronic Warfare","Y","U",2010,"Total",79898,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","150","1C3C","Space Systems And Surveillance","Y","U",2010,"Total",201871,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","160","1C4C","Warfare Tactics","Y","U",2010,"Total",474110,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","170","1C5C","Operational Meteorology And Oceanography","Y","U",2010,"Total",343674,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","180","1C6C","Combat Support Forces","Y","U",2010,"Total",2474781,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","190","1C7C","Equipment Maintenance","Y","U",2010,"Total",182326,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","200","1C8C","Depot Operations Support","Y","U",2010,"Total",4575,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","210","1CCH","Combatant Commanders Core Operations","Y","U",2010,"Total",190112,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","220","1CCM","Combatant Commanders Direct Mission Support","Y","U",2010,"Total",283736,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","230","1D1D","Cruise Missile","Y","U",2010,"Total",126775,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","240","1D2D","Fleet Ballistic Missile","Y","U",2010,"Total",1108483,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","250","1D3D","In-Service Weapons Systems Support","Y","U",2010,"Total",136573,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","260","1D4D","Weapons Maintenance","Y","U",2010,"Total",551799,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","270","1D7D","Other Weapon Systems Support","Y","U",2010,"Total",348727,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Base Support","280","BSIT","Enterprise Information","Y","U",2010,"Total",973127,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Base Support","290","BSM1","Sustainment, Restoration And Modernization","Y","U",2010,"Total",1814916,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Base Support","300","BSS1","Base Operating Support","Y","U",2010,"Total",4391125,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Ready Reserve And Prepositioning Force","310","2A1F","Ship Prepositioning And Surge","Y","U",2010,"Total",410811,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Activations/Inactivations","320","2B1G","Aircraft Activations/Inactivations","Y","U",2010,"Total",6587,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Activations/Inactivations","330","2B2G","Ship Activations/Inactivations","Y","U",2010,"Total",208988,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Mobilization Preparation","340","2C1H","Expeditionary Health Services Systems","Y","U",2010,"Total",26850,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Mobilization Preparation","350","2C2H","Industrial Readiness","Y","U",2010,"Total",2257,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Mobilization Preparation","360","2C3H","Coast Guard Support","Y","U",2010,"Total",25094,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Accession Training","370","3A1J","Officer Acquisition","Y","U",2010,"Total",145930,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Accession Training","380","3A2J","Recruit Training","Y","U",2010,"Total",10437,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Accession Training","390","3A3J","Reserve Officers Training Corps","Y","U",2010,"Total",132892,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Basic Skills And Advanced Training","400","3B1K","Specialized Skill Training","Y","U",2010,"Total",593979,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Basic Skills And Advanced Training","410","3B2K","Flight Training","Y","U",2010,"Total",1437583,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Basic Skills And Advanced Training","420","3B3K","Professional Development Education","Y","U",2010,"Total",172013,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Basic Skills And Advanced Training","430","3B4K","Training Support","Y","U",2010,"Total",160066,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Recruiting And Other Training & Education","440","3C1L","Recruiting And Advertising","Y","U",2010,"Total",247385,,,,,,,,,
2012,"1804","N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Recruiting And Other Training & Education","450","3C3L","Off-Duty And Voluntary Education","Y","U",2010,"Total",149734,,,,,,,,,
