"","ContractingCustomer","ContractingSubCustomer","Contracting.Agency.ID","MajorCommandCode","MajorCommandName","ContractingOfficeID","ContractingOfficeCode","ContractingOfficeName","Total","OCO","MinOfTotalFiscalYear","MaxOfTotalFiscalYear","MinOfOCOfiscalYear","MaxOfOCOfiscalYear","OCOrate"
"6274","Defense","Air Force","5700","AFMC","U.S. AIR FORCE MATERIAL COMMAND","FA8112",NA,NA,0.203183705235795,1.0733709922604e-05,2006,2014,2012,2014,5.28276118901736e-05
"6275","Defense","Air Force","5700","AFMC","U.S. AIR FORCE MATERIAL COMMAND","FA8219",NA,NA,0.0708445248637097,0,2006,2014,NA,NA,0
"6276","Defense","Air Force","5700","AFMC","U.S. AIR FORCE MATERIAL COMMAND","FA8220",NA,NA,0.0553795393725527,0,2006,2014,NA,NA,0
"6277","Defense","Air Force","5700","AFMC","U.S. AIR FORCE MATERIAL COMMAND","FA8539",NA,NA,0.776173147757832,0.00127124950870684,2006,2014,2009,2013,0.00163784268030807
"6278","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00629P",NA,NA,0.00924614588561666,1.12603366806303e-05,2005,2014,2011,2011,0.00121784112212062
"6279","State and IAP","State","Uncategorized","Uncategorized","Uncategorized","OPEPD",NA,NA,4.08987840518522e-05,0,2005,2011,NA,NA,0
"6280","State and IAP","State","Uncategorized","Uncategorized","Uncategorized","UV700",NA,NA,0.0372265278802375,3.81779066149143e-05,2005,2016,2011,2014,0.00102555647246333
"6281","Defense","Air Force","5700","AFSPC","U.S. AIR FORCE SPACE COMMAND","FA8814",NA,NA,0.413011761816512,0,2006,2014,NA,NA,0
"6282","Defense","Army","2100","JCCIA","JOINT CONTRACTING COMMAND IRAQ/AFGHANISTAN","W90U42",NA,NA,0.244345649809184,0.0014638468248382,2008,2010,2009,2009,0.0059908855589668
"6283","Defense","Army","2100","ACA","ARMY CONTRACTING AGENCY","W91WAW",NA,NA,4.1825560059552,0.0694314704411637,2007,2008,2007,2008,0.016600248829258
"6284","Defense","Air Force","5700","USAFE","U.S. AIR FORCES IN EUROPE AND AIR FORCES IN AFRICA","FA5504",NA,NA,5.74756071511088e-06,0,2007,2007,NA,NA,0
"6285","Defense","Army","Uncategorized","Uncategorized","Uncategorized","W912LL",NA,NA,5.6527425880134e-05,0,2007,2007,NA,NA,0
"6286","Defense","DLA","97AS","DLA MARITIME","DLA MARITIME","SPM7M0",NA,NA,0.195224448122926,0.000110866385965118,2006,2014,2011,2013,0.000567891916361365
"6287","Defense","DLA","97AS","DLA MARITIME","DLA MARITIME","SPM7M1",NA,NA,1.58780953235666,0.00131311663674504,2006,2014,2011,2014,0.000826998837068378
"6288","Defense","DLA","97AS","DLA AVIATION","DLA AVIATION","SPM4A6",NA,NA,2.36251471870709,0.000472565394253941,2006,2014,2011,2014,0.000200026433914688
"6289","Defense","DLA","97AS","DLA AVIATION","DLA AVIATION","SPM5A2",NA,NA,0.0652383480998891,-1.78781453836565e-05,2006,2011,2010,2011,-0.000274043502086879
"6290","Defense","DLA","97AS","DCSO","DLA CONTRACTING SERVICES OFFICE","SPB701",NA,NA,0.033011608819827,0,2006,2008,NA,NA,0
"6291","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N61968",NA,NA,0.000774364680054214,0,2006,2014,NA,NA,0
"6292","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N63533",NA,NA,0.000173138843164264,0,2006,2014,NA,NA,0
"6293","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N66319",NA,NA,0.00607893948221444,0,2006,2006,NA,NA,0
"6294","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N83447",NA,NA,0.000680988938001664,0,2006,2013,NA,NA,0
"6295","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00261P",NA,NA,0.167499992928387,2.97403154713482e-05,2006,2016,2014,2014,0.000177554129713088
"6296","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00437S",NA,NA,0.0402082420733869,0,2006,2012,NA,NA,0
"6297","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00515S",NA,NA,0.0275075070012036,0,2006,2012,NA,NA,0
"6298","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00517S",NA,NA,0.014503571525927,0,2006,2010,NA,NA,0
"6299","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00539S",NA,NA,0.0739543237203887,0,2006,2011,NA,NA,0
"6300","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00541S",NA,NA,0.0700279951793452,0,2006,2011,NA,NA,0
"6301","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00552S",NA,NA,0.0514911319253085,0,2006,2011,NA,NA,0
"6302","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00575P",NA,NA,0.0034799869725674,0,2006,2007,NA,NA,0
"6303","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00578",NA,NA,0.0183842414469752,0,2006,2007,NA,NA,0
"6304","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00596S",NA,NA,0.0858270921496326,0,2006,2012,NA,NA,0
"6305","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00598S",NA,NA,0.160697321293768,0,2006,2011,NA,NA,0
"6306","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00621S",NA,NA,0.0788911282513151,0,2006,2012,NA,NA,0
"6307","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00626S",NA,NA,0.164885403678381,0,2006,2012,NA,NA,0
"6308","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00631S",NA,NA,0.0159436823751946,0,2006,2011,NA,NA,0
"6309","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00652S",NA,NA,0.0823206707626146,0,2006,2010,NA,NA,0
"6310","DHS","CBP","Uncategorized","Uncategorized","Uncategorized","SPW00",NA,NA,0.00620042670621581,0,2006,2009,NA,NA,0
"6311","Defense","Army","2100","AMC (ARMY)","ARMY MATERIAL COMMAND","W53W9L",NA,NA,0.02771060090201,0.00183172136415532,2006,2014,2010,2014,0.0661018276230326
"6312","Defense","DLA","97AS","DLA MARITIME","DLA MARITIME","SPM5M0",NA,NA,0.00254794705514078,0,2007,2011,NA,NA,0
"6313","Defense","DLA","97AS","DLA MARITIME","DLA MARITIME","SPM7M7",NA,NA,0.15058362278334,2.36924189134296e-05,2006,2014,2011,2012,0.000157337288580966
"6314","Defense","DLA","97AS","DLA TROOP SUPT SUB","DLA TROOP SUPT SUB","SPM3S1",NA,NA,1.13116740872772,0,2006,2014,NA,NA,0
"6315","Defense","DLA","97AS","DLA AVIATION","DLA AVIATION","SPM4A2",NA,NA,0.0856157652507236,0,2006,2014,NA,NA,0
"6316","Defense","DLA","97AS","DLA AVIATION","DLA AVIATION","SPRHA5",NA,NA,0.0292553807860269,0,2008,2014,NA,NA,0
"6317","Defense","DLA","97AS","DLA TROOP SUPT C&T","DLA TROOP SUPT CLOTHING & TEXTILE","SPM1C0",NA,NA,0.00830548534477625,0,2007,2010,NA,NA,0
"6318","Defense","DLA","97AS","DCSO","DLA CONTRACTING SERVICES OFFICE","SP4704",NA,NA,0.0470038869482236,0.000520915203363423,2007,2012,2009,2009,0.0110823856745556
"6319","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N00948",NA,NA,0.000635745313075668,1.81096087636672e-05,2007,2012,2008,2011,0.0284856347206947
"6320","Defense","Army","2100","JCCIA","JOINT CONTRACTING COMMAND IRAQ/AFGHANISTAN","W91B4K",NA,NA,0.396678062614268,0.0681582825314639,2006,2010,2007,2009,0.171822666679053
"6321","Defense","Army","2100","ACA","ARMY CONTRACTING AGENCY","W91WRZ",NA,NA,0.020012901461201,0.00260416707138698,2007,2008,2007,2008,0.130124413815541
"6322","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N35391",NA,NA,0.00363236532234407,0,2007,2013,NA,NA,0
"6323","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N61036",NA,NA,0.000838274986174275,5.21124347719131e-05,2008,2013,2010,2010,0.06216627673664
"6324","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N62080",NA,NA,0.000220611583620179,3.05860355811814e-06,2006,2014,2014,2014,0.0138642019966824
"6325","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N62144",NA,NA,1.81414268854846e-05,0,2008,2009,NA,NA,0
"6326","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N63061",NA,NA,0.000551023231825398,0,2007,2009,NA,NA,0
"6327","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N63216",NA,NA,0.00574147461109957,0,2007,2014,NA,NA,0
"6328","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N63315",NA,NA,0.0152319544802022,0,2007,2014,NA,NA,0
"6329","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N68330",NA,NA,0.000511230355509116,0,2007,2014,NA,NA,0
"6330","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N68546",NA,NA,0.010609743525305,0.000124658079761042,2007,2014,2007,2014,0.0117493961530477
"6331","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N68728",NA,NA,0.0191261676197678,0.00123245193140836,2007,2014,2014,2014,0.0644379969845375
"6332","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","R55575",NA,NA,0.00301302222354874,0,2008,2014,NA,NA,0
"6333","Defense","Navy","1700","NAVSEA","U.S. NAVY NAVAL SEA SYSTEMS COMMAND","N42794",NA,NA,0.13746429734039,0.00010206966187169,2008,2014,2012,2013,0.000742517612547383
"6334","Defense","Navy","1700","USMC","UNITED STATES MARINE CORPS","M20060",NA,NA,0.00220906886469284,0,2008,2014,NA,NA,0
"6335","Defense","Other DoD","Uncategorized","Uncategorized","Uncategorized","H92254",NA,NA,4.20610348548619,0.000114249238770326,2008,2016,2011,2015,2.71627265388406e-05
"6336","Defense","Other DoD","Uncategorized","Uncategorized","Uncategorized","HC1028",NA,NA,26.2456642605624,0.0156636507092323,2007,2016,2008,2016,0.000596809078776832
"6337","Defense","Other DoD","Uncategorized","Uncategorized","Uncategorized","S1103A",NA,NA,-0.0822604555401127,-3.30086837903731e-05,2007,2016,2016,2016,0.000401270374369335
"6338","Defense","Other DoD","Uncategorized","Uncategorized","Uncategorized","S2103A",NA,NA,-0.0130114158687989,-4.80594239453643e-06,2008,2016,2014,2014,0.000369363522232885
"6339","Defense","Other DoD","Uncategorized","Uncategorized","Uncategorized","S3315A",NA,NA,-0.0903754675317502,-1.02493672655029e-06,2006,2016,2016,2016,1.13408732982789e-05
"6340","Defense","DLA","97AS","DLA TROOP SUPT C&E","DLA TROOP SUPPORT CONSTRUCTION & EQUIPMENT","SPM5EB",NA,NA,0.00114585898665189,0,2006,2007,NA,NA,0
"6341","Defense","DLA","97AS","DLA TROOP SUPT C&E","DLA TROOP SUPPORT CONSTRUCTION & EQUIPMENT","SPM5M3",NA,NA,0.115148958802549,0,2006,2014,NA,NA,0
"6342","Defense","DLA","Uncategorized","Uncategorized","Uncategorized","SPM5E9",NA,NA,-0.000291672039953926,0,2007,2016,NA,NA,0
"6343","Defense","DLA","Uncategorized","Uncategorized","Uncategorized","SPM751",NA,NA,0.000402212303879238,0,2007,2007,NA,NA,0
"6344","Defense","DLA","97AS","DLA TROOP SUPT C&E","DLA TROOP SUPPORT CONSTRUCTION & EQUIPMENT","SPM5EF",NA,NA,0.101613678813293,0,2006,2013,NA,NA,0
"6345","Defense","DLA","97AS","DLA TROOP SUPT SUB","DLA TROOP SUPT SUB","SPM5B1",NA,NA,0.0113157310974409,0.000119017994160564,2007,2013,2008,2012,0.0105179235115865
"6346","Defense","Navy","Uncategorized","Uncategorized","Uncategorized","N62474",NA,NA,-7.11995851602605e-07,0,2007,2007,NA,NA,0
"6347","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00663S",NA,NA,0.104403842522445,0,2006,2010,NA,NA,0
"6348","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00678S",NA,NA,0.147217004904315,0,2006,2011,NA,NA,0
"6349","Other Agencies","VA","Uncategorized","Uncategorized","Uncategorized","00756S",NA,NA,0.0289903866737127,0,2006,2011,NA,NA,0
"6350","State and IAP","State","Uncategorized","Uncategorized","Uncategorized","LY800",NA,NA,0.0124792009821232,0,2006,2014,NA,NA,0
"6351","Defense","DLA","97AS","DLA AVIATION","DLA AVIATION","SPM5A8",NA,NA,0.0532877096122584,0,2006,2011,NA,NA,0
"6352","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N3593A",NA,NA,0.000366495587303787,0,2006,2012,NA,NA,0
"6353","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N61989",NA,NA,3.10949637200764e-05,0,2006,2012,NA,NA,0
"6354","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N62439",NA,NA,0.00182120760296947,0,2006,2013,NA,NA,0
"6355","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N3379A",NA,NA,0.00261375001925271,0.00198262140632419,2007,2008,2007,2008,0.758535204866699
"6356","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N61992",NA,NA,0.000862454375912635,0,2007,2014,NA,NA,0
"6357","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N62116",NA,NA,0.000450927517704705,0,2007,2014,NA,NA,0
"6358","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N63116",NA,NA,0.000536643650540103,0.000154197587516233,2007,2009,2009,2009,0.287337020313279
"6359","Defense","Navy","1700","NAVSUP","U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND","N63231",NA,NA,0.000952166294464687,0,2007,2008,NA,NA,0
