"SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","SAG","SAG.Title","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype","AGtitle","BudgetSubActivityTitle","BudgetLineItem"
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","0230","DoD Mobilization Alterations","Y","U",2011,"Base",,,72115,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","0250","TAH Maintenance","Y","U",2011,"Base",,,67889,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","0300","Strategic Sealift Support","Y","U",2011,"Base",,,13573,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","090","0900","Research And Development","Y","U",2011,"Base",,,77990,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","0500","Ready Reserve Force","Y","U",2011,"Base",,,924700,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","0510","MARAD Ship Financing Guarantee Program","Y","U",2011,"Base",,,0,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","120","CR11","Adj to Match Continuing Resolution","Y","U",2011,"Base",,,733079,,,,,
2012,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","ES17","Fuel Costs","Y","U",2011,"Base",,,0,,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","010","200","Transportation Fallen Heroes","Y","U",2011,"Base",,,0,,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","210","Container Deconsolidation","Y","U",2011,"Base",,,133722,,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","220","War Reserve Material","Y","U",2011,"Base",,,0,,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","040","ES17","Fuel Costs","Y","U",2011,"Base",,,0,,,,,
2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","010","110","Defense Coalition Support","Y","U",2011,"Base",,,10000,,,,,
2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","CR11","Adj to Match Continuing Resolution","Y","U",2011,"Base",,,-10000,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","CR11","Adj to Match Continuing Resolution","Y","U",2011,"Base",,,154,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","ES08","Defense Logistics Agency (DLA)","Y","U",2011,"Base",,,95217,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","CR11","Adj to Match Continuing Resolution","Y","U",2011,"Base",,,16127,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","010","Supply Chain Management - Def","Y","U",2011,"Base",,,0,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","010","Energy Management - Def","Y","U",2011,"Base",,,0,,,,,
2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","ES11","Working Capital Fund, DECA","Y","U",2011,"Base",,,2547142,,,,,
2012,,,,,,,,,,,2011,"Base",,,,,,,,
2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",,,,,,,,,,2011,"Base",,,,,,,,
2012,"by appropriation.",,,,,,,,,,2011,"Base",,,,,,,,
2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",,,,,,,,,,2011,"Base",,,,,,,,
2012,"level for each appropriation.",,,,,,,,,,2011,"Base",,,,,,,,
2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","200","Prepositioned War Reserve Stocks","Y","U",2011,"OCO",,,0,,,,,
2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","ES01","Prepositioned War Reserve Stocks","Y","U",2011,"OCO",,,0,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","0120","T-AKE","Y","U",2011,"OCO",,,0,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","0401","MPF MLP","Y","U",2011,"OCO",,,0,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","5000","Post Delivery and Outfitting","Y","U",2011,"OCO",,,0,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","0200","National Def Sealift Vessel","Y","U",2011,"OCO",,,0,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2011,"OCO",,,0,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","0230","DoD Mobilization Alterations","Y","U",2011,"OCO",,,0,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","0250","TAH Maintenance","Y","U",2011,"OCO",,,0,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","0300","Strategic Sealift Support","Y","U",2011,"OCO",,,0,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","090","0900","Research And Development","Y","U",2011,"OCO",,,0,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","0500","Ready Reserve Force","Y","U",2011,"OCO",,,0,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","0510","MARAD Ship Financing Guarantee Program","Y","U",2011,"OCO",,,0,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","120","CR11","Adj to Match Continuing Resolution","Y","U",2011,"OCO",,,0,,,,,
2012,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","ES17","Fuel Costs","Y","U",2011,"OCO",,,0,,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","010","200","Transportation Fallen Heroes","Y","U",2011,"OCO",,,34000,,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","210","Container Deconsolidation","Y","U",2011,"OCO",,,0,,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","220","War Reserve Material","Y","U",2011,"OCO",,,0,,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","040","ES17","Fuel Costs","Y","U",2011,"OCO",,,0,,,,,
2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","010","110","Defense Coalition Support","Y","U",2011,"OCO",,,0,,,,,
2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","CR11","Adj to Match Continuing Resolution","Y","U",2011,"OCO",,,0,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","CR11","Adj to Match Continuing Resolution","Y","U",2011,"OCO",,,-154,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","ES08","Defense Logistics Agency (DLA)","Y","U",2011,"OCO",,,0,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","CR11","Adj to Match Continuing Resolution","Y","U",2011,"OCO",,,964206,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","010","Supply Chain Management - Def","Y","U",2011,"OCO",,,342857,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","010","Energy Management - Def","Y","U",2011,"OCO",,,1557963,,,,,
2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","ES11","Working Capital Fund, DECA","Y","U",2011,"OCO",,,0,,,,,
2012,,,,,,,,,,,2011,"OCO",,,,,,,,
2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",,,,,,,,,,2011,"OCO",,,,,,,,
2012,"by appropriation.",,,,,,,,,,2011,"OCO",,,,,,,,
2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",,,,,,,,,,2011,"OCO",,,,,,,,
2012,"level for each appropriation.",,,,,,,,,,2011,"OCO",,,,,,,,
2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","200","Prepositioned War Reserve Stocks","Y","U",2011,"Total",,109272,,,,,,
2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","ES01","Prepositioned War Reserve Stocks","Y","U",2011,"Total",,0,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","0120","T-AKE","Y","U",2011,"Total",,0,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","0401","MPF MLP","Y","U",2011,"Total",,1057979,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","5000","Post Delivery and Outfitting","Y","U",2011,"Total",,86871,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","0200","National Def Sealift Vessel","Y","U",2011,"Total",,4073,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2011,"Total",,297621,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","0230","DoD Mobilization Alterations","Y","U",2011,"Total",,72115,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","0250","TAH Maintenance","Y","U",2011,"Total",,67889,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","0300","Strategic Sealift Support","Y","U",2011,"Total",,13573,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","090","0900","Research And Development","Y","U",2011,"Total",,77990,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","0500","Ready Reserve Force","Y","U",2011,"Total",,924700,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","0510","MARAD Ship Financing Guarantee Program","Y","U",2011,"Total",,0,,,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","120","CR11","Adj to Match Continuing Resolution","Y","U",2011,"Total",,733079,,,,,,
2012,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","ES17","Fuel Costs","Y","U",2011,"Total",,0,,,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","010","200","Transportation Fallen Heroes","Y","U",2011,"Total",,34000,,,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","210","Container Deconsolidation","Y","U",2011,"Total",,133722,,,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","220","War Reserve Material","Y","U",2011,"Total",,0,,,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","040","ES17","Fuel Costs","Y","U",2011,"Total",,0,,,,,,
2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","010","110","Defense Coalition Support","Y","U",2011,"Total",,10000,,,,,,
2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","CR11","Adj to Match Continuing Resolution","Y","U",2011,"Total",,-10000,,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","CR11","Adj to Match Continuing Resolution","Y","U",2011,"Total",,0,,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","ES08","Defense Logistics Agency (DLA)","Y","U",2011,"Total",,95217,,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","CR11","Adj to Match Continuing Resolution","Y","U",2011,"Total",,980333,,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","010","Supply Chain Management - Def","Y","U",2011,"Total",,342857,,,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","010","Energy Management - Def","Y","U",2011,"Total",,1557963,,,,,,
2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","ES11","Working Capital Fund, DECA","Y","U",2011,"Total",,2547142,,,,,,
2012,,,,,,,,,,,2011,"Total",,,,,,,,
2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",,,,,,,,,,2011,"Total",,,,,,,,
2012,"by appropriation.",,,,,,,,,,2011,"Total",,,,,,,,
2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",,,,,,,,,,2011,"Total",,,,,,,,
2012,"level for each appropriation.",,,,,,,,,,2011,"Total",,,,,,,,
2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","200","Prepositioned War Reserve Stocks","Y","U",2012,"Base",,,,,101194,,,
2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","ES01","Prepositioned War Reserve Stocks","Y","U",2012,"Base",,,,,0,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","0120","T-AKE","Y","U",2012,"Base",,,,,0,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","0401","MPF MLP","Y","U",2012,"Base",,,,,425865,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","5000","Post Delivery and Outfitting","Y","U",2012,"Base",,,,,24161,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","0200","National Def Sealift Vessel","Y","U",2012,"Base",,,,,1138,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2012,"Base",,,,,92567,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","0230","DoD Mobilization Alterations","Y","U",2012,"Base",,,,,184109,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","0250","TAH Maintenance","Y","U",2012,"Base",,,,,40831,,,
2012,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","0300","Strategic Sealift Support","Y","U",2012,"Base",,,,,0,,,
2012,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","090","0900","Research And Development","Y","U",2012,"Base",,,,,48443,,,
2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","0500","Ready Reserve Force","Y","U",2012,"Base",,,,,309270,,,
2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","0510","MARAD Ship Financing Guarantee Program","Y","U",2012,"Base",,,,,0,,,
2012,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","120","CR11","Adj to Match Continuing Resolution","Y","U",2012,"Base",,,,,0,,,
2012,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","ES17","Fuel Costs","Y","U",2012,"Base",,,,,0,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","010","200","Transportation Fallen Heroes","Y","U",2012,"Base",,,,,0,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","210","Container Deconsolidation","Y","U",2012,"Base",,,,,0,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","220","War Reserve Material","Y","U",2012,"Base",,,,,65372,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","040","ES17","Fuel Costs","Y","U",2012,"Base",,,,,0,,,
2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","010","110","Defense Coalition Support","Y","U",2012,"Base",,,,,0,,,
2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","CR11","Adj to Match Continuing Resolution","Y","U",2012,"Base",,,,,0,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","CR11","Adj to Match Continuing Resolution","Y","U",2012,"Base",,,,,0,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","ES08","Defense Logistics Agency (DLA)","Y","U",2012,"Base",,,,,31614,,,
2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","CR11","Adj to Match Continuing Resolution","Y","U",2012,"Base",,,,,0,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","010","Supply Chain Management - Def","Y","U",2012,"Base",,,,,0,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","010","Energy Management - Def","Y","U",2012,"Base",,,,,0,,,
2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","ES11","Working Capital Fund, DECA","Y","U",2012,"Base",,,,,1376830,,,
2012,,,,,,,,,,,2012,"Base",,,,,,,,
2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",,,,,,,,,,2012,"Base",,,,,,,,
2012,"by appropriation.",,,,,,,,,,2012,"Base",,,,,,,,
2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",,,,,,,,,,2012,"Base",,,,,,,,
2012,"level for each appropriation.",,,,,,,,,,2012,"Base",,,,,,,,
2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","200","Prepositioned War Reserve Stocks","Y","U",2012,"OCO",,,,,0,,,
2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","ES01","Prepositioned War Reserve Stocks","Y","U",2012,"OCO",,,,,54000,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","0120","T-AKE","Y","U",2012,"OCO",,,,,0,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","0401","MPF MLP","Y","U",2012,"OCO",,,,,0,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","5000","Post Delivery and Outfitting","Y","U",2012,"OCO",,,,,0,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","0200","National Def Sealift Vessel","Y","U",2012,"OCO",,,,,0,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2012,"OCO",,,,,0,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","0230","DoD Mobilization Alterations","Y","U",2012,"OCO",,,,,0,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","0250","TAH Maintenance","Y","U",2012,"OCO",,,,,0,,,
2012,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","0300","Strategic Sealift Support","Y","U",2012,"OCO",,,,,0,,,
2012,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","090","0900","Research And Development","Y","U",2012,"OCO",,,,,0,,,
2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","0500","Ready Reserve Force","Y","U",2012,"OCO",,,,,0,,,
2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","0510","MARAD Ship Financing Guarantee Program","Y","U",2012,"OCO",,,,,0,,,
2012,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","120","CR11","Adj to Match Continuing Resolution","Y","U",2012,"OCO",,,,,0,,,
2012,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","ES17","Fuel Costs","Y","U",2012,"OCO",,,,,0,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","010","200","Transportation Fallen Heroes","Y","U",2012,"OCO",,,,,10000,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","210","Container Deconsolidation","Y","U",2012,"OCO",,,,,2000,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","220","War Reserve Material","Y","U",2012,"OCO",,,,,0,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","040","ES17","Fuel Costs","Y","U",2012,"OCO",,,,,0,,,
2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","010","110","Defense Coalition Support","Y","U",2012,"OCO",,,,,0,,,
2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","CR11","Adj to Match Continuing Resolution","Y","U",2012,"OCO",,,,,0,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","CR11","Adj to Match Continuing Resolution","Y","U",2012,"OCO",,,,,0,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","ES08","Defense Logistics Agency (DLA)","Y","U",2012,"OCO",,,,,369013,,,
2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","CR11","Adj to Match Continuing Resolution","Y","U",2012,"OCO",,,,,0,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","010","Supply Chain Management - Def","Y","U",2012,"OCO",,,,,0,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","010","Energy Management - Def","Y","U",2012,"OCO",,,,,0,,,
2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","ES11","Working Capital Fund, DECA","Y","U",2012,"OCO",,,,,0,,,
2012,,,,,,,,,,,2012,"OCO",,,,,,,,
