"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","ProgramElement","ProgramElementTitle","LineNumber","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"56",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","56  ","0603619A","Landmine Warfare and Barrier - Adv Dev","56  ","Y","Y","U",2012,"Total",16399,NA,NA,NA,NA
"57",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","57  ","0603627A","Smoke, Obscurant and Target Defeating Sys-Adv Dev","57  ","Y","Y","U",2012,"Total",4357,NA,NA,NA,NA
"58",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","58  ","0603639A","Tank and Medium Caliber Ammunition","58  ","Y","Y","U",2012,"Total",40201,NA,NA,NA,NA
"59",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","59  ","0603653A","Advanced Tank Armament System (ATAS)","59  ","Y","Y","U",2012,"Total",62343,NA,NA,NA,NA
"60",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","60  ","0603747A","Soldier Support and Survivability","60  ","Y","Y","U",2012,"Total",13720,NA,NA,NA,NA
"61",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","61  ","0603766A","Tactical Electronic Surveillance System - Adv Dev","61  ","Y","Y","U",2012,"Total",5757,NA,NA,NA,NA
"62",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","62  ","0603774A","Night Vision Systems Advanced Development","62  ","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"63",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","63  ","0603779A","Environmental Quality Technology - Dem/Val","63  ","Y","Y","U",2012,"Total",4788,NA,NA,NA,NA
"64",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","64  ","0603782A","Warfighter Information Network-Tactical - DEM/VAL","64  ","Y","Y","U",2012,"Total",177122,NA,NA,NA,NA
"65",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","65  ","0603790A","NATO Research and Development","65  ","Y","Y","U",2012,"Total",4612,NA,NA,NA,NA
"66",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","66  ","0603801A","Aviation - Adv Dev","66  ","Y","Y","U",2012,"Total",6879,NA,NA,NA,NA
"67",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","67  ","0603804A","Logistics and Engineer Equipment - Adv Dev","67  ","Y","Y","U",2012,"Total",12107,NA,NA,NA,NA
"68",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","68  ","0603805A","Combat Service Support Control System Evaluation and Analysis","68  ","Y","Y","U",2012,"Total",5090,NA,NA,NA,NA
"69",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","69  ","0603807A","Medical Systems - Adv Dev","69  ","Y","Y","U",2012,"Total",34809,NA,NA,NA,NA
"70",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","70  ","0603827A","Soldier Systems - Advanced Development","70  ","Y","Y","U",2012,"Total",23516,NA,NA,NA,NA
"71",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","71  ","0603850A","Integrated Broadcast Service","71  ","Y","Y","U",2012,"Total",1494,NA,NA,NA,NA
"72",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","72  ","0604115A","Technology Maturation Initiatives","72  ","Y","Y","U",2012,"Total",11839,NA,NA,NA,NA
"73",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","73  ","0604131A","TRACTOR JUTE","73  ","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"74",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","74  ","0604319A","Indirect Fire Protection Capability Increment 2-Intercept (IFPC2)","74  ","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"75",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","75  ","0604785A","Integrated Base Defense (Budget Activity 4)","75  ","Y","Y","U",2012,"Total",3926,NA,NA,NA,NA
"76",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes","76  ","0305205A","Endurance UAVs","76  ","Y","Y","U",2012,"Total",51389,NA,NA,NA,NA
"77",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","77  ","0604201A","Aircraft Avionics","77  ","Y","Y","U",2012,"Total",115890,NA,NA,NA,NA
"78",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","78  ","0604220A","Armed, Deployable Helos","78  ","Y","Y","U",2012,"Total",80323,NA,NA,NA,NA
