"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BSA","BSAtitle","LineNumber","LineItem","LineItemTitle","CostType","CostTypeTitle","LineNumber","AddOrNonAdd","Classified","FiscalYear","OriginType","ActualTotal","PBtotal","PBtype","QuantActualTotal","QuantPBtotal","QuantPBtype"
"34",2012,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","29 ","8472AA0700","Airborne Avionics","A","Weapon System Cost","29 ","Add","U",2010,"Total",207064,NA,NA,0,NA,NA
"35",2012,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","30 ","8658AA0712","Network And Mission Plan","A","Weapon System Cost","30 ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"36",2012,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","31 ","8659AA0723","Comms, Nav Surveillance","A","Weapon System Cost","31 ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"37",2012,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","32 ","8859AA0711","Gatm Rollup","A","Weapon System Cost","32 ","Add","U",2010,"Total",102824,NA,NA,0,NA,NA
"38",2012,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification Of Aircraft","33 ","9555A00018","RQ-7 UAV MODS","A","Weapon System Cost","33 ","Add","U",2010,"Total",649939,NA,NA,0,NA,NA
"39",2012,"2031A","Aircraft Procurement, Army","ARMY","03","Spares and Repair Parts","10","Spares And Repair Parts","34 ","0420AA0950","Spare Parts (AIR)","A","Weapon System Cost","34 ","Add","U",2010,"Total",28013,NA,NA,0,NA,NA
"40",2012,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","10","Ground Support Avionics","35 ","3632AZ3504","Aircraft Survivability Equipment","A","Weapon System Cost","35 ","Add","U",2010,"Total",25895,NA,NA,0,NA,NA
"41",2012,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","10","Ground Support Avionics","36 ","5044AZ3507","Survivability CM","A","Weapon System Cost","36 ","Add","U",2010,"Total",285141,NA,NA,0,NA,NA
"42",2012,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","10","Ground Support Avionics","37 ","5397AZ3517","CMWS","A","Weapon System Cost","37 ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"43",2012,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","38 ","0832AZ3000","Avionics Support Equipment","A","Weapon System Cost","38 ","Add","U",2010,"Total",4918,NA,NA,0,NA,NA
