"","SourceFiscalYear","AccountDSI","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAG.Title","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"51",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","030","030","113","Echelons Above Brigade","Y","Y","U",2010,"Total",423447,NA,NA,NA,NA
"52",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","040","040","114","Theater Level Assets","Y","Y","U",2010,"Total",148435,NA,NA,NA,NA
"53",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","050","050","115","Land Forces Operations Support","Y","Y","U",2010,"Total",531960,NA,NA,NA,NA
"54",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","060","060","116","Aviation Assets","Y","Y","U",2010,"Total",60332,NA,NA,NA,NA
"55",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","070","070","121","Force Readiness Operations Support","Y","Y","U",2010,"Total",322755,NA,NA,NA,NA
"56",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","080","080","122","Land Forces Systems Readiness","Y","Y","U",2010,"Total",108480,NA,NA,NA,NA
"57",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","090","090","123","Land Forces Depot Maintenance","Y","Y","U",2010,"Total",122244,NA,NA,NA,NA
"58",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","100","100","131","Base Operations Support","Y","Y","U",2010,"Total",518822,NA,NA,NA,NA
"59",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","110","110","132","Facilities Sustainment, Restoration, & Modernization","Y","Y","U",2010,"Total",208285,NA,NA,NA,NA
"60",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","120","120","135","Additional Activities","Y","Y","U",2010,"Total",234316,NA,NA,NA,NA
"61",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Logistics Operations","130","130","421","Servicewide Transportation","Y","Y","U",2010,"Total",9263,NA,NA,NA,NA
"62",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","140","140","431","Administration","Y","Y","U",2010,"Total",74943,NA,NA,NA,NA
"63",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","150","150","432","Servicewide Communications","Y","Y","U",2010,"Total",4435,NA,NA,NA,NA
"64",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","160","160","433","Manpower Management","Y","Y","U",2010,"Total",16821,NA,NA,NA,NA
"65",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","170","170","434","Recruiting And Advertising","Y","Y","U",2010,"Total",56177,NA,NA,NA,NA
"66",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","20","Undistributed","Undistributed","180","180","CR11","Adj to Match Continuing Resolution","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"67",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","010","010","111","Maneuver Units","Y","Y","U",2010,"Total",619811,NA,NA,NA,NA
"68",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","020","020","112","Modular Support Brigades","Y","Y","U",2010,"Total",213472,NA,NA,NA,NA
"69",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","030","030","113","Echelons Above Brigade","Y","Y","U",2010,"Total",544309,NA,NA,NA,NA
"70",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","040","040","114","Theater Level Assets","Y","Y","U",2010,"Total",314174,NA,NA,NA,NA
"71",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","050","050","115","Land Forces Operations Support","Y","Y","U",2010,"Total",78161,NA,NA,NA,NA
"72",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","060","060","116","Aviation Assets","Y","Y","U",2010,"Total",686871,NA,NA,NA,NA
"73",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","070","070","121","Force Readiness Operations Support","Y","Y","U",2010,"Total",500703,NA,NA,NA,NA
"74",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","080","080","122","Land Forces Systems Readiness","Y","Y","U",2010,"Total",131184,NA,NA,NA,NA
"75",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","090","090","123","Land Forces Depot Maintenance","Y","Y","U",2010,"Total",336085,NA,NA,NA,NA
"76",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","100","100","131","Base Operations Support","Y","Y","U",2010,"Total",940043,NA,NA,NA,NA
"77",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","110","110","132","Facilities Sustainment, Restoration, & Modernization","Y","Y","U",2010,"Total",532388,NA,NA,NA,NA
"78",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","120","120","133","Management And Operational Hq","Y","Y","U",2010,"Total",790320,NA,NA,NA,NA
"79",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","130","130","135","Additional Activities","Y","Y","U",2010,"Total",453151,NA,NA,NA,NA
"80",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Logistics Operations","140","140","421","Servicewide Transportation","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"81",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","150","150","431","Administration","Y","Y","U",2010,"Total",110489,NA,NA,NA,NA
"82",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","160","160","432","Servicewide Communications","Y","Y","U",2010,"Total",44396,NA,NA,NA,NA
"83",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","170","170","433","Manpower Management","Y","Y","U",2010,"Total",7255,NA,NA,NA,NA
"84",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","180","180","434","Recruiting And Advertising","Y","Y","U",2010,"Total",416225,NA,NA,NA,NA
"85",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","20","Undistributed","Undistributed","190","190","CR11","Adj to Match Continuing Resolution","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"86",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","010","010","ES01","Infrastructure","Y","Y","U",2010,"Total",1153650,NA,NA,NA,NA
"87",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","020","020","ES02","Equipment And Transportation","Y","Y","U",2010,"Total",1633908,NA,NA,NA,NA
"88",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","030","030","ES03","Training And Operations","Y","Y","U",2010,"Total",338627,NA,NA,NA,NA
"89",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","040","040","ES04","Sustainment","Y","Y","U",2010,"Total",2214631,NA,NA,NA,NA
"90",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","060","060","ES05","Infrastructure","Y","Y","U",2010,"Total",810102,NA,NA,NA,NA
"91",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","070","070","ES06","Equipment And Transportation","Y","Y","U",2010,"Total",1282082,NA,NA,NA,NA
"92",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","080","080","ES07","Training And Operations","Y","Y","U",2010,"Total",417871,NA,NA,NA,NA
