"","FiscalYear","AccountDSI","OriginType","SourceFiscalYear","EnactedTotal","EnactedType"
"1108","2011","1009F","Base",2017,0,774164
"1109","2011","1105N","Base",2017,0,25599980
"1110","2011","1108N","Base",2017,0,1227000
"1111","2011","1405N","Base",2017,0,3818602
"1112","2011","1453N","Base",2017,0,50578098
"1113","2011","2010A","Base",2017,0,82011224
"1114","2011","2060A","Base",2017,0,15093810
"1115","2011","2070A","Base",2017,0,8609426
"1116","2011","3500F","Base",2017,0,52348272
"1117","2011","3700F","Base",2017,0,3178824
"1118","2011","3850F","Base",2017,0,5876458
"1119","2011","by appropriation.","Base",2017,0,0
"1120","2011","level for each appropriation.","Base",2017,0,0
"1121","2011","Unlabeled","Base",2017,0,0
"1122","2011","* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level","OCO",2017,0,0
"1123","2011","** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding","OCO",2017,0,0
"1124","2011","1000N","OCO",2017,0,0
"1125","2011","1001N","OCO",2017,0,0
"1126","2011","1002N","OCO",2017,0,0
"1127","2011","1003N","OCO",2017,0,0
"1128","2011","1004A","OCO",2017,0,0
"1129","2011","1005A","OCO",2017,0,0
"1130","2011","1006A","OCO",2017,0,0
"1131","2011","1007F","OCO",2017,0,0
"1132","2011","1008F","OCO",2017,0,0
"1133","2011","1009F","OCO",2017,0,0
"1134","2011","1105N","OCO",2017,0,1823400
"1135","2011","1108N","OCO",2017,0,126208
"1136","2011","1405N","OCO",2017,0,78900
"1137","2011","1453N","OCO",2017,0,2851192
"1138","2011","2010A","OCO",2017,0,22531204
"1139","2011","2060A","OCO",2017,0,1710588
"1140","2011","2070A","OCO",2017,0,596734
"1141","2011","3500F","OCO",2017,0,3506698
"1142","2011","3700F","OCO",2017,0,42006
"1143","2011","3850F","OCO",2017,0,19000
"1144","2011","by appropriation.","OCO",2017,0,0
"1145","2011","level for each appropriation.","OCO",2017,0,0
"1146","2011","Unlabeled","OCO",2017,0,0
"1147","2011","* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level","Total",2017,0,0
"1148","2011","** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding","Total",2017,0,0
"1149","2011","1000N","Total",2017,3682992,0
"1150","2011","1001N","Total",2017,2284642,0
"1151","2011","1002N","Total",2017,483168,0
"1152","2011","1003N","Total",2017,264230,0
"1153","2011","1004A","Total",2017,6379414,0
"1154","2011","1005A","Total",2017,1439014,0
"1155","2011","1006A","Total",2017,2507540,0
"1156","2011","1007F","Total",2017,3725130,0
"1157","2011","1008F","Total",2017,480088,0
"1158","2011","1009F","Total",2017,774164,0
"1159","2011","1105N","Total",2017,27423380,0
"1160","2011","1108N","Total",2017,1353208,0
"1161","2011","1405N","Total",2017,3897502,0
"1162","2011","1453N","Total",2017,53429290,0
"1163","2011","2010A","Total",2017,104542428,0
"1164","2011","2060A","Total",2017,16804398,0
"1165","2011","2070A","Total",2017,9206160,0
"1166","2011","3500F","Total",2017,55854970,0
"1167","2011","3700F","Total",2017,3220830,0
"1168","2011","3850F","Total",2017,5895458,0
"1169","2011","by appropriation.","Total",2017,0,0
"1170","2011","level for each appropriation.","Total",2017,0,0
"1171","2011","Unlabeled","Total",2017,0,0
"1172","2012","* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level","Base",2017,0,0
"1173","2012","** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding","Base",2017,0,0
"1174","2012","1000N","Base",2017,0,0
"1175","2012","1001N","Base",2017,0,0
"1176","2012","1002N","Base",2017,0,0
"1177","2012","1003N","Base",2017,0,0
"1178","2012","1004A","Base",2017,0,0
"1179","2012","1005A","Base",2017,0,0
"1180","2012","1006A","Base",2017,0,0
"1181","2012","1007F","Base",2017,0,0
"1182","2012","1008F","Base",2017,0,0
"1183","2012","1009F","Base",2017,0,0
"1184","2012","1105N","Base",2017,0,0
"1185","2012","1108N","Base",2017,0,0
"1186","2012","1405N","Base",2017,0,0
"1187","2012","1453N","Base",2017,0,0
"1188","2012","2010A","Base",2017,0,0
"1189","2012","2060A","Base",2017,0,0
"1190","2012","2070A","Base",2017,0,0
"1191","2012","3500F","Base",2017,0,0
"1192","2012","3700F","Base",2017,0,0
"1193","2012","3850F","Base",2017,0,0
"1194","2012","by appropriation.","Base",2017,0,0
"1195","2012","level for each appropriation.","Base",2017,0,0
"1196","2012","Unlabeled","Base",2017,0,0
"1197","2012","* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level","OCO",2017,0,0
"1198","2012","** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding","OCO",2017,0,0
"1199","2012","1000N","OCO",2017,0,0
"1200","2012","1001N","OCO",2017,0,0
"1201","2012","1002N","OCO",2017,0,0
"1202","2012","1003N","OCO",2017,0,0
"1203","2012","1004A","OCO",2017,0,0
"1204","2012","1005A","OCO",2017,0,0
"1205","2012","1006A","OCO",2017,0,0
"1206","2012","1007F","OCO",2017,0,0
"1207","2012","1008F","OCO",2017,0,0
"1208","2012","1009F","OCO",2017,0,0
"1209","2012","1105N","OCO",2017,0,0
"1210","2012","1108N","OCO",2017,0,0
"1211","2012","1405N","OCO",2017,0,0
"1212","2012","1453N","OCO",2017,0,0
"1213","2012","2010A","OCO",2017,0,0
"1214","2012","2060A","OCO",2017,0,0
"1215","2012","2070A","OCO",2017,0,0
"1216","2012","3500F","OCO",2017,0,0
"1217","2012","3700F","OCO",2017,0,0
"1218","2012","3850F","OCO",2017,0,0
"1219","2012","by appropriation.","OCO",2017,0,0
"1220","2012","level for each appropriation.","OCO",2017,0,0
"1221","2012","Unlabeled","OCO",2017,0,0
"1222","2012","* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level","Total",2017,0,0
"1223","2012","** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding","Total",2017,0,0
"1224","2012","1000N","Total",2017,0,0
"1225","2012","1001N","Total",2017,0,0
"1226","2012","1002N","Total",2017,0,0
"1227","2012","1003N","Total",2017,0,0
"1228","2012","1004A","Total",2017,0,0
"1229","2012","1005A","Total",2017,0,0
"1230","2012","1006A","Total",2017,0,0
"1231","2012","1007F","Total",2017,0,0
"1232","2012","1008F","Total",2017,0,0
"1233","2012","1009F","Total",2017,0,0
"1234","2012","1105N","Total",2017,0,0
"1235","2012","1108N","Total",2017,0,0
"1236","2012","1405N","Total",2017,0,0
"1237","2012","1453N","Total",2017,0,0
"1238","2012","2010A","Total",2017,0,0
"1239","2012","2060A","Total",2017,0,0
"1240","2012","2070A","Total",2017,0,0
"1241","2012","3500F","Total",2017,0,0
"1242","2012","3700F","Total",2017,0,0
"1243","2012","3850F","Total",2017,0,0
"1244","2012","by appropriation.","Total",2017,0,0
"1245","2012","level for each appropriation.","Total",2017,0,0
"1246","2012","Unlabeled","Total",2017,0,0
"1247","2011","Unlabeled","Base",2013,0,0
"1248","2011","Unlabeled","OCO",2013,0,0
"1249","2011","0107D","Total",2013,0,0
"1250","2011","0130D","Total",2013,0,0
"1251","2011","0144D","Total",2013,0,0
"1252","2011","0300D","Total",2013,0,0
"1253","2011","0303D","Total",2013,0,0
"1254","2011","0350D","Total",2013,0,0
"1255","2011","0360D","Total",2013,0,0
"1256","2011","0390D","Total",2013,0,0
"1257","2011","0400D","Total",2013,0,0
"1258","2011","0460D","Total",2013,0,0
"1259","2011","1000N","Total",2013,0,0
"1260","2011","1001N","Total",2013,0,0
"1261","2011","1002N","Total",2013,0,0
"1262","2011","1003N","Total",2013,0,0
"1263","2011","1004A","Total",2013,0,0
"1264","2011","1005A","Total",2013,0,0
"1265","2011","1006A","Total",2013,0,0
"1266","2011","1007F","Total",2013,0,0
"1267","2011","1008F","Total",2013,0,0
"1268","2011","1009F","Total",2013,0,0
"1269","2011","1105N","Total",2013,0,0
"1270","2011","1108N","Total",2013,0,0
"1271","2011","1109N","Total",2013,0,0
"1272","2011","1319N","Total",2013,0,0
"1273","2011","1405N","Total",2013,0,0
"1274","2011","1453N","Total",2013,0,0
"1275","2011","1506N","Total",2013,0,0
"1276","2011","1507N","Total",2013,0,0
"1277","2011","1508N","Total",2013,0,0
"1278","2011","1611N","Total",2013,0,0
"1279","2011","1810N","Total",2013,0,0
"1280","2011","2010A","Total",2013,0,0
"1281","2011","2031A","Total",2013,0,0
"1282","2011","2032A","Total",2013,0,0
"1283","2011","2033A","Total",2013,0,0
"1284","2011","2034A","Total",2013,0,0
"1285","2011","2035A","Total",2013,0,0
"1286","2011","2040A","Total",2013,0,0
"1287","2011","2060A","Total",2013,0,0
"1288","2011","2070A","Total",2013,0,0
"1289","2011","2093A","Total",2013,0,0
"1290","2011","3010F","Total",2013,0,0
"1291","2011","3011F","Total",2013,0,0
"1292","2011","3020F","Total",2013,0,0
"1293","2011","3080F","Total",2013,0,0
"1294","2011","3500F","Total",2013,0,0
"1295","2011","3600F","Total",2013,0,0
"1296","2011","3700F","Total",2013,0,0
"1297","2011","3850F","Total",2013,0,0
"1298","2011","4557N","Total",2013,0,0
"1299","2011","493001A","Total",2013,0,0
"1300","2011","493003F","Total",2013,0,0
"1301","2011","493004D","Total",2013,0,0
"1302","2011","493005D","Total",2013,0,0
"1303","2011","FY 2013 MERHFC accounts assume savings from enactment of TRICARE legislative proposals.","Total",2013,0,0
"1304","2011","Military Personnel, Army FY 2012 OCO reflects anticipated reprogramming between budget activities.","Total",2013,0,0
"1305","2012","0107D","Base",2013,0,0
"1306","2012","0130D","Base",2013,0,0
"1307","2012","0144D","Base",2013,0,0
"1308","2012","0300D","Base",2013,0,0
"1309","2012","0303D","Base",2013,0,0
"1310","2012","0350D","Base",2013,0,0
"1311","2012","0360D","Base",2013,0,0
"1312","2012","0390D","Base",2013,0,0
"1313","2012","0400D","Base",2013,0,0
"1314","2012","0460D","Base",2013,0,0
"1315","2012","1000N","Base",2013,0,0
"1316","2012","1001N","Base",2013,0,0
"1317","2012","1002N","Base",2013,0,0
"1318","2012","1003N","Base",2013,0,0
"1319","2012","1004A","Base",2013,0,0
"1320","2012","1005A","Base",2013,0,0
"1321","2012","1006A","Base",2013,0,0
"1322","2012","1007F","Base",2013,0,0
"1323","2012","1008F","Base",2013,0,0
"1324","2012","1009F","Base",2013,0,0
"1325","2012","1105N","Base",2013,0,0
"1326","2012","1108N","Base",2013,0,0
"1327","2012","1109N","Base",2013,0,0
"1328","2012","1319N","Base",2013,0,0
"1329","2012","1405N","Base",2013,0,0
"1330","2012","1453N","Base",2013,0,0
"1331","2012","1506N","Base",2013,0,0
"1332","2012","1507N","Base",2013,0,0
"1333","2012","1508N","Base",2013,0,0
"1334","2012","1611N","Base",2013,0,0
"1335","2012","1810N","Base",2013,0,0
"1336","2012","2010A","Base",2013,0,0
"1337","2012","2031A","Base",2013,0,0
"1338","2012","2032A","Base",2013,0,0
"1339","2012","2033A","Base",2013,0,0
"1340","2012","2034A","Base",2013,0,0
"1341","2012","2035A","Base",2013,0,0
"1342","2012","2040A","Base",2013,0,0
"1343","2012","2060A","Base",2013,0,0
"1344","2012","2070A","Base",2013,0,0
"1345","2012","2093A","Base",2013,0,0
"1346","2012","3010F","Base",2013,0,0
"1347","2012","3011F","Base",2013,0,0
"1348","2012","3020F","Base",2013,0,0
"1349","2012","3080F","Base",2013,0,0
"1350","2012","3500F","Base",2013,0,0
"1351","2012","3600F","Base",2013,0,0
"1352","2012","3700F","Base",2013,0,0
"1353","2012","3850F","Base",2013,0,0
"1354","2012","4557N","Base",2013,0,0
"1355","2012","493001A","Base",2013,0,0
"1356","2012","493003F","Base",2013,0,0
"1357","2012","493004D","Base",2013,0,0
"1358","2012","493005D","Base",2013,0,0
"1359","2012","FY 2013 MERHFC accounts assume savings from enactment of TRICARE legislative proposals.","Base",2013,0,0
"1360","2012","Military Personnel, Army FY 2012 OCO reflects anticipated reprogramming between budget activities.","Base",2013,0,0
"1361","2012","Unlabeled","Base",2013,0,53981540
"1362","2012","0107D","OCO",2013,0,0
"1363","2012","0130D","OCO",2013,0,0
"1364","2012","0144D","OCO",2013,0,0
"1365","2012","0300D","OCO",2013,0,0
"1366","2012","0303D","OCO",2013,0,0
"1367","2012","0350D","OCO",2013,0,0
"1368","2012","0360D","OCO",2013,0,0
"1369","2012","0390D","OCO",2013,0,0
"1370","2012","0400D","OCO",2013,0,0
"1371","2012","0460D","OCO",2013,0,0
"1372","2012","1000N","OCO",2013,0,0
"1373","2012","1001N","OCO",2013,0,0
"1374","2012","1002N","OCO",2013,0,0
"1375","2012","1003N","OCO",2013,0,0
"1376","2012","1004A","OCO",2013,0,0
"1377","2012","1005A","OCO",2013,0,0
"1378","2012","1006A","OCO",2013,0,0
"1379","2012","1007F","OCO",2013,0,0
"1380","2012","1008F","OCO",2013,0,0
"1381","2012","1009F","OCO",2013,0,0
"1382","2012","1105N","OCO",2013,0,0
"1383","2012","1108N","OCO",2013,0,0
"1384","2012","1109N","OCO",2013,0,0
"1385","2012","1319N","OCO",2013,0,0
"1386","2012","1405N","OCO",2013,0,0
"1387","2012","1453N","OCO",2013,0,0
"1388","2012","1506N","OCO",2013,0,0
"1389","2012","1507N","OCO",2013,0,0
"1390","2012","1508N","OCO",2013,0,0
"1391","2012","1611N","OCO",2013,0,0
"1392","2012","1810N","OCO",2013,0,0
"1393","2012","2010A","OCO",2013,0,0
"1394","2012","2031A","OCO",2013,0,0
"1395","2012","2032A","OCO",2013,0,0
"1396","2012","2033A","OCO",2013,0,0
"1397","2012","2034A","OCO",2013,0,0
"1398","2012","2035A","OCO",2013,0,0
"1399","2012","2040A","OCO",2013,0,0
"1400","2012","2060A","OCO",2013,0,0
"1401","2012","2070A","OCO",2013,0,0
"1402","2012","2093A","OCO",2013,0,0
"1403","2012","3010F","OCO",2013,0,0
"1404","2012","3011F","OCO",2013,0,0
"1405","2012","3020F","OCO",2013,0,0
"1406","2012","3080F","OCO",2013,0,0
"1407","2012","3500F","OCO",2013,0,0
"1408","2012","3600F","OCO",2013,0,0
"1409","2012","3700F","OCO",2013,0,0
"1410","2012","3850F","OCO",2013,0,0
"1411","2012","4557N","OCO",2013,0,0
"1412","2012","493001A","OCO",2013,0,0
"1413","2012","493003F","OCO",2013,0,0
"1414","2012","493004D","OCO",2013,0,0
"1415","2012","493005D","OCO",2013,0,0
"1416","2012","FY 2013 MERHFC accounts assume savings from enactment of TRICARE legislative proposals.","OCO",2013,0,0
"1417","2012","Military Personnel, Army FY 2012 OCO reflects anticipated reprogramming between budget activities.","OCO",2013,0,0
"1418","2012","Unlabeled","OCO",2013,0,988424
"1419","2012","0107D","Total",2013,0,0
"1420","2012","0130D","Total",2013,0,0
"1421","2012","0144D","Total",2013,0,0
"1422","2012","0300D","Total",2013,0,0
"1423","2012","0303D","Total",2013,0,0
"1424","2012","0350D","Total",2013,0,0
"1425","2012","0360D","Total",2013,0,0
"1426","2012","0390D","Total",2013,0,0
"1427","2012","0400D","Total",2013,0,0
"1428","2012","0460D","Total",2013,0,0
"1429","2012","1000N","Total",2013,0,0
"1430","2012","1001N","Total",2013,0,0
"1431","2012","1002N","Total",2013,0,0
"1432","2012","1003N","Total",2013,0,0
"1433","2012","1004A","Total",2013,0,0
"1434","2012","1005A","Total",2013,0,0
"1435","2012","1006A","Total",2013,0,0
"1436","2012","1007F","Total",2013,0,0
"1437","2012","1008F","Total",2013,0,0
"1438","2012","1009F","Total",2013,0,0
"1439","2012","1105N","Total",2013,0,0
"1440","2012","1108N","Total",2013,0,0
"1441","2012","1109N","Total",2013,0,0
"1442","2012","1319N","Total",2013,0,0
"1443","2012","1405N","Total",2013,0,0
"1444","2012","1453N","Total",2013,0,0
"1445","2012","1506N","Total",2013,0,0
"1446","2012","1507N","Total",2013,0,0
"1447","2012","1508N","Total",2013,0,0
"1448","2012","1611N","Total",2013,0,0
"1449","2012","1810N","Total",2013,0,0
"1450","2012","2010A","Total",2013,0,0
"1451","2012","2031A","Total",2013,0,0
"1452","2012","2032A","Total",2013,0,0
"1453","2012","2033A","Total",2013,0,0
"1454","2012","2034A","Total",2013,0,0
"1455","2012","2035A","Total",2013,0,0
"1456","2012","2040A","Total",2013,0,0
"1457","2012","2060A","Total",2013,0,0
"1458","2012","2070A","Total",2013,0,0
"1459","2012","2093A","Total",2013,0,0
"1460","2012","3010F","Total",2013,0,0
"1461","2012","3011F","Total",2013,0,0
"1462","2012","3020F","Total",2013,0,0
"1463","2012","3080F","Total",2013,0,0
"1464","2012","3500F","Total",2013,0,0
"1465","2012","3600F","Total",2013,0,0
"1466","2012","3700F","Total",2013,0,0
"1467","2012","3850F","Total",2013,0,0
"1468","2012","4557N","Total",2013,0,0
"1469","2012","493001A","Total",2013,0,0
"1470","2012","493003F","Total",2013,0,0
"1471","2012","493004D","Total",2013,0,0
"1472","2012","493005D","Total",2013,0,0
"1473","2012","FY 2013 MERHFC accounts assume savings from enactment of TRICARE legislative proposals.","Total",2013,0,0
"1474","2012","Military Personnel, Army FY 2012 OCO reflects anticipated reprogramming between budget activities.","Total",2013,0,0
"1475","2013","0107D","Base",2013,0,0
"1476","2013","0130D","Base",2013,0,0
"1477","2013","0144D","Base",2013,0,0
"1478","2013","0300D","Base",2013,0,0
"1479","2013","0303D","Base",2013,0,0
"1480","2013","0350D","Base",2013,0,0
"1481","2013","0360D","Base",2013,0,0
"1482","2013","0390D","Base",2013,0,0
"1483","2013","0400D","Base",2013,0,0
"1484","2013","0460D","Base",2013,0,0
"1485","2013","1000N","Base",2013,0,0
"1486","2013","1001N","Base",2013,0,0
"1487","2013","1002N","Base",2013,0,0
"1488","2013","1003N","Base",2013,0,0
"1489","2013","1004A","Base",2013,0,0
"1490","2013","1005A","Base",2013,0,0
"1491","2013","1006A","Base",2013,0,0
"1492","2013","1007F","Base",2013,0,0
"1493","2013","1008F","Base",2013,0,0
"1494","2013","1009F","Base",2013,0,0
"1495","2013","1105N","Base",2013,0,0
"1496","2013","1108N","Base",2013,0,0
"1497","2013","1109N","Base",2013,0,0
"1498","2013","1319N","Base",2013,0,0
"1499","2013","1405N","Base",2013,0,0
"1500","2013","1453N","Base",2013,0,0
"1501","2013","1506N","Base",2013,0,0
"1502","2013","1507N","Base",2013,0,0
"1503","2013","1508N","Base",2013,0,0
"1504","2013","1611N","Base",2013,0,0
"1505","2013","1810N","Base",2013,0,0
"1506","2013","2010A","Base",2013,0,0
"1507","2013","2031A","Base",2013,0,0
"1508","2013","2032A","Base",2013,0,0
"1509","2013","2033A","Base",2013,0,0
"1510","2013","2034A","Base",2013,0,0
"1511","2013","2035A","Base",2013,0,0
"1512","2013","2040A","Base",2013,0,0
"1513","2013","2060A","Base",2013,0,0
"1514","2013","2070A","Base",2013,0,0
"1515","2013","2093A","Base",2013,0,0
"1516","2013","3010F","Base",2013,0,0
"1517","2013","3011F","Base",2013,0,0
"1518","2013","3020F","Base",2013,0,0
"1519","2013","3080F","Base",2013,0,0
"1520","2013","3500F","Base",2013,0,0
"1521","2013","3600F","Base",2013,0,0
"1522","2013","3700F","Base",2013,0,0
"1523","2013","3850F","Base",2013,0,0
"1524","2013","4557N","Base",2013,0,0
"1525","2013","493001A","Base",2013,0,0
"1526","2013","493003F","Base",2013,0,0
"1527","2013","493004D","Base",2013,0,0
"1528","2013","493005D","Base",2013,0,0
"1529","2013","FY 2013 MERHFC accounts assume savings from enactment of TRICARE legislative proposals.","Base",2013,0,0
"1530","2013","Military Personnel, Army FY 2012 OCO reflects anticipated reprogramming between budget activities.","Base",2013,0,0
"1531","2013","0107D","OCO",2013,0,0
"1532","2013","0130D","OCO",2013,0,0
"1533","2013","0144D","OCO",2013,0,0
"1534","2013","0300D","OCO",2013,0,0
"1535","2013","0303D","OCO",2013,0,0
"1536","2013","0350D","OCO",2013,0,0
"1537","2013","0360D","OCO",2013,0,0
"1538","2013","0390D","OCO",2013,0,0
"1539","2013","0400D","OCO",2013,0,0
"1540","2013","0460D","OCO",2013,0,0
"1541","2013","1000N","OCO",2013,0,0
"1542","2013","1001N","OCO",2013,0,0
"1543","2013","1002N","OCO",2013,0,0
"1544","2013","1003N","OCO",2013,0,0
"1545","2013","1004A","OCO",2013,0,0
"1546","2013","1005A","OCO",2013,0,0
"1547","2013","1006A","OCO",2013,0,0
"1548","2013","1007F","OCO",2013,0,0
"1549","2013","1008F","OCO",2013,0,0
"1550","2013","1009F","OCO",2013,0,0
"1551","2013","1105N","OCO",2013,0,0
"1552","2013","1108N","OCO",2013,0,0
"1553","2013","1109N","OCO",2013,0,0
"1554","2013","1319N","OCO",2013,0,0
"1555","2013","1405N","OCO",2013,0,0
"1556","2013","1453N","OCO",2013,0,0
"1557","2013","1506N","OCO",2013,0,0
"1558","2013","1507N","OCO",2013,0,0
"1559","2013","1508N","OCO",2013,0,0
"1560","2013","1611N","OCO",2013,0,0
"1561","2013","1810N","OCO",2013,0,0
"1562","2013","2010A","OCO",2013,0,0
"1563","2013","2031A","OCO",2013,0,0
"1564","2013","2032A","OCO",2013,0,0
"1565","2013","2033A","OCO",2013,0,0
"1566","2013","2034A","OCO",2013,0,0
"1567","2013","2035A","OCO",2013,0,0
"1568","2013","2040A","OCO",2013,0,0
"1569","2013","2060A","OCO",2013,0,0
"1570","2013","2070A","OCO",2013,0,0
"1571","2013","2093A","OCO",2013,0,0
"1572","2013","3010F","OCO",2013,0,0
"1573","2013","3011F","OCO",2013,0,0
"1574","2013","3020F","OCO",2013,0,0
"1575","2013","3080F","OCO",2013,0,0
"1576","2013","3500F","OCO",2013,0,0
"1577","2013","3600F","OCO",2013,0,0
"1578","2013","3700F","OCO",2013,0,0
"1579","2013","3850F","OCO",2013,0,0
"1580","2013","4557N","OCO",2013,0,0
"1581","2013","493001A","OCO",2013,0,0
"1582","2013","493003F","OCO",2013,0,0
"1583","2013","493004D","OCO",2013,0,0
"1584","2013","493005D","OCO",2013,0,0
"1585","2013","FY 2013 MERHFC accounts assume savings from enactment of TRICARE legislative proposals.","OCO",2013,0,0
"1586","2013","Military Personnel, Army FY 2012 OCO reflects anticipated reprogramming between budget activities.","OCO",2013,0,0
"1587","2013","0107D","Total",2013,0,0
"1588","2013","0130D","Total",2013,0,0
"1589","2013","0144D","Total",2013,0,0
"1590","2013","0300D","Total",2013,0,0
"1591","2013","0303D","Total",2013,0,0
"1592","2013","0350D","Total",2013,0,0
"1593","2013","0360D","Total",2013,0,0
"1594","2013","0390D","Total",2013,0,0
"1595","2013","0400D","Total",2013,0,0
"1596","2013","0460D","Total",2013,0,0
"1597","2013","1000N","Total",2013,0,0
"1598","2013","1001N","Total",2013,0,0
"1599","2013","1002N","Total",2013,0,0
"1600","2013","1003N","Total",2013,0,0
"1601","2013","1004A","Total",2013,0,0
"1602","2013","1005A","Total",2013,0,0
"1603","2013","1006A","Total",2013,0,0
"1604","2013","1007F","Total",2013,0,0
"1605","2013","1008F","Total",2013,0,0
"1606","2013","1009F","Total",2013,0,0
"1607","2013","1105N","Total",2013,0,0
"1608","2013","1108N","Total",2013,0,0
"1609","2013","1109N","Total",2013,0,0
"1610","2013","1319N","Total",2013,0,0
"1611","2013","1405N","Total",2013,0,0
"1612","2013","1453N","Total",2013,0,0
"1613","2013","1506N","Total",2013,0,0
"1614","2013","1507N","Total",2013,0,0
"1615","2013","1508N","Total",2013,0,0
"1616","2013","1611N","Total",2013,0,0
"1617","2013","1810N","Total",2013,0,0
"1618","2013","2010A","Total",2013,0,0
"1619","2013","2031A","Total",2013,0,0
"1620","2013","2032A","Total",2013,0,0
"1621","2013","2033A","Total",2013,0,0
"1622","2013","2034A","Total",2013,0,0
"1623","2013","2035A","Total",2013,0,0
"1624","2013","2040A","Total",2013,0,0
"1625","2013","2060A","Total",2013,0,0
"1626","2013","2070A","Total",2013,0,0
"1627","2013","2093A","Total",2013,0,0
"1628","2013","3010F","Total",2013,0,0
"1629","2013","3011F","Total",2013,0,0
"1630","2013","3020F","Total",2013,0,0
"1631","2013","3080F","Total",2013,0,0
"1632","2013","3500F","Total",2013,0,0
"1633","2013","3600F","Total",2013,0,0
"1634","2013","3700F","Total",2013,0,0
"1635","2013","3850F","Total",2013,0,0
"1636","2013","4557N","Total",2013,0,0
"1637","2013","493001A","Total",2013,0,0
"1638","2013","493003F","Total",2013,0,0
"1639","2013","493004D","Total",2013,0,0
"1640","2013","493005D","Total",2013,0,0
"1641","2013","FY 2013 MERHFC accounts assume savings from enactment of TRICARE legislative proposals.","Total",2013,0,0
"1642","2013","Military Personnel, Army FY 2012 OCO reflects anticipated reprogramming between budget activities.","Total",2013,0,0
"1643","2013","Unlabeled","Total",2013,0,0
"1644","Unlabeled","            FY 2012 OCO does not reflect the rescissions enacted in section 9015 of the Consolidated Appropriations Act,  2012, as these rescissions were applicable to FY 2010 Overseas Contingency Operations funds.","Total",2013,0,0
"1645","Unlabeled","*  FY 2013 assumes $452 million in savings from enactment of TRICARE legislative proposals.","Total",2013,0,0
"1646","Unlabeled","0100D","Total",2013,0,0
"1647","Unlabeled","0104D","Total",2013,0,0
"1648","Unlabeled","0105D","Total",2013,0,0
"1649","Unlabeled","0107D","Total",2013,0,0
"1650","Unlabeled","0111D","Total",2013,0,0
"1651","Unlabeled","0130D","Total",2013,0,0
"1652","Unlabeled","0134D","Total",2013,0,0
"1653","Unlabeled","0462D","Total",2013,0,0
"1654","Unlabeled","0810A","Total",2013,0,0
"1655","Unlabeled","0810D","Total",2013,0,0
"1656","Unlabeled","0810F","Total",2013,0,0
"1657","Unlabeled","0810N","Total",2013,0,0
"1658","Unlabeled","0811D","Total",2013,0,0
"1659","Unlabeled","0819D","Total",2013,0,0
"1660","Unlabeled","0838D","Total",2013,0,0
"1661","Unlabeled","1106N","Total",2013,0,0
"1662","Unlabeled","1107N","Total",2013,0,0
"1663","Unlabeled","1236N","Total",2013,0,0
"1664","Unlabeled","1804N","Total",2013,0,0
"1665","Unlabeled","1806N","Total",2013,0,0
"1666","Unlabeled","2020A","Total",2013,0,0
"1667","Unlabeled","2065A","Total",2013,0,0
"1668","Unlabeled","2080A","Total",2013,0,0
"1669","Unlabeled","2091A","Total",2013,0,0
"1670","Unlabeled","2092A","Total",2013,0,0
"1671","Unlabeled","2095A","Total",2013,0,0
"1672","Unlabeled","2096A","Total",2013,0,0
"1673","Unlabeled","3400F","Total",2013,0,0
"1674","Unlabeled","3740F","Total",2013,0,0
"1675","Unlabeled","3840F","Total",2013,0,0
"1676","Unlabeled","5188D","Total",2013,0,0
"1677","Unlabeled","5189D","Total",2013,0,0
"1678","Unlabeled","5286A","Total",2013,0,0
"1679","2012","","Total",2014,0,0
"1680","2012","   by appropriation.","Total",2014,0,0
"1681","2012","*  Reflects the FY 2013 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level","Total",2014,0,0
"1682","2012","0100D","Total",2014,0,0
"1683","2012","0104D","Total",2014,0,0
"1684","2012","0105D","Total",2014,0,0
"1685","2012","0107D","Total",2014,0,0
"1686","2012","0111D","Total",2014,0,0
"1687","2012","0118D","Total",2014,0,0
"1688","2012","0130D","Total",2014,0,0
"1689","2012","0134D","Total",2014,0,0
"1690","2012","0144D","Total",2014,0,0
"1691","2012","0300D","Total",2014,0,0
"1692","2012","0303D","Total",2014,0,0
"1693","2012","0350D","Total",2014,0,0
"1694","2012","0360D","Total",2014,0,0
"1695","2012","0390D","Total",2014,0,0
"1696","2012","0400D","Total",2014,0,0
"1697","2012","0460D","Total",2014,0,0
"1698","2012","0462D","Total",2014,0,0
"1699","2012","0810A","Total",2014,0,0
"1700","2012","0810D","Total",2014,0,0
