"","SourceFiscalYear","FiscalYear","OriginType","AccountDSI","EnactedTotal","EnactedType"
"87",2011,"2010","OCO","0144D",0,0
"88",2011,"2010","OCO","0300D",0,0
"89",2011,"2010","OCO","0350D",0,0
"90",2011,"2010","OCO","0360D",0,0
"91",2011,"2010","OCO","0390D",0,0
"92",2011,"2010","OCO","1109N",0,0
"93",2011,"2010","OCO","1506N",0,0
"94",2011,"2010","OCO","1507N",0,0
"95",2011,"2010","OCO","1508N",0,0
"96",2011,"2010","OCO","1611N",0,0
"97",2011,"2010","OCO","1810N",0,0
"98",2011,"2010","OCO","2031A",0,0
"99",2011,"2010","OCO","2032A",0,0
"100",2011,"2010","OCO","2033A",0,0
"101",2011,"2010","OCO","2034A",0,0
"102",2011,"2010","OCO","2035A",0,0
"103",2011,"2010","OCO","2093A",0,0
"104",2011,"2010","OCO","3010F",0,0
"105",2011,"2010","OCO","3011F",0,0
"106",2011,"2010","OCO","3020F",0,0
"107",2011,"2010","OCO","3080F",0,0
"108",2011,"2010","OCO","Unlabeled",0,1928323
"109",2011,"2010","Total","0100D",36875894,0
"110",2011,"2010","Total","0104D",13914,0
"111",2011,"2010","Total","0105D",1598829,0
"112",2011,"2010","Total","0107D",296976,0
"113",2011,"2010","Total","0111D",99874,0
"114",2011,"2010","Total","0112D",0,0
"115",2011,"2010","Total","0118D",5350000,0
"116",2011,"2010","Total","0130D",30637220,0
"117",2011,"2010","Total","0134D",423560,0
"118",2011,"2010","Total","0144D",13746000,0
"119",2011,"2010","Total","0150D",0,0
"120",2011,"2010","Total","0300D",9067648,0
"121",2011,"2010","Total","0350D",1900000,0
"122",2011,"2010","Total","0360D",300562,0
"123",2011,"2010","Total","0390D",3121520,0
"124",2011,"2010","Total","0400D",20759429,0
"125",2011,"2010","Total","0401D",0,0
"126",2011,"2010","Total","0460D",188237,0
"127",2011,"2010","Total","0810A",422832,0
"128",2011,"2010","Total","0810D",11086,0
"129",2011,"2010","Total","0810F",493654,0
"130",2011,"2010","Total","0810N",285509,0
"131",2011,"2010","Total","0811D",292332,0
"132",2011,"2010","Total","0819D",109731,0
"133",2011,"2010","Total","0833D",0,0
"134",2011,"2010","Total","0838D",0,0
"135",2011,"2010","Total","1106N",10034582,0
"136",2011,"2010","Total","1107N",310235,0
"137",2011,"2010","Total","1109N",4820018,0
"138",2011,"2010","Total","1116N",0,0
"139",2011,"2010","Total","1117N",0,0
"140",2011,"2010","Total","1236N",0,0
"141",2011,"2010","Total","1319N",19972506,0
"142",2011,"2010","Total","1320N",0,0
"143",2011,"2010","Total","1506N",38878030,0
"144",2011,"2010","Total","1507N",6795832,0
"145",2011,"2010","Total","1508N",2948276,0
"146",2011,"2010","Total","1611N",27677432,0
"147",2011,"2010","Total","1804N",42460764,0
"148",2011,"2010","Total","1805N",0,0
"149",2011,"2010","Total","1806N",1402000,0
"150",2011,"2010","Total","1807N",0,0
"151",2011,"2010","Total","1810N",11330938,0
"152",2011,"2010","Total","2020A",90284464,0
"153",2011,"2010","Total","2022A",0,0
"154",2011,"2010","Total","2031A",12632660,0
"155",2011,"2010","Total","2032A",3446296,0
"156",2011,"2010","Total","2033A",6996138,0
"157",2011,"2010","Total","2034A",4830816,0
"158",2011,"2010","Total","2035A",28713408,0
"159",2011,"2010","Total","2040A",11534438,0
"160",2011,"2010","Total","2041A",0,0
"161",2011,"2010","Total","2065A",6678408,0
"162",2011,"2010","Total","2066A",0,0
"163",2011,"2010","Total","2080A",2885929,0
"164",2011,"2010","Total","2081A",0,0
"165",2011,"2010","Total","2091A",9166769,0
"166",2011,"2010","Total","2092A",1e+06,0
"167",2011,"2010","Total","2093A",3767120,0
"168",2011,"2010","Total","2095A",7e+05,0
"169",2011,"2010","Total","3010F",27981934,0
"170",2011,"2010","Total","3011F",2111794,0
"171",2011,"2010","Total","3020F",12025218,0
"172",2011,"2010","Total","3024F",291715,0
"173",2011,"2010","Total","3080F",39334758,0
"174",2011,"2010","Total","3400F",46362979,0
"175",2011,"2010","Total","3404F",0,0
"176",2011,"2010","Total","3600F",28169372,0
"177",2011,"2010","Total","3605F",0,0
"178",2011,"2010","Total","3740F",3349006,0
"179",2011,"2010","Total","3744F",0,0
"180",2011,"2010","Total","3840F",6325996,0
"181",2011,"2010","Total","3844F",0,0
"182",2011,"2010","Total","4557N",1667945,0
"183",2011,"2010","Total","4640D",0,0
"184",2011,"2010","Total","493001A",47159,0
"185",2011,"2010","Total","493002N",155290,0
"186",2011,"2010","Total","493003F",817860,0
"187",2011,"2010","Total","493004D",1309836,0
"188",2011,"2010","Total","493005D",507854,0
"189",2011,"2010","Total","5185N",0,0
"190",2011,"2010","Total","5188D",8347,0
"191",2011,"2010","Total","5189D",19550,0
"192",2011,"2010","Total","5193D",1227,0
"193",2011,"2010","Total","5286A",25,0
"194",2011,"2010","Total","Unlabeled",25634640,0
"195",2011,"2011","Base","0100D",0,0
"196",2011,"2011","Base","0104D",0,0
"197",2011,"2011","Base","0105D",0,0
"198",2011,"2011","Base","0107D",0,0
"199",2011,"2011","Base","0111D",0,0
"200",2011,"2011","Base","0112D",0,0
"201",2011,"2011","Base","0118D",0,0
"202",2011,"2011","Base","0130D",0,0
"203",2011,"2011","Base","0134D",0,0
"204",2011,"2011","Base","0144D",0,0
"205",2011,"2011","Base","0150D",0,0
"206",2011,"2011","Base","0300D",0,0
"207",2011,"2011","Base","0350D",0,0
"208",2011,"2011","Base","0360D",0,0
"209",2011,"2011","Base","0390D",0,0
"210",2011,"2011","Base","0400D",0,0
"211",2011,"2011","Base","0401D",0,0
"212",2011,"2011","Base","0460D",0,0
"213",2011,"2011","Base","0810A",0,0
"214",2011,"2011","Base","0810D",0,0
"215",2011,"2011","Base","0810F",0,0
"216",2011,"2011","Base","0810N",0,0
"217",2011,"2011","Base","0811D",0,0
"218",2011,"2011","Base","0819D",0,0
"219",2011,"2011","Base","0833D",0,0
"220",2011,"2011","Base","0838D",0,0
"221",2011,"2011","Base","1106N",0,0
"222",2011,"2011","Base","1107N",0,0
"223",2011,"2011","Base","1109N",0,0
"224",2011,"2011","Base","1116N",0,0
"225",2011,"2011","Base","1117N",0,0
"226",2011,"2011","Base","1236N",0,0
"227",2011,"2011","Base","1319N",0,0
"228",2011,"2011","Base","1320N",0,0
"229",2011,"2011","Base","1506N",0,0
"230",2011,"2011","Base","1507N",0,0
"231",2011,"2011","Base","1508N",0,0
"232",2011,"2011","Base","1611N",0,0
"233",2011,"2011","Base","1804N",0,0
"234",2011,"2011","Base","1805N",0,0
"235",2011,"2011","Base","1806N",0,0
"236",2011,"2011","Base","1807N",0,0
"237",2011,"2011","Base","1810N",0,0
"238",2011,"2011","Base","2020A",0,0
"239",2011,"2011","Base","2022A",0,0
"240",2011,"2011","Base","2031A",0,0
"241",2011,"2011","Base","2032A",0,0
"242",2011,"2011","Base","2033A",0,0
"243",2011,"2011","Base","2034A",0,0
"244",2011,"2011","Base","2035A",0,0
"245",2011,"2011","Base","2040A",0,0
"246",2011,"2011","Base","2041A",0,0
"247",2011,"2011","Base","2065A",0,0
"248",2011,"2011","Base","2066A",0,0
"249",2011,"2011","Base","2080A",0,0
"250",2011,"2011","Base","2081A",0,0
"251",2011,"2011","Base","2091A",0,0
"252",2011,"2011","Base","2092A",0,0
"253",2011,"2011","Base","2093A",0,0
"254",2011,"2011","Base","2095A",0,0
"255",2011,"2011","Base","3010F",0,0
"256",2011,"2011","Base","3011F",0,0
"257",2011,"2011","Base","3020F",0,0
"258",2011,"2011","Base","3024F",0,0
"259",2011,"2011","Base","3080F",0,0
"260",2011,"2011","Base","3400F",0,0
"261",2011,"2011","Base","3404F",0,0
"262",2011,"2011","Base","3600F",0,0
"263",2011,"2011","Base","3605F",0,0
"264",2011,"2011","Base","3740F",0,0
"265",2011,"2011","Base","3744F",0,0
"266",2011,"2011","Base","3840F",0,0
"267",2011,"2011","Base","3844F",0,0
"268",2011,"2011","Base","4557N",0,0
"269",2011,"2011","Base","4640D",0,0
"270",2011,"2011","Base","493001A",0,0
"271",2011,"2011","Base","493002N",0,0
"272",2011,"2011","Base","493003F",0,0
"273",2011,"2011","Base","493004D",0,0
"274",2011,"2011","Base","493005D",0,0
"275",2011,"2011","Base","5185N",0,0
"276",2011,"2011","Base","5188D",0,0
"277",2011,"2011","Base","5189D",0,0
"278",2011,"2011","Base","5193D",0,0
"279",2011,"2011","Base","5286A",0,0
"280",2011,"2011","OCO","0100D",0,0
"281",2011,"2011","OCO","0104D",0,0
"282",2011,"2011","OCO","0105D",0,0
"283",2011,"2011","OCO","0107D",0,0
"284",2011,"2011","OCO","0111D",0,0
"285",2011,"2011","OCO","0112D",0,0
"286",2011,"2011","OCO","0118D",0,0
"287",2011,"2011","OCO","0130D",0,0
"288",2011,"2011","OCO","0134D",0,0
"289",2011,"2011","OCO","0144D",0,0
"290",2011,"2011","OCO","0150D",0,0
"291",2011,"2011","OCO","0300D",0,0
"292",2011,"2011","OCO","0350D",0,0
"293",2011,"2011","OCO","0360D",0,0
"294",2011,"2011","OCO","0390D",0,0
"295",2011,"2011","OCO","0400D",0,0
"296",2011,"2011","OCO","0401D",0,0
"297",2011,"2011","OCO","0460D",0,0
"298",2011,"2011","OCO","0810A",0,0
"299",2011,"2011","OCO","0810D",0,0
"300",2011,"2011","OCO","0810F",0,0
"301",2011,"2011","OCO","0810N",0,0
"302",2011,"2011","OCO","0811D",0,0
"303",2011,"2011","OCO","0819D",0,0
"304",2011,"2011","OCO","0833D",0,0
"305",2011,"2011","OCO","0838D",0,0
"306",2011,"2011","OCO","1106N",0,0
"307",2011,"2011","OCO","1107N",0,0
"308",2011,"2011","OCO","1109N",0,0
"309",2011,"2011","OCO","1116N",0,0
"310",2011,"2011","OCO","1117N",0,0
"311",2011,"2011","OCO","1236N",0,0
"312",2011,"2011","OCO","1319N",0,0
"313",2011,"2011","OCO","1320N",0,0
"314",2011,"2011","OCO","1506N",0,0
"315",2011,"2011","OCO","1507N",0,0
"316",2011,"2011","OCO","1508N",0,0
"317",2011,"2011","OCO","1611N",0,0
"318",2011,"2011","OCO","1804N",0,0
"319",2011,"2011","OCO","1805N",0,0
"320",2011,"2011","OCO","1806N",0,0
"321",2011,"2011","OCO","1807N",0,0
"322",2011,"2011","OCO","1810N",0,0
"323",2011,"2011","OCO","2020A",0,0
"324",2011,"2011","OCO","2022A",0,0
"325",2011,"2011","OCO","2031A",0,0
"326",2011,"2011","OCO","2032A",0,0
"327",2011,"2011","OCO","2033A",0,0
"328",2011,"2011","OCO","2034A",0,0
"329",2011,"2011","OCO","2035A",0,0
"330",2011,"2011","OCO","2040A",0,0
"331",2011,"2011","OCO","2041A",0,0
"332",2011,"2011","OCO","2065A",0,0
"333",2011,"2011","OCO","2066A",0,0
"334",2011,"2011","OCO","2080A",0,0
"335",2011,"2011","OCO","2081A",0,0
"336",2011,"2011","OCO","2091A",0,0
"337",2011,"2011","OCO","2092A",0,0
"338",2011,"2011","OCO","2093A",0,0
"339",2011,"2011","OCO","2095A",0,0
"340",2011,"2011","OCO","3010F",0,0
"341",2011,"2011","OCO","3011F",0,0
"342",2011,"2011","OCO","3020F",0,0
"343",2011,"2011","OCO","3024F",0,0
"344",2011,"2011","OCO","3080F",0,0
"345",2011,"2011","OCO","3400F",0,0
"346",2011,"2011","OCO","3404F",0,0
"347",2011,"2011","OCO","3600F",0,0
"348",2011,"2011","OCO","3605F",0,0
"349",2011,"2011","OCO","3740F",0,0
"350",2011,"2011","OCO","3744F",0,0
"351",2011,"2011","OCO","3840F",0,0
"352",2011,"2011","OCO","3844F",0,0
"353",2011,"2011","OCO","4557N",0,0
"354",2011,"2011","OCO","4640D",0,0
"355",2011,"2011","OCO","493001A",0,0
"356",2011,"2011","OCO","493002N",0,0
"357",2011,"2011","OCO","493003F",0,0
"358",2011,"2011","OCO","493004D",0,0
"359",2011,"2011","OCO","493005D",0,0
"360",2011,"2011","OCO","5185N",0,0
"361",2011,"2011","OCO","5188D",0,0
"362",2011,"2011","OCO","5189D",0,0
"363",2011,"2011","OCO","5193D",0,0
"364",2011,"2011","OCO","5286A",0,0
"365",2011,"2011","OCO","Unlabeled",0,0
"366",2011,"2011","Total","0100D",0,0
"367",2011,"2011","Total","0104D",0,0
"368",2011,"2011","Total","0105D",0,0
"369",2011,"2011","Total","0107D",0,0
"370",2011,"2011","Total","0111D",0,0
"371",2011,"2011","Total","0112D",0,0
"372",2011,"2011","Total","0118D",0,0
"373",2011,"2011","Total","0130D",0,0
"374",2011,"2011","Total","0134D",0,0
"375",2011,"2011","Total","0144D",0,0
"376",2011,"2011","Total","0150D",0,0
"377",2011,"2011","Total","0300D",0,0
"378",2011,"2011","Total","0350D",0,0
"379",2011,"2011","Total","0360D",0,0
"380",2011,"2011","Total","0390D",0,0
"381",2011,"2011","Total","0400D",0,0
"382",2011,"2011","Total","0401D",0,0
"383",2011,"2011","Total","0460D",0,0
"384",2011,"2011","Total","0810A",0,0
"385",2011,"2011","Total","0810D",0,0
"386",2011,"2011","Total","0810F",0,0
"387",2011,"2011","Total","0810N",0,0
"388",2011,"2011","Total","0811D",0,0
"389",2011,"2011","Total","0819D",0,0
"390",2011,"2011","Total","0833D",0,0
"391",2011,"2011","Total","0838D",0,0
"392",2011,"2011","Total","1106N",0,0
"393",2011,"2011","Total","1107N",0,0
"394",2011,"2011","Total","1109N",0,0
"395",2011,"2011","Total","1116N",0,0
"396",2011,"2011","Total","1117N",0,0
"397",2011,"2011","Total","1236N",0,0
"398",2011,"2011","Total","1319N",0,0
"399",2011,"2011","Total","1320N",0,0
"400",2011,"2011","Total","1506N",0,0
"401",2011,"2011","Total","1507N",0,0
"402",2011,"2011","Total","1508N",0,0
"403",2011,"2011","Total","1611N",0,0
"404",2011,"2011","Total","1804N",0,0
"405",2011,"2011","Total","1805N",0,0
"406",2011,"2011","Total","1806N",0,0
"407",2011,"2011","Total","1807N",0,0
"408",2011,"2011","Total","1810N",0,0
"409",2011,"2011","Total","2020A",0,0
"410",2011,"2011","Total","2022A",0,0
"411",2011,"2011","Total","2031A",0,0
"412",2011,"2011","Total","2032A",0,0
"413",2011,"2011","Total","2033A",0,0
"414",2011,"2011","Total","2034A",0,0
"415",2011,"2011","Total","2035A",0,0
"416",2011,"2011","Total","2040A",0,0
"417",2011,"2011","Total","2041A",0,0
"418",2011,"2011","Total","2065A",0,0
"419",2011,"2011","Total","2066A",0,0
"420",2011,"2011","Total","2080A",0,0
"421",2011,"2011","Total","2081A",0,0
"422",2011,"2011","Total","2091A",0,0
"423",2011,"2011","Total","2092A",0,0
"424",2011,"2011","Total","2093A",0,0
"425",2011,"2011","Total","2095A",0,0
"426",2011,"2011","Total","3010F",0,0
"427",2011,"2011","Total","3011F",0,0
"428",2011,"2011","Total","3020F",0,0
"429",2011,"2011","Total","3024F",0,0
"430",2011,"2011","Total","3080F",0,0
"431",2011,"2011","Total","3400F",0,0
"432",2011,"2011","Total","3404F",0,0
"433",2011,"2011","Total","3600F",0,0
"434",2011,"2011","Total","3605F",0,0
"435",2011,"2011","Total","3740F",0,0
"436",2011,"2011","Total","3744F",0,0
"437",2011,"2011","Total","3840F",0,0
"438",2011,"2011","Total","3844F",0,0
"439",2011,"2011","Total","4557N",0,0
"440",2011,"2011","Total","4640D",0,0
"441",2011,"2011","Total","493001A",0,0
"442",2011,"2011","Total","493002N",0,0
"443",2011,"2011","Total","493003F",0,0
"444",2011,"2011","Total","493004D",0,0
"445",2011,"2011","Total","493005D",0,0
"446",2011,"2011","Total","5185N",0,0
"447",2011,"2011","Total","5188D",0,0
"448",2011,"2011","Total","5189D",0,0
"449",2011,"2011","Total","5193D",0,0
"450",2011,"2011","Total","5286A",0,0
"451",2011,"2011","Total","Unlabeled",0,0
"452",2017,"2009","Total","1000N",0,0
"453",2017,"2009","Total","1001N",0,0
"454",2017,"2009","Total","1002N",0,0
"455",2017,"2009","Total","1003N",0,0
"456",2017,"2009","Total","1004A",0,0
"457",2017,"2009","Total","1005A",0,0
"458",2017,"2009","Total","1006A",0,0
"459",2017,"2009","Total","1007F",0,0
"460",2017,"2009","Total","1008F",0,0
"461",2017,"2009","Total","1009F",0,0
"462",2017,"2009","Total","1105N",0,0
"463",2017,"2009","Total","1108N",0,0
"464",2017,"2009","Total","1405N",0,0
"465",2017,"2009","Total","1453N",0,0
"466",2017,"2009","Total","2010A",0,0
"467",2017,"2009","Total","2060A",0,0
"468",2017,"2009","Total","2070A",0,0
"469",2017,"2009","Total","3500F",0,0
"470",2017,"2009","Total","3700F",0,0
"471",2017,"2009","Total","3850F",0,0
"472",2017,"2010","Total","1000N",1825661,0
"473",2017,"2010","Total","1001N",1136146,0
"474",2017,"2010","Total","1002N",234278,0
"475",2017,"2010","Total","1003N",128897,0
"476",2017,"2010","Total","1004A",3123620,0
"477",2017,"2010","Total","1005A",694313,0
"478",2017,"2010","Total","1006A",1216585,0
"479",2017,"2010","Total","1007F",1836211,0
"480",2017,"2010","Total","1008F",225191,0
"481",2017,"2010","Total","1009F",374928,0
"482",2017,"2010","Total","1105N",13662111,0
"483",2017,"2010","Total","1108N",646095,0
"484",2017,"2010","Total","1405N",1948978,0
"485",2017,"2010","Total","1453N",26718128,0
"486",2017,"2010","Total","2010A",52580261,0
"487",2017,"2010","Total","2060A",8405055,0
"488",2017,"2010","Total","2070A",4619968,0
"489",2017,"2010","Total","3500F",27935580,0
"490",2017,"2010","Total","3700F",1610526,0
"491",2017,"2010","Total","3850F",2949247,0
"492",2017,"2011","Base","1000N",0,0
"493",2017,"2011","Base","1001N",0,0
"494",2017,"2011","Base","1002N",0,0
"495",2017,"2011","Base","1003N",0,0
"496",2017,"2011","Base","1004A",0,0
"497",2017,"2011","Base","1005A",0,0
"498",2017,"2011","Base","1006A",0,0
"499",2017,"2011","Base","1007F",0,0
"500",2017,"2011","Base","1008F",0,0
"501",2017,"2011","Base","1009F",0,0
"502",2017,"2011","Base","1105N",0,0
"503",2017,"2011","Base","1108N",0,0
"504",2017,"2011","Base","1405N",0,0
"505",2017,"2011","Base","1453N",0,0
"506",2017,"2011","Base","2010A",0,0
"507",2017,"2011","Base","2060A",0,0
"508",2017,"2011","Base","2070A",0,0
"509",2017,"2011","Base","3500F",0,0
"510",2017,"2011","Base","3700F",0,0
"511",2017,"2011","Base","3850F",0,0
"512",2017,"2011","OCO","1000N",0,0
"513",2017,"2011","OCO","1001N",0,0
"514",2017,"2011","OCO","1002N",0,0
"515",2017,"2011","OCO","1003N",0,0
"516",2017,"2011","OCO","1004A",0,0
"517",2017,"2011","OCO","1005A",0,0
"518",2017,"2011","OCO","1006A",0,0
"519",2017,"2011","OCO","1007F",0,0
"520",2017,"2011","OCO","1008F",0,0
"521",2017,"2011","OCO","1009F",0,0
"522",2017,"2011","OCO","1105N",0,0
"523",2017,"2011","OCO","1108N",0,0
"524",2017,"2011","OCO","1405N",0,0
"525",2017,"2011","OCO","1453N",0,0
"526",2017,"2011","OCO","2010A",0,0
"527",2017,"2011","OCO","2060A",0,0
"528",2017,"2011","OCO","2070A",0,0
"529",2017,"2011","OCO","3500F",0,0
"530",2017,"2011","OCO","3700F",0,0
"531",2017,"2011","OCO","3850F",0,0
"532",2017,"2011","Total","1000N",0,0
"533",2017,"2011","Total","1001N",0,0
"534",2017,"2011","Total","1002N",0,0
"535",2017,"2011","Total","1003N",0,0
"536",2017,"2011","Total","1004A",0,0
"537",2017,"2011","Total","1005A",0,0
"538",2017,"2011","Total","1006A",0,0
"539",2017,"2011","Total","1007F",0,0
"540",2017,"2011","Total","1008F",0,0
"541",2017,"2011","Total","1009F",0,0
"542",2017,"2011","Total","1105N",0,0
"543",2017,"2011","Total","1108N",0,0
"544",2017,"2011","Total","1405N",0,0
"545",2017,"2011","Total","1453N",0,0
"546",2017,"2011","Total","2010A",0,0
"547",2017,"2011","Total","2060A",0,0
"548",2017,"2011","Total","2070A",0,0
"549",2017,"2011","Total","3500F",0,0
"550",2017,"2011","Total","3700F",0,0
"551",2017,"2011","Total","3850F",0,0
"552",2012,"2010","Base","Unlabeled",0,0
"553",2012,"2010","OCO","Unlabeled",0,0
"554",2012,"2010","Total","",0,0
"555",2012,"2010","Total","* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",0,0
"556",2012,"2010","Total","** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",0,0
"557",2012,"2010","Total","0100",0,0
"558",2012,"2010","Total","0104",0,0
"559",2012,"2010","Total","0105",0,0
"560",2012,"2010","Total","0107",0,0
"561",2012,"2010","Total","0107D",0,0
"562",2012,"2010","Total","0111",0,0
"563",2012,"2010","Total","0118",0,0
"564",2012,"2010","Total","0130",0,0
"565",2012,"2010","Total","0130D",0,0
"566",2012,"2010","Total","0134",0,0
"567",2012,"2010","Total","0144D",0,0
"568",2012,"2010","Total","0300D",0,0
"569",2012,"2010","Total","0303D",0,0
"570",2012,"2010","Total","0350D",0,0
"571",2012,"2010","Total","0360D",0,0
"572",2012,"2010","Total","0390D",0,0
"573",2012,"2010","Total","0400D",0,0
"574",2012,"2010","Total","0460D",0,0
"575",2012,"2010","Total","0810",0,0
"576",2012,"2010","Total","0811",0,0
"577",2012,"2010","Total","0819",0,0
"578",2012,"2010","Total","0833",0,0
"579",2012,"2010","Total","0838",0,0
"580",2012,"2010","Total","1106",0,0
"581",2012,"2010","Total","1107",0,0
"582",2012,"2010","Total","1109N",0,0
"583",2012,"2010","Total","1236",0,0
"584",2012,"2010","Total","1319N",0,0
"585",2012,"2010","Total","1506N",0,0
"586",2012,"2010","Total","1507N",0,0
"587",2012,"2010","Total","1508N",0,0
"588",2012,"2010","Total","1611N",0,0
"589",2012,"2010","Total","1804",0,0
"590",2012,"2010","Total","1806",0,0
"591",2012,"2010","Total","1810N",0,0
"592",2012,"2010","Total","2020",0,0
"593",2012,"2010","Total","2031A",0,0
"594",2012,"2010","Total","2032A",0,0
"595",2012,"2010","Total","2033A",0,0
"596",2012,"2010","Total","2034A",0,0
"597",2012,"2010","Total","2035A",0,0
"598",2012,"2010","Total","2040A",0,0
"599",2012,"2010","Total","2065",0,0
"600",2012,"2010","Total","2080",0,0
"601",2012,"2010","Total","2091",0,0
"602",2012,"2010","Total","2092",0,0
"603",2012,"2010","Total","2093A",0,0
"604",2012,"2010","Total","2096",0,0
"605",2012,"2010","Total","3010F",0,0
"606",2012,"2010","Total","3011F",0,0
"607",2012,"2010","Total","3020F",0,0
"608",2012,"2010","Total","3024F",0,0
"609",2012,"2010","Total","3080F",0,0
"610",2012,"2010","Total","3400",0,0
"611",2012,"2010","Total","3600F",0,0
"612",2012,"2010","Total","3740",0,0
"613",2012,"2010","Total","3840",0,0
"614",2012,"2010","Total","4557N",0,0
"615",2012,"2010","Total","4640D",0,0
"616",2012,"2010","Total","493001A",0,0
"617",2012,"2010","Total","493002N",0,0
"618",2012,"2010","Total","493003F",0,0
"619",2012,"2010","Total","493004D",0,0
"620",2012,"2010","Total","493005D",0,0
"621",2012,"2010","Total","4965",0,0
"622",2012,"2010","Total","5188",0,0
"623",2012,"2010","Total","5189",0,0
"624",2012,"2010","Total","5286",0,0
"625",2012,"2010","Total","by appropriation.",0,0
"626",2012,"2010","Total","level for each appropriation.",0,0
"627",2012,"2010","Total","Unlabeled",0,0
"628",2012,"2011","Base","",0,0
"629",2012,"2011","Base","* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",0,0
"630",2012,"2011","Base","** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",0,0
"631",2012,"2011","Base","0100",0,56393146
"632",2012,"2011","Base","0104",0,27828
"633",2012,"2011","Base","0105",0,2316452
"634",2012,"2011","Base","0107",0,576200
"635",2012,"2011","Base","0107D",0,0
"636",2012,"2011","Base","0111",0,823748
"637",2012,"2011","Base","0118",0,0
"638",2012,"2011","Base","0130",0,58494356
"639",2012,"2011","Base","0130D",0,972549
"640",2012,"2011","Base","0134",0,847120
"641",2012,"2011","Base","0144D",0,0
