"","SourceFiscalYear","AccountDSI","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAG.Title","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype","SpecialTotal","SpecialType"
"11",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","110","110","132","Facilities Sustainment, Restoration, & Modernization","Y","U",2010,"Total",2236419,NA,NA,NA,NA,NA,NA
"12",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","120","120","133","Management And Operational Hq","Y","U",2010,"Total",329353,NA,NA,NA,NA,NA,NA
"13",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","130","130","134","Combatant Commanders Core Operations","Y","U",2010,"Total",154952,NA,NA,NA,NA,NA,NA
"14",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","140","140","135","Additional Activities","Y","U",2010,"Total",43207469,NA,NA,NA,NA,NA,NA
"15",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","150","150","136","CommanderS Emergency Response Program","Y","U",2010,"Total",699502,NA,NA,NA,NA,NA,NA
"16",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","160","160","137","RESET","Y","U",2010,"Total",6762611,NA,NA,NA,NA,NA,NA
"17",2012,"2020","A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","170","170","138","Combatant Commanders Ancillary Missions","Y","U",2010,"Total",463976,NA,NA,NA,NA,NA,NA
"18",2012,"2020","A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","180","180","211","Strategic Mobility","Y","U",2010,"Total",237087,NA,NA,NA,NA,NA,NA
"19",2012,"2020","A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","190","190","212","Army Prepositioning Stocks","Y","U",2010,"Total",84218,NA,NA,NA,NA,NA,NA
"20",2012,"2020","A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","200","200","213","Industrial Preparedness","Y","U",2010,"Total",5694,NA,NA,NA,NA,NA,NA
"21",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","210","210","311","Officer Acquisition","Y","U",2010,"Total",136348,NA,NA,NA,NA,NA,NA
"22",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","220","220","312","Recruit Training","Y","U",2010,"Total",57986,NA,NA,NA,NA,NA,NA
"23",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","230","230","313","One Station Unit Training","Y","U",2010,"Total",31407,NA,NA,NA,NA,NA,NA
"24",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","240","240","314","Senior Reserve Officers Training Corps","Y","U",2010,"Total",489508,NA,NA,NA,NA,NA,NA
"25",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skills And Advanced Training","250","250","321","Specialized Skill Training","Y","U",2010,"Total",930491,NA,NA,NA,NA,NA,NA
"26",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skills And Advanced Training","260","260","322","Flight Training","Y","U",2010,"Total",972259,NA,NA,NA,NA,NA,NA
"27",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skills And Advanced Training","270","270","323","Professional Development Education","Y","U",2010,"Total",159623,NA,NA,NA,NA,NA,NA
"28",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skills And Advanced Training","280","280","324","Training Support","Y","U",2010,"Total",688529,NA,NA,NA,NA,NA,NA
"29",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting And Other Training & Education","290","290","331","Recruiting And Advertising","Y","U",2010,"Total",543335,NA,NA,NA,NA,NA,NA
"30",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting And Other Training & Education","300","300","332","Examining","Y","U",2010,"Total",159283,NA,NA,NA,NA,NA,NA
"31",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting And Other Training & Education","310","310","333","Off-Duty And Voluntary Education","Y","U",2010,"Total",240941,NA,NA,NA,NA,NA,NA
"32",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting And Other Training & Education","320","320","334","Civilian Education And Training","Y","U",2010,"Total",213701,NA,NA,NA,NA,NA,NA
"33",2012,"2020","A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting And Other Training & Education","330","330","335","Junior ROTC","Y","U",2010,"Total",148950,NA,NA,NA,NA,NA,NA
"34",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Security Programs","340","340","411","Security Programs","Y","U",2010,"Total",2587944,NA,NA,NA,NA,NA,NA
"35",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","350","350","421","Servicewide Transportation","Y","U",2010,"Total",5244414,NA,NA,NA,NA,NA,NA
"36",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","360","360","422","Central Supply Activities","Y","U",2010,"Total",607942,NA,NA,NA,NA,NA,NA
"37",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","370","370","423","Logistic Support Activities","Y","U",2010,"Total",491071,NA,NA,NA,NA,NA,NA
"38",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","380","380","424","Ammunition Management","Y","U",2010,"Total",357840,NA,NA,NA,NA,NA,NA
"39",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","390","390","431","Administration","Y","U",2010,"Total",1160817,NA,NA,NA,NA,NA,NA
"40",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","400","400","432","Servicewide Communications","Y","U",2010,"Total",1410823,NA,NA,NA,NA,NA,NA
"41",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","410","410","433","Manpower Management","Y","U",2010,"Total",378584,NA,NA,NA,NA,NA,NA
"42",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","420","420","434","Other Personnel Support","Y","U",2010,"Total",291817,NA,NA,NA,NA,NA,NA
"43",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","430","430","435","Other Service Support","Y","U",2010,"Total",1832247,NA,NA,NA,NA,NA,NA
"44",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","440","440","436","Army Claims Activities","Y","U",2010,"Total",214062,NA,NA,NA,NA,NA,NA
"45",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","450","450","437","Real Estate Management","Y","U",2010,"Total",128393,NA,NA,NA,NA,NA,NA
"46",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Support Of Other Nations","460","460","441","Support Of NATO Operations","Y","U",2010,"Total",425313,NA,NA,NA,NA,NA,NA
"47",2012,"2020","A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Support Of Other Nations","470","470","442","Misc. Support Of Other Nations","Y","U",2010,"Total",14114,NA,NA,NA,NA,NA,NA
"48",2012,"2020","A","Operation & Maintenance, Army","ARMY","20","Undistributed","Undistributed","480","480","CR11","Adj to Match Continuing Resolution","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"49",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","010","010","111","Maneuver Units","Y","U",2010,"Total",1299,NA,NA,NA,NA,NA,NA
"50",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","020","020","112","Modular Support Brigades","Y","U",2010,"Total",9771,NA,NA,NA,NA,NA,NA
"51",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","030","030","113","Echelons Above Brigade","Y","U",2010,"Total",423447,NA,NA,NA,NA,NA,NA
"52",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","040","040","114","Theater Level Assets","Y","U",2010,"Total",148435,NA,NA,NA,NA,NA,NA
"53",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","050","050","115","Land Forces Operations Support","Y","U",2010,"Total",531960,NA,NA,NA,NA,NA,NA
"54",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","060","060","116","Aviation Assets","Y","U",2010,"Total",60332,NA,NA,NA,NA,NA,NA
"55",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","070","070","121","Force Readiness Operations Support","Y","U",2010,"Total",322755,NA,NA,NA,NA,NA,NA
"56",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","080","080","122","Land Forces Systems Readiness","Y","U",2010,"Total",108480,NA,NA,NA,NA,NA,NA
"57",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","090","090","123","Land Forces Depot Maintenance","Y","U",2010,"Total",122244,NA,NA,NA,NA,NA,NA
"58",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","100","100","131","Base Operations Support","Y","U",2010,"Total",518822,NA,NA,NA,NA,NA,NA
"59",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","110","110","132","Facilities Sustainment, Restoration, & Modernization","Y","U",2010,"Total",208285,NA,NA,NA,NA,NA,NA
"60",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","120","120","135","Additional Activities","Y","U",2010,"Total",234316,NA,NA,NA,NA,NA,NA
"61",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Logistics Operations","130","130","421","Servicewide Transportation","Y","U",2010,"Total",9263,NA,NA,NA,NA,NA,NA
"62",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","140","140","431","Administration","Y","U",2010,"Total",74943,NA,NA,NA,NA,NA,NA
"63",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","150","150","432","Servicewide Communications","Y","U",2010,"Total",4435,NA,NA,NA,NA,NA,NA
"64",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","160","160","433","Manpower Management","Y","U",2010,"Total",16821,NA,NA,NA,NA,NA,NA
"65",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","170","170","434","Recruiting And Advertising","Y","U",2010,"Total",56177,NA,NA,NA,NA,NA,NA
"66",2012,"2080","A","Operation & Maintenance, Army Res","ARMY","20","Undistributed","Undistributed","180","180","CR11","Adj to Match Continuing Resolution","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"67",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","010","010","111","Maneuver Units","Y","U",2010,"Total",619811,NA,NA,NA,NA,NA,NA
"68",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","020","020","112","Modular Support Brigades","Y","U",2010,"Total",213472,NA,NA,NA,NA,NA,NA
"69",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","030","030","113","Echelons Above Brigade","Y","U",2010,"Total",544309,NA,NA,NA,NA,NA,NA
"70",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","040","040","114","Theater Level Assets","Y","U",2010,"Total",314174,NA,NA,NA,NA,NA,NA
"71",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","050","050","115","Land Forces Operations Support","Y","U",2010,"Total",78161,NA,NA,NA,NA,NA,NA
"72",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","060","060","116","Aviation Assets","Y","U",2010,"Total",686871,NA,NA,NA,NA,NA,NA
"73",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","070","070","121","Force Readiness Operations Support","Y","U",2010,"Total",500703,NA,NA,NA,NA,NA,NA
"74",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","080","080","122","Land Forces Systems Readiness","Y","U",2010,"Total",131184,NA,NA,NA,NA,NA,NA
"75",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","090","090","123","Land Forces Depot Maintenance","Y","U",2010,"Total",336085,NA,NA,NA,NA,NA,NA
"76",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","100","100","131","Base Operations Support","Y","U",2010,"Total",940043,NA,NA,NA,NA,NA,NA
"77",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","110","110","132","Facilities Sustainment, Restoration, & Modernization","Y","U",2010,"Total",532388,NA,NA,NA,NA,NA,NA
"78",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","120","120","133","Management And Operational Hq","Y","U",2010,"Total",790320,NA,NA,NA,NA,NA,NA
"79",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","130","130","135","Additional Activities","Y","U",2010,"Total",453151,NA,NA,NA,NA,NA,NA
"80",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Logistics Operations","140","140","421","Servicewide Transportation","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"81",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","150","150","431","Administration","Y","U",2010,"Total",110489,NA,NA,NA,NA,NA,NA
"82",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","160","160","432","Servicewide Communications","Y","U",2010,"Total",44396,NA,NA,NA,NA,NA,NA
"83",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","170","170","433","Manpower Management","Y","U",2010,"Total",7255,NA,NA,NA,NA,NA,NA
"84",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","180","180","434","Recruiting And Advertising","Y","U",2010,"Total",416225,NA,NA,NA,NA,NA,NA
"85",2012,"2065","A","Operation & Maintenance, ARNG","ARMY","20","Undistributed","Undistributed","190","190","CR11","Adj to Match Continuing Resolution","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"86",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","010","010","ES01","Infrastructure","Y","U",2010,"Total",1153650,NA,NA,NA,NA,NA,NA
"87",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","020","020","ES02","Equipment And Transportation","Y","U",2010,"Total",1633908,NA,NA,NA,NA,NA,NA
"88",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","030","030","ES03","Training And Operations","Y","U",2010,"Total",338627,NA,NA,NA,NA,NA,NA
"89",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","040","040","ES04","Sustainment","Y","U",2010,"Total",2214631,NA,NA,NA,NA,NA,NA
"90",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","060","060","ES05","Infrastructure","Y","U",2010,"Total",810102,NA,NA,NA,NA,NA,NA
"91",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","070","070","ES06","Equipment And Transportation","Y","U",2010,"Total",1282082,NA,NA,NA,NA,NA,NA
"92",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","080","080","ES07","Training And Operations","Y","U",2010,"Total",417871,NA,NA,NA,NA,NA,NA
"93",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","090","090","ES08","Sustainment","Y","U",2010,"Total",1217159,NA,NA,NA,NA,NA,NA
"94",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","110","110","ES10","Sustainment","Y","U",2010,"Total",19119,NA,NA,NA,NA,NA,NA
"95",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","120","120","ES11","Training And Operations","Y","U",2010,"Total",17600,NA,NA,NA,NA,NA,NA
"96",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","130","130","ES12","Infrastructure","Y","U",2010,"Total",61920,NA,NA,NA,NA,NA,NA
"97",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","140","140","ES14","Coin Activities","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"98",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","150","150","ES16","Equipment And Transportation","Y","U",2010,"Total",100,NA,NA,NA,NA,NA,NA
"99",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","05","Contributions","Related Activities","170","170","500","Contributions","Y","U",2010,"Total",115992,NA,NA,NA,NA,NA,NA
"100",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","20","Undistributed","Undistributed","180","180","CR11","Adj to Match Continuing Resolution","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"101",2012,"2092","A","Iraq Security Forces Fund","ARMY","01","Ministry of Defense","Administration","040","040","100","Iraq Security Forces Fund","Y","U",2010,"Total",740730,NA,NA,NA,NA,NA,NA
"102",2012,"2092","A","Iraq Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","010","010","ES02","Equipment And Transportation","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"103",2012,"2092","A","Iraq Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","020","020","ES03","Training","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"104",2012,"2092","A","Iraq Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","030","030","ES04","Sustainment","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"105",2012,"2092","A","Iraq Security Forces Fund","ARMY","02","Ministry of Interior","Administration","070","070","200","Iraq Interior Forces","Y","U",2010,"Total",259270,NA,NA,NA,NA,NA,NA
"106",2012,"2092","A","Iraq Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","050","050","ES06","Equipment And Transportation","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"107",2012,"2092","A","Iraq Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","060","060","ES08","Sustainment","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"108",2012,"2092","A","Iraq Security Forces Fund","ARMY","03","Associated Activities","Related Activities","080","080","ES10","Quick Response Force","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"109",2012,"2092","A","Iraq Security Forces Fund","ARMY","20","Undistributed","Undistributed","090","090","CR11","Adj to Match Continuing Resolution","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"110",2012,"2096","A","Afghanistan Infrastructure Fund","ARMY","01","Power","Administration","010","010","110","Power","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"111",2012,"2096","A","Afghanistan Infrastructure Fund","ARMY","01","Power","Administration","020","020","120","Transportation","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"112",2012,"2096","A","Afghanistan Infrastructure Fund","ARMY","01","Power","Administration","030","030","130","Water","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"113",2012,"2096","A","Afghanistan Infrastructure Fund","ARMY","01","Power","Administration","040","040","140","Other Related Activities","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"114",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","010","010","1A1A","Mission And Other Flight Operations","Y","U",2010,"Total",4982715,NA,NA,NA,NA,NA,NA
"115",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","020","020","1A2A","Fleet Air Training","Y","U",2010,"Total",125395,NA,NA,NA,NA,NA,NA
"116",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","030","030","1A3A","Aviation Technical Data & Engineering Services","Y","U",2010,"Total",55230,NA,NA,NA,NA,NA,NA
"117",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","040","040","1A4A","Air Operations And Safety Support","Y","U",2010,"Total",136777,NA,NA,NA,NA,NA,NA
"118",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","050","050","1A4N","Air Systems Support","Y","U",2010,"Total",513112,NA,NA,NA,NA,NA,NA
"119",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","060","060","1A5A","Aircraft Depot Maintenance","Y","U",2010,"Total",1293148,NA,NA,NA,NA,NA,NA
"120",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","070","070","1A6A","Aircraft Depot Operations Support","Y","U",2010,"Total",35036,NA,NA,NA,NA,NA,NA
"121",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","080","080","1A9A","Aviation Logistics","Y","U",2010,"Total",0,NA,NA,NA,NA,NA,NA
"122",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","090","090","1B1B","Mission And Other Ship Operations","Y","U",2010,"Total",4550975,NA,NA,NA,NA,NA,NA
"123",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","100","100","1B2B","Ship Operations Support & Training","Y","U",2010,"Total",717586,NA,NA,NA,NA,NA,NA
"124",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","110","110","1B4B","Ship Depot Maintenance","Y","U",2010,"Total",6265286,NA,NA,NA,NA,NA,NA
"125",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","120","120","1B5B","Ship Depot Operations Support","Y","U",2010,"Total",1180711,NA,NA,NA,NA,NA,NA
"126",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","130","130","1C1C","Combat Communications","Y","U",2010,"Total",695359,NA,NA,NA,NA,NA,NA
"127",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","140","140","1C2C","Electronic Warfare","Y","U",2010,"Total",79898,NA,NA,NA,NA,NA,NA
"128",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","150","150","1C3C","Space Systems And Surveillance","Y","U",2010,"Total",201871,NA,NA,NA,NA,NA,NA
"129",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","160","160","1C4C","Warfare Tactics","Y","U",2010,"Total",474110,NA,NA,NA,NA,NA,NA
"130",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","170","170","1C5C","Operational Meteorology And Oceanography","Y","U",2010,"Total",343674,NA,NA,NA,NA,NA,NA
"131",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","180","180","1C6C","Combat Support Forces","Y","U",2010,"Total",2474781,NA,NA,NA,NA,NA,NA
"132",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","190","190","1C7C","Equipment Maintenance","Y","U",2010,"Total",182326,NA,NA,NA,NA,NA,NA
"133",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","200","200","1C8C","Depot Operations Support","Y","U",2010,"Total",4575,NA,NA,NA,NA,NA,NA
"134",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","210","210","1CCH","Combatant Commanders Core Operations","Y","U",2010,"Total",190112,NA,NA,NA,NA,NA,NA
"135",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","220","220","1CCM","Combatant Commanders Direct Mission Support","Y","U",2010,"Total",283736,NA,NA,NA,NA,NA,NA
"136",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","230","230","1D1D","Cruise Missile","Y","U",2010,"Total",126775,NA,NA,NA,NA,NA,NA
"137",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","240","240","1D2D","Fleet Ballistic Missile","Y","U",2010,"Total",1108483,NA,NA,NA,NA,NA,NA
