"","SourceFiscalYear","AccountDSI","AccountTitle","MilDeptDW","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","EnactedTotal","EnactedType","PBtotal","PBtype","SAG","SAG.Title","FiscalYear","BudgetSubActivityTitle","BudgetLineItem","ActualTotal"
"63",2012,"2080","Operation & Maintenance, Army Res","A","ARMY",4,"Admin & Srvwd Activities","Servicewide Support",150,NA,NA,NA,NA,"432","Servicewide Communications",2010,"","",4435
"64",2012,"2080","Operation & Maintenance, Army Res","A","ARMY",4,"Admin & Srvwd Activities","Servicewide Support",160,NA,NA,NA,NA,"433","Manpower Management",2010,"","",16821
"65",2012,"2080","Operation & Maintenance, Army Res","A","ARMY",4,"Admin & Srvwd Activities","Servicewide Support",170,NA,NA,NA,NA,"434","Recruiting And Advertising",2010,"","",56177
"66",2012,"2080","Operation & Maintenance, Army Res","A","ARMY",20,"Undistributed","Undistributed",180,NA,NA,NA,NA,"CR11","Adj to Match Continuing Resolution",2010,"","",0
"67",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",1,"Operating Forces","Land Forces",10,NA,NA,NA,NA,"111","Maneuver Units",2010,"","",619811
"68",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",1,"Operating Forces","Land Forces",20,NA,NA,NA,NA,"112","Modular Support Brigades",2010,"","",213472
"69",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",1,"Operating Forces","Land Forces",30,NA,NA,NA,NA,"113","Echelons Above Brigade",2010,"","",544309
"70",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",1,"Operating Forces","Land Forces",40,NA,NA,NA,NA,"114","Theater Level Assets",2010,"","",314174
"71",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",1,"Operating Forces","Land Forces",50,NA,NA,NA,NA,"115","Land Forces Operations Support",2010,"","",78161
"72",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",1,"Operating Forces","Land Forces",60,NA,NA,NA,NA,"116","Aviation Assets",2010,"","",686871
"73",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",1,"Operating Forces","Land Forces Readiness",70,NA,NA,NA,NA,"121","Force Readiness Operations Support",2010,"","",500703
"74",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",1,"Operating Forces","Land Forces Readiness",80,NA,NA,NA,NA,"122","Land Forces Systems Readiness",2010,"","",131184
"75",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",1,"Operating Forces","Land Forces Readiness",90,NA,NA,NA,NA,"123","Land Forces Depot Maintenance",2010,"","",336085
"76",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",1,"Operating Forces","Land Forces Readiness Support",100,NA,NA,NA,NA,"131","Base Operations Support",2010,"","",940043
"77",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",1,"Operating Forces","Land Forces Readiness Support",110,NA,NA,NA,NA,"132","Facilities Sustainment, Restoration, & Modernization",2010,"","",532388
"78",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",1,"Operating Forces","Land Forces Readiness Support",120,NA,NA,NA,NA,"133","Management And Operational Hq",2010,"","",790320
"79",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",1,"Operating Forces","Land Forces Readiness Support",130,NA,NA,NA,NA,"135","Additional Activities",2010,"","",453151
"80",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",4,"Admin & Srvwd Activities","Logistics Operations",140,NA,NA,NA,NA,"421","Servicewide Transportation",2010,"","",0
"81",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",4,"Admin & Srvwd Activities","Servicewide Support",150,NA,NA,NA,NA,"431","Administration",2010,"","",110489
"82",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",4,"Admin & Srvwd Activities","Servicewide Support",160,NA,NA,NA,NA,"432","Servicewide Communications",2010,"","",44396
"83",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",4,"Admin & Srvwd Activities","Servicewide Support",170,NA,NA,NA,NA,"433","Manpower Management",2010,"","",7255
"84",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",4,"Admin & Srvwd Activities","Servicewide Support",180,NA,NA,NA,NA,"434","Recruiting And Advertising",2010,"","",416225
"85",2012,"2065","Operation & Maintenance, ARNG","A","ARMY",20,"Undistributed","Undistributed",190,NA,NA,NA,NA,"CR11","Adj to Match Continuing Resolution",2010,"","",0
"86",2012,"2091","Afghanistan Security Forces Fund","A","ARMY",1,"Ministry of Defense","Defense Forces",10,NA,NA,NA,NA,"ES01","Infrastructure",2010,"","",1153650
"87",2012,"2091","Afghanistan Security Forces Fund","A","ARMY",1,"Ministry of Defense","Defense Forces",20,NA,NA,NA,NA,"ES02","Equipment And Transportation",2010,"","",1633908
"88",2012,"2091","Afghanistan Security Forces Fund","A","ARMY",1,"Ministry of Defense","Defense Forces",30,NA,NA,NA,NA,"ES03","Training And Operations",2010,"","",338627
"89",2012,"2091","Afghanistan Security Forces Fund","A","ARMY",1,"Ministry of Defense","Defense Forces",40,NA,NA,NA,NA,"ES04","Sustainment",2010,"","",2214631
"90",2012,"2091","Afghanistan Security Forces Fund","A","ARMY",2,"Ministry of Interior","Interior Forces",60,NA,NA,NA,NA,"ES05","Infrastructure",2010,"","",810102
"91",2012,"2091","Afghanistan Security Forces Fund","A","ARMY",2,"Ministry of Interior","Interior Forces",70,NA,NA,NA,NA,"ES06","Equipment And Transportation",2010,"","",1282082
"92",2012,"2091","Afghanistan Security Forces Fund","A","ARMY",2,"Ministry of Interior","Interior Forces",80,NA,NA,NA,NA,"ES07","Training And Operations",2010,"","",417871
"93",2012,"2091","Afghanistan Security Forces Fund","A","ARMY",2,"Ministry of Interior","Interior Forces",90,NA,NA,NA,NA,"ES08","Sustainment",2010,"","",1217159
"94",2012,"2091","Afghanistan Security Forces Fund","A","ARMY",3,"Associated Activities","Related Activities",110,NA,NA,NA,NA,"ES10","Sustainment",2010,"","",19119
"95",2012,"2091","Afghanistan Security Forces Fund","A","ARMY",3,"Associated Activities","Related Activities",120,NA,NA,NA,NA,"ES11","Training And Operations",2010,"","",17600
"96",2012,"2091","Afghanistan Security Forces Fund","A","ARMY",3,"Associated Activities","Related Activities",130,NA,NA,NA,NA,"ES12","Infrastructure",2010,"","",61920
"97",2012,"2091","Afghanistan Security Forces Fund","A","ARMY",3,"Associated Activities","Related Activities",140,NA,NA,NA,NA,"ES14","Coin Activities",2010,"","",0
"98",2012,"2091","Afghanistan Security Forces Fund","A","ARMY",3,"Associated Activities","Related Activities",150,NA,NA,NA,NA,"ES16","Equipment And Transportation",2010,"","",100
"99",2012,"2091","Afghanistan Security Forces Fund","A","ARMY",5,"Contributions","Related Activities",170,NA,NA,NA,NA,"500","Contributions",2010,"","",115992
"100",2012,"2091","Afghanistan Security Forces Fund","A","ARMY",20,"Undistributed","Undistributed",180,NA,NA,NA,NA,"CR11","Adj to Match Continuing Resolution",2010,"","",0
"101",2012,"2092","Iraq Security Forces Fund","A","ARMY",1,"Ministry of Defense","Administration",40,NA,NA,NA,NA,"100","Iraq Security Forces Fund",2010,"","",740730
"102",2012,"2092","Iraq Security Forces Fund","A","ARMY",1,"Ministry of Defense","Defense Forces",10,NA,NA,NA,NA,"ES02","Equipment And Transportation",2010,"","",0
"103",2012,"2092","Iraq Security Forces Fund","A","ARMY",1,"Ministry of Defense","Defense Forces",20,NA,NA,NA,NA,"ES03","Training",2010,"","",0
"104",2012,"2092","Iraq Security Forces Fund","A","ARMY",1,"Ministry of Defense","Defense Forces",30,NA,NA,NA,NA,"ES04","Sustainment",2010,"","",0
"105",2012,"2092","Iraq Security Forces Fund","A","ARMY",2,"Ministry of Interior","Administration",70,NA,NA,NA,NA,"200","Iraq Interior Forces",2010,"","",259270
"106",2012,"2092","Iraq Security Forces Fund","A","ARMY",2,"Ministry of Interior","Interior Forces",50,NA,NA,NA,NA,"ES06","Equipment And Transportation",2010,"","",0
"107",2012,"2092","Iraq Security Forces Fund","A","ARMY",2,"Ministry of Interior","Interior Forces",60,NA,NA,NA,NA,"ES08","Sustainment",2010,"","",0
"108",2012,"2092","Iraq Security Forces Fund","A","ARMY",3,"Associated Activities","Related Activities",80,NA,NA,NA,NA,"ES10","Quick Response Force",2010,"","",0
"109",2012,"2092","Iraq Security Forces Fund","A","ARMY",20,"Undistributed","Undistributed",90,NA,NA,NA,NA,"CR11","Adj to Match Continuing Resolution",2010,"","",0
"110",2012,"2096","Afghanistan Infrastructure Fund","A","ARMY",1,"Power","Administration",10,NA,NA,NA,NA,"110","Power",2010,"","",0
"111",2012,"2096","Afghanistan Infrastructure Fund","A","ARMY",1,"Power","Administration",20,NA,NA,NA,NA,"120","Transportation",2010,"","",0
"112",2012,"2096","Afghanistan Infrastructure Fund","A","ARMY",1,"Power","Administration",30,NA,NA,NA,NA,"130","Water",2010,"","",0
"113",2012,"2096","Afghanistan Infrastructure Fund","A","ARMY",1,"Power","Administration",40,NA,NA,NA,NA,"140","Other Related Activities",2010,"","",0
"114",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Air Operations",10,NA,NA,NA,NA,"1A1A","Mission And Other Flight Operations",2010,"","",4982715
"115",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Air Operations",20,NA,NA,NA,NA,"1A2A","Fleet Air Training",2010,"","",125395
"116",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Air Operations",30,NA,NA,NA,NA,"1A3A","Aviation Technical Data & Engineering Services",2010,"","",55230
"117",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Air Operations",40,NA,NA,NA,NA,"1A4A","Air Operations And Safety Support",2010,"","",136777
"118",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Air Operations",50,NA,NA,NA,NA,"1A4N","Air Systems Support",2010,"","",513112
"119",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Air Operations",60,NA,NA,NA,NA,"1A5A","Aircraft Depot Maintenance",2010,"","",1293148
"120",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Air Operations",70,NA,NA,NA,NA,"1A6A","Aircraft Depot Operations Support",2010,"","",35036
"121",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Air Operations",80,NA,NA,NA,NA,"1A9A","Aviation Logistics",2010,"","",0
"122",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Ship Operations",90,NA,NA,NA,NA,"1B1B","Mission And Other Ship Operations",2010,"","",4550975
"123",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Ship Operations",100,NA,NA,NA,NA,"1B2B","Ship Operations Support & Training",2010,"","",717586
