"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivityTitle","BudgetLineItem","LineNumber","LineNumber","SAG","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"76",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","Force Readiness Operations Support","070","070","121","Y","Y","U",2015,"Total",608021,NA,NA,NA,NA
"77",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Systems Readiness","080","080","122","Y","Y","U",2015,"Total",63013,NA,NA,NA,NA
"78",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Depot Maintenance","090","090","123","Y","Y","U",2015,"Total",178945,NA,NA,NA,NA
"79",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","Base Operations Support","100","100","131","Y","Y","U",2015,"Total",966744,NA,NA,NA,NA
"80",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","Facilities Sustainment, Restoration & Modernization","110","110","132","Y","Y","U",2015,"Total",595919,NA,NA,NA,NA
"81",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","Management and Operational Headquarters","120","120","133","Y","Y","U",2015,"Total",1016367,NA,NA,NA,NA
"82",2017,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Logistics Operations","Servicewide Transportation","130","130","421","Y","Y","U",2015,"Total",5886,NA,NA,NA,NA
"83",2017,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Administration","140","140","431","Y","Y","U",2015,"Total",43873,NA,NA,NA,NA
"84",2017,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Servicewide Communications","150","150","432","Y","Y","U",2015,"Total",39849,NA,NA,NA,NA
"85",2017,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Manpower Management","160","160","433","Y","Y","U",2015,"Total",8174,NA,NA,NA,NA
"86",2017,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Other Personnel Support","170","170","434","Y","Y","U",2015,"Total",211144,NA,NA,NA,NA
"87",2017,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Real Estate Management","180","180","437","Y","Y","U",2015,"Total",1754,NA,NA,NA,NA
"88",2017,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","Sustainment","010","010","110","Y","Y","U",2015,"Total",2333665,NA,NA,NA,NA
"89",2017,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","Infrastructure","020","020","120","Y","Y","U",2015,"Total",20000,NA,NA,NA,NA
"90",2017,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","Equipment and Transportation","030","030","130","Y","Y","U",2015,"Total",353658,NA,NA,NA,NA
"91",2017,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","Training and Operations","040","040","140","Y","Y","U",2015,"Total",0,NA,NA,NA,NA
"92",2017,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","Sustainment","050","050","210","Y","Y","U",2015,"Total",1156858,NA,NA,NA,NA
"93",2017,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","Infrastructure","060","060","220","Y","Y","U",2015,"Total",18394,NA,NA,NA,NA
"94",2017,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","Equipment and Transportation","070","070","230","Y","Y","U",2015,"Total",22643,NA,NA,NA,NA
"95",2017,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","Training and Operations","080","080","240","Y","Y","U",2015,"Total",174732,NA,NA,NA,NA
"96",2017,"2091A","Afghanistan Security Forces Fund","ARMY","04","Detainee Ops","Related Activities","Sustainment","090","090","410","Y","Y","U",2015,"Total",27307,NA,NA,NA,NA
"97",2017,"2091A","Afghanistan Security Forces Fund","ARMY","04","Detainee Ops","Related Activities","Training and Operations","100","100","440","Y","Y","U",2015,"Total",2076,NA,NA,NA,NA
"98",2017,"2097A","Iraq Train and Equip Fund","ARMY","01","Iraq Train and Equip Fund","Defense Forces","Iraq Train and Equip Fund","010","010","140","Y","Y","U",2015,"Total",1618000,NA,NA,NA,NA
"99",2017,"2098A","Syria Train and Equip Fund","ARMY","01","Syria Train and Equip Fund","Defense Forces","Syria Train and Equip Fund","010","010","140","Y","Y","U",2015,"Total",0,NA,NA,NA,NA
"100",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","Mission and Other Flight Operations","010","010","1A1A","Y","Y","U",2015,"Total",5175085,NA,NA,NA,NA
"101",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","Fleet Air Training","020","020","1A2A","Y","Y","U",2015,"Total",1687839,NA,NA,NA,NA
"102",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","Aviation Technical Data & Engineering Services","030","030","1A3A","Y","Y","U",2015,"Total",35869,NA,NA,NA,NA
"103",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","Air Operations and Safety Support","040","040","1A4A","Y","Y","U",2015,"Total",95831,NA,NA,NA,NA
"104",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","Air Systems Support","050","050","1A4N","Y","Y","U",2015,"Total",448992,NA,NA,NA,NA
"105",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","Aircraft Depot Maintenance","060","060","1A5A","Y","Y","U",2015,"Total",1053157,NA,NA,NA,NA
"106",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","Aircraft Depot Operations Support","070","070","1A6A","Y","Y","U",2015,"Total",40222,NA,NA,NA,NA
"107",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","Aviation Logistics","080","080","1A9A","Y","Y","U",2015,"Total",434397,NA,NA,NA,NA
"108",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","Mission and Other Ship Operations","090","090","1B1B","Y","Y","U",2015,"Total",4985161,NA,NA,NA,NA
"109",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","Ship Operations Support & Training","100","100","1B2B","Y","Y","U",2015,"Total",749090,NA,NA,NA,NA
"110",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","Ship Depot Maintenance","110","110","1B4B","Y","Y","U",2015,"Total",7810149,NA,NA,NA,NA
"111",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","Ship Depot Operations Support","120","120","1B5B","Y","Y","U",2015,"Total",1376279,NA,NA,NA,NA
"112",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Combat Communications","130","130","1C1C","Y","Y","U",2015,"Total",793468,NA,NA,NA,NA
"113",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Electronic Warfare","140","140","1C2C","Y","Y","U",2015,"Total",94067,NA,NA,NA,NA
"114",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Space Systems and Surveillance","150","150","1C3C","Y","Y","U",2015,"Total",263861,NA,NA,NA,NA
"115",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Warfare Tactics","160","160","1C4C","Y","Y","U",2015,"Total",473331,NA,NA,NA,NA
"116",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Operational Meteorology and Oceanography","170","170","1C5C","Y","Y","U",2015,"Total",352317,NA,NA,NA,NA
"117",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Combat Support Forces","180","180","1C6C","Y","Y","U",2015,"Total",1733358,NA,NA,NA,NA
"118",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Equipment Maintenance","190","190","1C7C","Y","Y","U",2015,"Total",138294,NA,NA,NA,NA
"119",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Depot Operations Support","200","200","1C8C","Y","Y","U",2015,"Total",2470,NA,NA,NA,NA
"120",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Combatant Commanders Core Operations","210","210","1CCH","Y","Y","U",2015,"Total",110606,NA,NA,NA,NA
"121",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Combatant Commanders Direct Mission Support","220","220","1CCM","Y","Y","U",2015,"Total",90671,NA,NA,NA,NA
"122",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","Cruise Missile","230","230","1D1D","Y","Y","U",2015,"Total",108964,NA,NA,NA,NA
"123",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","Fleet Ballistic Missile","240","240","1D2D","Y","Y","U",2015,"Total",1159718,NA,NA,NA,NA
"124",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","In-Service Weapons Systems Support","250","250","1D3D","Y","Y","U",2015,"Total",194675,NA,NA,NA,NA
"125",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","Weapons Maintenance","260","260","1D4D","Y","Y","U",2015,"Total",731585,NA,NA,NA,NA
"126",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","Other Weapon Systems Support","270","270","1D7D","Y","Y","U",2015,"Total",327449,NA,NA,NA,NA
"127",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Base Support","Enterprise Information","280","280","BSIT","Y","Y","U",2015,"Total",780518,NA,NA,NA,NA
"128",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Base Support","Sustainment, Restoration and Modernization","290","290","BSM1","Y","Y","U",2015,"Total",1674075,NA,NA,NA,NA
"129",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Base Support","Base Operating Support","300","300","BSS1","Y","Y","U",2015,"Total",4396680,NA,NA,NA,NA
"130",2017,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Ready Reserve and Prepositioning Force","Ship Prepositioning and Surge","310","310","2A1F","Y","Y","U",2015,"Total",400487,NA,NA,NA,NA
"131",2017,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Ready Reserve and Prepositioning Force","Ready Reserve Force","320","320","2A2F","Y","Y","U",2015,"Total",0,NA,NA,NA,NA
"132",2017,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Activations/Inactivations","Aircraft Activations/Inactivations","330","330","2B1G","Y","Y","U",2015,"Total",7287,NA,NA,NA,NA
"133",2017,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Activations/Inactivations","Ship Activations/Inactivations","340","340","2B2G","Y","Y","U",2015,"Total",185350,NA,NA,NA,NA
"134",2017,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Mobilization Preparation","Expeditionary Health Services Systems","350","350","2C1H","Y","Y","U",2015,"Total",97316,NA,NA,NA,NA
"135",2017,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Mobilization Preparation","Industrial Readiness","360","360","2C2H","Y","Y","U",2015,"Total",2317,NA,NA,NA,NA
"136",2017,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Mobilization Preparation","Coast Guard Support","370","370","2C3H","Y","Y","U",2015,"Total",20316,NA,NA,NA,NA
"137",2017,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Accession Training","Officer Acquisition","380","380","3A1J","Y","Y","U",2015,"Total",159506,NA,NA,NA,NA
"138",2017,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Accession Training","Recruit Training","390","390","3A2J","Y","Y","U",2015,"Total",10613,NA,NA,NA,NA
"139",2017,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Accession Training","Reserve Officers Training Corps","400","400","3A3J","Y","Y","U",2015,"Total",132884,NA,NA,NA,NA
"140",2017,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Basic Skill and Advanced Training","Specialized Skill Training","410","410","3B1K","Y","Y","U",2015,"Total",658256,NA,NA,NA,NA
"141",2017,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Basic Skill and Advanced Training","Flight Training","420","420","3B2K","Y","Y","U",2015,"Total",7947,NA,NA,NA,NA
